PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	"Pascual, Javier; Blanco, Silvia; Garcia-Lopez, Marina; Garcia-Salamanca, Adela; Bursakov, Sergey A.; Genilloud, Olga; Bills, Gerald F.; Ramos, Juan L.; van Dillewijn, Pieter"								Assessing Bacterial Diversity in the Rhizosphere of Thymus zygis Growing in the Sierra Nevada National Park (Spain) through Culture-Dependent and Independent Approaches								PLOS ONE				11	1					e0146558	10.1371/journal.pone.0146558			JAN 7 2016	2016	Little is known of the bacterial communities associated with the rhizosphere of wild plant species found in natural settings. The rhizosphere bacterial community associated with wild thyme, Thymus zygis L., plants was analyzed using cultivation, the creation of a near-full length 16S rRNA gene clone library and 454 amplicon pyrosequencing. The bacterial community was dominated by Proteobacteria (mostly Alphaproteobacteria and Betaproteobacteria), Actinobacteria, Acidobacteria, and Gemmatimonadetes. Although each approach gave a different perspective of the bacterial community, all classes/subclasses detected in the clone library and the cultured bacteria could be found in the pyrosequencing datasets. However, an exception caused by inconclusive taxonomic identification as a consequence of the short read length of pyrotags together with the detection of singleton sequences which corresponded to bacterial strains cultivated from the same sample highlight limitations and considerations which should be taken into account when analysing and interpreting amplicon datasets. Amplicon pyrosequencing of replicate rhizosphere soil samples taken a year later permit the definition of the core microbiome associated with Thymus zygis plants. Abundant bacterial families and predicted functional profiles of the core microbiome suggest that themain drivers of the bacterial community in the Thymus zygis rhizosphere are related to the nutrients originating from the plant root and to their participation in biogeochemical cycles thereby creating an intricate relationship with this aromatic plant to allow for a feedback ecological benefit.									0	0	0	0	0	0			1932-6203			WOS:000367810600055	26741495
J	"Jesus Perez-Luque, Antonio; Miguel Barea-Azcon, Jose; Alvarez-Ruiz, Lola; Javier Bonet-Garcia, Francisco; Zamora, Regino"								Dataset of Passerine bird communities in a Mediterranean high mountain (Sierra Nevada, Spain)								ZOOKEYS					552			137	154		10.3897/zookeys.552.6934			2016	2016	In this data paper, a dataset of passerine bird communities is described in Sierra Nevada, a Mediterranean high mountain located in southern Spain. The dataset includes occurrence data from bird surveys conducted in four representative ecosystem types of Sierra Nevada from 2008 to 2015. For each visit, bird species numbers as well as distance to the transect line were recorded. A total of 27847 occurrence records were compiled with accompanying measurements on distance to the transect and animal counts. All records are of species in the order Passeriformes. Records of 16 different families and 44 genera were collected. Some of the taxa in the dataset are included in the European Red List. This dataset belongs to the Sierra Nevada Global-Change Observatory (OBSNEV), a long-term research project designed to compile socio-ecological information on the major ecosystem types in order to identify the impacts of global change in this area.									0	0	0	0	0	0			1313-2989	1313-2970		WOS:000368394100009	
J	"Fernandez Prieto, Jose Antonio; Molero Mesa, Joaquin; Perez Suarez, Marta; Sanna, Mauro; Munoz Diaz, Jose Miguel; Cires, Eduardo"								Are they different species or vicariant elevational races of the same species? The case of an Iberian endemic plant, Ranunculus bupleuroides (Ranunculaceae)								PHYTOTAXA				239	3			242	252					DEC 24 2015	2015	The infrageneric taxonomy and evolution of Ranunculus are still not well understood. In this regard, we investigated the origin and genetic diversity of the Iberian endemic plant Ranunculus bupleuroides s.l. by analysis of nuclear internal transcribed spacers (ITS) and plastid (rpl32-trnL, rps16-trnQ, trnK-matK, ycf6-psbM) sequence data. Phylogenetic analysis reveals two geographically well supported subclades: one formed by high mountain plants and another by more typical samples of Ranunculus bupleuroides from the lowlands of the western Iberian Peninsula. The subclade of montane plants includes both plants originating in Gredos and Bejar (Ranunculus cherubicus subsp. cherubicus) and those from Sierra Nevada (R. cherubicus subsp. girelai). In the light of the new molecular results obtained, combined with an assessment of morphological, geographical and ecological characters, a new systematic treatment is proposed.									0	0	0	0	0	0			1179-3155	1179-3163		WOS:000367223000005	
J	"Valero, Pablo; Ortiz, Antonio S."								Description and DNA barcoding of a new Iberian species of Pijnackeria (Scali, 2009) from Sierra Nevada, Spain (Phasmida: Diapheromeridae)								ZOOTAXA				4058	4			535	550					DEC 18 2015	2015	"Male, female and egg of Pijnackeria recondita sp. n. are described from specimens collected at about 2,000 m in Sierra Nevada (Spain) feeding on Cytisus scoparius. The number of antennae segments in males, the smooth thorax in females and the different sculpturing of the egg capsule are the main differences from the other species of the genus. In addition, DNA barcode sequences (COI and COII) clearly differ from the other Iberian species of the genus. For COI, K2P minimum distance between the new species and the most morphological related species, Pijnackeria hispanica (Bolivar, 1878), showed a mean of 8%. In the case of COII, comparison with the other species of Pijnackeria, showed a K2P minimum distance range from 8 to 10.5% (mean 9.2%); and comparison with the species of the related genus Leptynia, showed a K2P minimum distance range from 7.1 to 10.5%."									0	0	0	0	0	0			1175-5326	1175-5334		WOS:000366842100005	26701544
J	"Julio, Luis F.; Burillo, Jesus; Gimenez, Cristina; Cabrera, Raimundo; Diaz, Carmen E.; Sanz, Jesus; Gonzalez-Coloma, Azucena"								Chemical and biocidal characterization of two cultivated Artemisia absinthium populations with different domestication levels								INDUSTRIAL CROPS AND PRODUCTS				76				787	792		10.1016/j.indcrop.2015.07.041			DEC 15 2015	2015	The objective of this study was the characterization and valorization of the essential oil from a domesticated Artemisia absinthium population (Teruel, Spain), and its comparison with another one (Sierra Nevada, Spain) undergoing the domestication process. These populations are being experimentally cultivated in the same field since 2008. We studied their biomass and essential oil production (Clevenger hydrodistillation, HD and semi-industrial vapor-pressure, VP). The domesticated population showed lower chemical variation and higher biomass and essential oil yields, allowing for the registration of a new plant variety. The observed variations in oil composition (HD, VP) between the two populations were mostly quantitative. The oils were characterized by the presence of cis-epoxyocimene, ()-cis-chrysanthenol, chrysanthenyl acetate, linalool and trans-caryophyllene. The insect antifeedant (Leptinotarsa decemlineata, Spodoptera littoralis, Myzus persicae and Rhopalosiphum padi) and antifungal (Fusarium spp. and Botrytis cinerea) effects of their oils were also tested. All VP extracts showed strong antifungal effects and the active antifungal compounds have been identified. (C) 2015 Elsevier B.V. All rights reserved.									1	0	0	1	0	1			0926-6690	1872-633X		WOS:000364890600098	
J	"Jimenez, Laura; Romero-Viana, Lidia; Maria Conde-Porcuna, Jose; Perez-Martinez, Carmen"								Sedimentary photosynthetic pigments as indicators of climate and watershed perturbations in an alpine lake in southern Spain								LIMNETICA				34	2			439	453					Dec-15	2015	A short core was collected in Rio Seco Lake, an alpine and oligotrophic lake located in the Sierra Nevada Mountains (in the southeast region of Spain) to determine the algal group changes over the past 200 years. In particular, it was analysed for fossil pigments and their derivatives and the geochemical (C/N ratio, grain-size analyses and isotopic dating) and climatic (temperature and rainfall values obtained from a long instrumental series) variables. The main pigments were carotenoids that indicate cyanobacteria (zeaxanthin, echinenone and myxoxanthophyll), diatoms and chrysophytes (fucoxanthin and diadinoxanthin) and green algae (lutein). The changes in pigment abundance over time were mainly explained by the temperature. Zeaxanthin showed a marked decrease from the 19th century to the present and is attributed to picoplanktonic cyanobacteria in Rio Seco Lake. This decrease may result from climate-driven factors affecting herbivorous grazing pressure and water residence time. The increasing human activity around the lake likely generated a high input of carotenoid-poor pigmented organic matter and led to the dilution of chlorophylls and labile carotenoids observed over recent decades.									0	0	0	0	0	0			0213-8409	1989-1806		WOS:000366881500014	
J	"Palenzuela, J. A.; Marsella, M.; Nardinocchi, C.; Perez, J. L.; Fernandez, T.; Chacon, J.; Irigaray, C."								Landslide detection and inventory by integrating LiDAR data in a GIS environment								LANDSLIDES				12	6			1035	1050		10.1007/s10346-014-0534-5			Dec-15	2015	In this work, a simple methodology is presented for processing high-resolution topographical data over wide areas. It is based on digital elevation model of differences (DEMoD) among high-resolution digital models (HRDEM) produced from light-detection and ranging (LiDAR) data. Because these qualitative approaches based on HRDEMs can be affected by errors related to misalignment between different passes of the airborne sensor and errors in classifying points, a simplified strategy was undertaken for their semi-automatic correction and supervision for analyzing geomorphological changes. Besides, it became possible to detect, delineate, and classify a total of 47 natural landslides and 50 slope-cut failures over an area of 234 km(2) on the basis of the analysis of the LiDAR products (DEMs and DEMoD) and the orthophotography imagery inspection integrated in a geographical information system (GIS). Most of the displacements detected were probably generated during the winter of 2009-2010 when a new record of cumulative rainfall was reached. The displacement rate of these movements cannot be known with precision, but the minimum velocity that can be obtained is 0.3 m/year regarding the period between the two data acquisitions carried out in November 2008 and July 2010. On the other hand, a comparison was made of the existing susceptibility maps with respect to this new inventory, which indicated greater landslide frequency in areas of moderate susceptibility levels. The influence of treating inventories at different temporal scales is discussed.									0	0	0	0	0	0			1612-510X	1612-5118		WOS:000366124000001	
J	"Nassl, Michael; Loeffler, Joerg"								Ecosystem services in coupled social-ecological systems: Closing the cycle of service provision and societal feedback								AMBIO				44	8			737	749		10.1007/s13280-015-0651-y			Dec-15	2015	Both the 'cascade model' of ecosystem service provision and the Driver-Pressure-State-Impact-Response framework individually contribute to the understanding of human-nature interactions in social-ecological systems (SES). Yet, as several points of criticism show, they are limited analytical tools when it comes to reproducing complex cause-effect relationships in such systems. However, in this paper, we point out that by merging the two models, they can mutually enhance their comprehensiveness and overcome their individual conceptual deficits. Therefore we closed a cycle of ecosystem service provision and societal feedback by rethinking and reassembling the core elements of both models. That way, we established a causal sequence apt to describe the causes of change to SES, their effects and their consequences. Finally, to illustrate its functioning we exemplified and discussed our approach based on a case study conducted in the Alpujarra de la Sierra in southern Spain.									0	0	0	0	0	0			0044-7447	1654-7209		WOS:000365268600003	25964160
J	"Gilgado, Jose D.; Enghoff, Henrik; Tinaut, Alberto; Mauries, Jean-Paul; Ortuno, Vicente M."								Sierra Nevada (Granada, Spain): a high-altitude biogeographical crossroads for millipedes (Diplopoda), with first data on its MSS fauna and description of a new species of the genus Ceratosphys Ribaut, 1920 (Chordeumatida: Opisthocheiridae)								ZOOTAXA				4044	3			391	410					NOV 19 2015	2015	Millipedes (Diplopoda), with a few notable exceptions, are poor dispersers, showing a very high degree of endemicity, not the least in mountains. The first samplings of the Mesovoid Shallow Substratum (MSS) of the higher altitudes of the Sierra Nevada Mountains (Baetic System, Southern Spain) have led to the discovery of a high number of millipedes, each of the species present showing a different degree of establishment in this subterranean environment. An update of the knowledge on the millipedes of this region, the first data of the millipede communities in the MSS and the description of Ceratosphys cryodeserti Gilgado, Mauries & Enghoff n. sp. are here provided, as well as the first data on the humidity and temperature fluctuations in the MSS of this high mountain. The new species is similar to other Baetico-Riffan species, while the only previously known congener from the region, C. soutadei Mauries, 1969, has more similarities to certain Pyrenean species. Biogeographical relationships of all the captured species are also discussed.									0	0	0	0	0	0			1175-5326	1175-5334		WOS:000365153900004	26624717
J	"Azanon, J. M.; Galve, J. P.; Perez-Pena, J. V.; Giaconia, F.; Carvajal, R.; Booth-Rea, G.; Jabaloy, A.; Vazquez, M.; Azor, A.; Roldan, F. J."				Perez Pena, Jose Vicente/M-2070-2014	Perez Pena, Jose Vicente/0000-0001-8880-7375			Relief and drainage evolution during the exhumation of the Sierra Nevada (SE Spain): Is denudation keeping pace with uplift?								TECTONOPHYSICS				663		SI		19	32		10.1016/j.tecto.2015.06.015			NOV 16 2015	2015	We have performed a geomorphic analysis of the Sierra Nevada, the highest range of the Betic Cordillera (SE Spain), with the aim to elucidate its late Miocene to present-day exhumation history. The qualitative and quantitative analysis is based on filtered topography, local relief, swath-profile analysis, anomalies on stream orientation, bulk erosion volume, hypsometry, and steepness index (k(sn)). All these parameters are intimately linked to river incision and development of drainage pattern, having been calculated to assess the role of folding and faulting on the evolution of the Sierra Nevada. Moreover, uplift rates in the core of the Sierra Nevada have been deduced from an extrapolation of the position of Late Tortonian to Pliocene coastline deposits. These data have been compared to apatite (U-Th)/He, fission-track and Be-10 cosmogenic data from SE Spain in order to evaluate the consistency among uplift, thermal histories and denudation rates. Our preferred tectonic scenario is one that favors fast exhumation of the western Sierra Nevada in a NW SE overall compressive setting produced by the convergence between the Nubia and Africa plates. Sub-perpendicular to this compression, a westward 4 mm/year extensional hanging-wall displacement promotes uplift and unroofing of the western part of Sierra Nevada. (C) 2015 Elsevier B.V. All rights reserved.									1	0	0	0	0	1			0040-1951	1879-3266		WOS:000366227700003	
