Reference Type	Authors, Primary	Title Primary	Periodical Full	Periodical Abbrev	Pub Year	Pub Date Free From	Volume	Issue	Start Page	Other Pages	Keywords	Abstract	Notes	Personal Notes	Authors, Secondary	Title Secondary	Edition	Publisher	Place Of Publication	Authors, Tertiary	Authors, Quaternary	Authors, Quinary	Title, Tertiary	ISSN/ISBN	Availability	Author/Address	Accession Number	Language	Classification	Sub file/Database	Original Foreign Title	Links	URL	DOI	PMID	PMCID	Call Number	Database	Data Source	Identifying Phrase	Retrieved Date	Shortened Title	User 1	User 2	User 3	User 4	User 5	User 6	User 7	User 8	User 9	User 10	User 11	User 12	User 13	User 14	User 15
Journal Article		[Collecting insects, why and for what?]	Quercus	 	1997	Septiembre 1997	139	 	50	 	"Biodiversity & Conservation;Environmental Sciences & Ecology;Zoology;Lepidoptera [Conservation measures / / Licensing recommended for specimen collection] [Spain / / Parque Natural de Sierra Nevada;Collecting restrictions recommended]."	 	"PT: J BD: Conservation; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR13400048891"	 		 	 	 	 				 	0212-0054	 	 	 	 	 	DT: Article	Recoleccion de insectos, por que y para que?	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Abolafia,Joaquin;Pena Santiago,Reyes"	Nematodes of the order Dorylaimida from Andalucia Oriental, Spain. The genus Mesodorylaimus Andrassy, 1959. 2. Two new species with pre- and/or postvulval ornamentations.	Russian Journal of Nematology	 	1997	November 10 1997	5	2	81	88	"Zoology;Mesodorylaimus ibericus;Mesodorylaimus ornativulvatus [Spain / / South east;New species]."	 	"PT: J BD: Systematics; Nomenclature; New taxa; Land zones; Palaearctic region;    Eurasia; Europe; UT: ZOOREC:ZOOR13400059754"	 		 	 	 	 				 	0869-6918	 	"Abolafia, Joaquin; Dpto. Biologia Animal, Vegetal y Ecologia, Universidad de Jaen, Paraje ""Las Lagunillas"" s/n, Edificio no 5, 23071-Jaen, Spain."	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alasaad,Samer;Granados,Jose E.;Fandos,Paulino;Cano-Manuel,Francisco-Javier;Soriguer,Ramon C.;Perez,Jesus M."	The use of radio-collars for monitoring wildlife diseases: a case study from Iberian ibex affected by Sarcoptes scabiei in Sierra Nevada, Spain.	Parasites & Vectors	 	2013	Aug 22 2013	6	 	1	5	"Pathology;Zoology;Parasitology;Capra pyrenaica [Pathological techniques / Disease monitoring / ] [Radio tracking / Radio collars / ] [Arachnid parasites / Sarcoptes scabiei / ] [Spain / Sierra Nevada mountain range / ]. Sarcoptes scabiei [Mammalian hosts / Capra pyrenaica / Radio collars use for disease monitoring] [Spain / Sierra Nevada mountain range / ]."	Background: Wildlife radio tracking has gained popularity during the recent past. Ecologists and conservationists use radio-collars for different purposes: animal movement monitoring, home range, productivity, population estimation, behaviour, habitat use, survival, and predator-prey interaction, among others. The aim of our present study is to highlight the application of radio-collars for wildlife diseases monitoring. The spread of wildlife diseases and the efficacy of management actions for controlling them propose serious challenges for ecologists and conservationists, since it is difficult to re-capture (or simply observe) the same animal in pre-determined temporal interval, but such difficulty is overcome by the use of gps-gsm radio collars. Methods: In the present study we report, for the first time to our knowledge, the use of radio-collars in the monitoring of Iberian ibex affected by Sarcoptes scabiei in Sierra Nevada mountain range, Spain. Twenty-five moderate or slightly mangy animals were radio-collared between 2006 and 2013. Results: The radio-collars allowed us to confirm the presence of resistance to S. scabiei within Iberian ibex population. Twenty (80%) of the collared animals recovered totally from mange, while the disease progressed in the other five Iberian ibex (20% of the collared animals) and the animals died. The average estimated recovery time of the resistant animals was 245 [plus or minus] 277 days, and the estimated average survival time of the non-resistant Iberian ibex was 121 [plus or minus] 71 days. Non-resistant animals survived at least 100 days, while all of them died with less than 200 days. Sixty per cent of the resistant animals were recovered with less than 200 days. Conclusions: We report, for the first time, the successful use of radio collars for wildlife diseases monitoring using Iberian ibex/S. scabiei as a model. By using radio collars we documented that most of the Sarcoptes-infected Iberian ibex are resistant to this disease, and we estimated the average time for Iberian ibex recovering from mange infection and the average survival time of the non-resistant ones. We expect wider use of radio-collars for wild animals diseases monitoring, affected/not-affected animals interaction, and treatment efficacy, among others.	"PT: J BD: Techniques; Tracking techniques; Parasites diseases and disorders;    Parasites; Hosts; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR15002006965"	 		 	 	 	 				 	1756-3305	 	"Alasaad, Samer; CSIC, Estn Biol Donana, Avda Amer Vespucio S-N, Sevilla, 41092, Spain, Spain.; sameralasaad@hotmail.com"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Alba Tercedor,J.	Baetis maurus Kimmins, 1938 (Ephemeroptera: Baetidae) en la Peninsula Iberica. Aportacion al conocimiento morfologico de la ninfas.	Boletin de la Asociacion Espanola de Entomologia	Bol.Asoc.Esp.Entomol.	1983	1982[1983]	6	2	173	178	"Zoology;Baetis maurus [Spain / / Granada;Sierra Nevada;First confirmed record for Iberian Peninsula & systematics]."	 	"PT: J BD: Systematics; Nomenclature; Land zones; Palaearctic region; Eurasia;    Europe; UT: ZOOREC:ZOOR12000029769"	 		 	 	 	 				 	0210-8984	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Alba Tercedor,J.	Ephemerella (Chitonophora) ikonomovi nevadensis n. ssp. de Sierra Nevada, Espana (Ephemeroptera, Ephemerellidae).	Boletin de la Asociacion Espanola de Entomologia	Bol.Asoc.Esp.Entomol.	1983	1982[1983]	6	2	285	293	"Zoology;Ephemerella (Chitonophora) ikonomovi nevadensis [Spain / / Sierra Nevada;New subspecies]."	 	"PT: J BD: Systematics; Nomenclature; New taxa; Land zones; Palaearctic region;    Eurasia; Europe; UT: ZOOREC:ZOOR12000031460"	 		 	 	 	 				 	0210-8984	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Alba Tercedor,J.	Larvas de plecopteros de las estribaciones de Sierra Nevada (Granada). Factores que intervienen en su distribucion.	Boletin de la Asociacion Espanola de Entomologia	Bol.Asoc.Esp.Entomol.	1979	1979	3	 	193	198	"Environmental Sciences & Ecology;Zoology;Marine & Freshwater Biology;Plecoptera [Community structure / / Larval distribution;altitude & river characteristic relationships] [Distribution in relation to physical environment / / Larval community structure] [River / / Physical characteristics;altitude & larval community structure] [Altitude / / River physical characteristics;larval community structure relations] [Spain / / Sierra Nevada;River physical characteristics & altitude relations]."	 	"PT: J BD: Ecology; Palaeoecology; Habitat; Freshwater habitat; Lotic water;    Abiotic factors; Physical factors; Land zones; Palaearctic region;    Eurasia; Europe; Geological time periods; UT: ZOOREC:ZOOR11700021694"	 		 	 	 	 				 	0210-8984	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alba Tercedor,J.;Jimenez Millan,F."	Larvas de efemeropteros de las estribaciones de Sierra Nevada. Factores que intervienen en su distribucion.	Boletin de la Asociacion Espanola de Entomologia	Bol.Asoc.Esp.Entomol.	1978	1978	2	 	91	103	"Environmental Sciences & Ecology;Zoology;Marine & Freshwater Biology;Ephemeroptera [Distribution within habitat / / environmental factors & habitat substrate effects;larva] [River / / Distribution] [Habitat substrate / / Distribution within river habitat effects] [Chemical factors / / ] [External pH / / ] [Light / / ] [Water / / Current] [Spain / / Sierra Nevada;Distribution within river habitat;influencing factors]."	The distribution of Ephemeroptera larvae in uncontaminated river waters, based upon current speed, type of bed, vegetation, pH, O2 concentration, nitrates and light, was studied. [Species discussed include Baetis cf. bioculatus, B. pavidus, B. cf. muticus, Centroptilum luteolum, Ecdyonurus helveticus, Rhithrogena semicolorata, Eperous torrentium, Caenis rivulorum, Ephemera vulgata, E. danica, E. lineata, E. ignita, Chitonophora sp., Habrophlebia fusca and Paraleptophlebia submarginata.	"PT: J BD: Ecology; Habitat; Freshwater habitat; Lotic water; Abiotic factors;    Chemical factors; Physical factors; Land zones; Palaearctic region;    Eurasia; Europe; UT: ZOOREC:ZOOR11500017941"	 		 	 	 	 				 	0210-8984	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Alba-Tercedor,J.	Life cycle and ecology of mayflies from Sierra Nevada (Spain), 4.	Limnetica	 	1990	1990	6	 	23	33	"Developmental Biology;Zoology;Environmental Sciences & Ecology;Marine & Freshwater Biology;Ephemeroptera [Life cycle / / Streams] [Ecology / / Autoecology;notes] [Distribution within habitat / / influencing factors] [Stream / / distribution & life cycle] [Abiotic factors / / Distribution;ecology & life cycle relationships] [Spain / / Sierra Nevada]."	 	"PT: J BD: Life cycle and development; Ecology; Habitat; Freshwater habitat; Lotic    water; Abiotic factors; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR12900016294"	 		 	 	 	 				 	0213-8409	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Alba-Tercedor,J.	Life cycles and ecology of some species of Ephemeroptera from Spain.	Series Entomologica (Dordrecht)	 	1989	1989	44	 	13	16	"Reproductive Biology;Zoology;Developmental Biology;Environmental Sciences & Ecology;Marine & Freshwater Biology;Ephemerella (Chitonophora) ikonomovi nevadensis;Oligoneuriella marichuae;Torleya [Number of generations / / Streams] [Life cycle / / ] [Distribution within habitat / / ] [Habitat preference / / ] [Stream / / Life cycle & distribution] [Spain / / Sierra Nevada;Life cycle & distribution in streams]."	 	"PT: J BD: Reproduction; Reproductive productivity; Fecundity; Life cycle and    development; Ecology; Habitat utilization; Habitat; Freshwater habitat;    Lotic water; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR12600042403"	 		 	 	 	 				 	0924-4603	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Alba-Tercedor,J.	Ecologia, distribucion y ciclos de desarrollo de efemeroteros de Sierra Nevada (Granada, Espana). 2. Baetidae (Insecta, Ephemeroptera).	Limnetica	 	1984	1984	1	1	234	246	"Developmental Biology;Zoology;Environmental Sciences & Ecology;Marine & Freshwater Biology;Baetis;Centroptilum luteolum;Cloeon cognatum [Life cycle / / ] [Age class distribution / / Seasonal variation] [Distribution within habitat / / Streams] [Stream / / Distribution & ecology] [Spain / / Granada;Sierra Nevada]."	 	"PT: J BD: Life cycle and development; Ecology; Population dynamics; Population    structure; Habitat; Freshwater habitat; Lotic water; Land zones;    Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR12500057561"	 		 	 	 	 				 	0213-8409	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
