Reference Type	Authors, Primary	Title Primary	Periodical Full	Periodical Abbrev	Pub Year	Pub Date Free From	Volume	Issue	Start Page	Other Pages	Keywords	Abstract	Notes	Personal Notes	Authors, Secondary	Title Secondary	Edition	Publisher	Place Of Publication	Authors, Tertiary	Authors, Quaternary	Authors, Quinary	Title, Tertiary	ISSN/ISBN	Availability	Author/Address	Accession Number	Language	Classification	Sub file/Database	Original Foreign Title	Links	URL	DOI	PMID	PMCID	Call Number	Database	Data Source	Identifying Phrase	Retrieved Date	Shortened Title	User 1	User 2	User 3	User 4	User 5	User 6	User 7	User 8	User 9	User 10	User 11	User 12	User 13	User 14	User 15
Journal Article	Boucher,C.	Data for a Phytoecological Map of Andalusia Spain I. Abiotic Environment	Ecologia Mediterranea	 	1989	 	15	01-Feb	3	22	"Life Sciences & Biomedicine - Other Topics;Plant Sciences;Meteorology & Atmospheric Sciences;Environmental Sciences & Ecology;Physiology"	"The author collects the preliminary documents to realize a synthetical map of the ecological and botanical factors in Andalucia (Spain). In the first part, he gives the natural limits of the province (and its position in the mediterranean basin (between 36.degree. and 38.degree. 40N)). In the second part, he describes the main lithological unities of the province (N-E sector calcareous and mountainous; S-E with the Sierra Nevada siliceous; West with great complexity). The great part of the work is an analysis of the climate. The average temperature shows a N-E sector with great amplitudes, comparatively cool; a S-E region with steep thermical gradients of altitude and a hot west region, with slight amplitude. The maximas of rainfall are in the western region and the N-E. After the study of regional climates, the author analyses the coastal one, and he tries to build an accurate system for the definition of the mediterranean mountain climates."	PT: J	 		 	 	 	 				 	0153-8756 ER	 	"BOUCHER C; DOMAINE SAINT-JEAN, D1, 13011 MARSEILLE"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Brugues,Montserrat;Sergio,Cecilia;Casas,Creu;Cros,Rosa M."	Rediscovery of Brachymenium commutatum (Mull.Hal.) A. Jaeger and Pohlia andalusica (Hohn.) Broth. in the Sierra Nevada (SE Spain).	Lindbergia	Lindbergia	2003	Sep-03	28	2	99	101	Life Sciences & Biomedicine - Other Topics	 	PT: J ME: print	 		 	 	 	 				 	0105-0761 ER	 	"Brugues, Montserrat; Casas, Creu; Cros, Rosa M.; Botanica, Univ. Autonoma de Barcelona, ES-08193, Bellaterra, Spain"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Brullo,S.;Pavone,P.;Salmeri,C."	A new species of Allium sect. Codonoprasum from Sierra Nevada (Spain)	Sendtnera	 	1996	 	3	0	95	100	"Life Sciences & Biomedicine - Other Topics;Cell Biology;Environmental Sciences & Ecology;Genetics & Heredity;Anatomy & Morphology"	A new species of Allium sect. Codonoprasum, Allium valdesianum, is described and illustrated. A. valdesianum occurs in the alpine belt of the Sierra Nevada, S Spain and grows there on rocky pastures. Its karyology, leaf anatomy and taxonomical relationships are discussed.	PT: J	 		 	 	 	 				 	0944-0178 ER	 	"Brullo, S.; Dipartimento di Botanica, via A. Longo 19, I-95125, Catania, Italy"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Calle Martinez,D.;Vilchez Quero,A.;Casas Jimenez,J. J."	Chironomids (Diptera) of the Upper Guadalquivir (Sierra de Cazorla, Southern Spain)	Annales de Limnologie	Ann.Limnol.	1995	 	31	3	201	213	"Life Sciences & Biomedicine - Other Topics;Developmental Biology;Environmental Sciences & Ecology;Marine & Freshwater Biology;Physiology"	"Pupal exuviae, pupae and imagines of chironomids were collected by drift and hand netting from 17 sites on the Upper Guadalquivir, Andalusia, Southern Spain, in 1987 and 1988. The sites covered an altitudinal range from 240 m to 1330 m. The collections revealed a mixed fauna of 165 species, 86 of which are new to the Guadalquivir region and 21 to Spain. 4 new exuviae were sampled. The total number of species recorded now for the Iberian Peninsula is 376. 26% of the species have a holarctic distribution, 70% are palaearctic, among them 46% have a broad distribution and 5% a mediterranean distribution; 1% has an afrotropical distribution and 3% are present in various geographical regions. A high faunistic similarity with the French Pyrenees and Massif Central is noticeable. Nevertheless, there is a significant difference with the Sierra Nevada, nearer geographically, due to the different hydrological and physiographical conditions between the two prospected regions. The faunistic similarity among Moroccan rivers located in the Rif and the Upper Atlas is not so great but further samplings around these zones could increase considerably their specific similitude."	PT: J	 		 	 	 	 				 	Mar-88	 	"Calle Martinez, D.; Inst. de Bachillerato Los Manantiales, Dep. de Biol. Geol., 29620 Torremolinos, Spain"	 	 	 	DT: Article	 	 	 	10.1051/limn/1995018 ER	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Casas,J. Jesus;Langton,Peter H."	The larva and pupa of Diamesa veletensis Serra-Tosio, 1971 (Diptera: Chironomidae)	Entomologist's Gazette	Entomol.Gaz.	2001	09-Apr-01	52	2	117	124	Developmental Biology	 	PT: J ME: print	 		 	 	 	 				 	0013-8894 ER	 	"Langton, Peter H.; 5 Kylebeg Avenue, Mountsandel, Coleraine, Co. Londonderry, BT52 1JN, UK"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Cebolla Lozano,C.;Rivas Ponce,M. A."	Considerations on Festuca-Baetica in Sierra Nevada Granada Spain	Lagascalia	 	1990	 	15	2	161	164	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"	The panicular characters of Festuca paniculata (L.) Schinz and Thell. subsp. baetica (Hackel) Emberger and Maire in Sierra Nevada (Granada) are analyzed. The combination F. baetic subsp. moleroi Cebolla and Rivas Ponce is proposed.	PT: J	 		 	 	 	 				 	0210-7708 ER	 	"CEBOLLA LOZANO C; CU SAN PABLO, MADRID, SPAIN"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Chueca,F. E.	Plant Species and Communities of the Calcareous Region of the Sierra-Nevada Plants from Dornajo and Treveneque	Boletim da Sociedade Broteriana	 	1973	1973/74	47	SUPPL	179	224	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"	 	PT: J	 		 	 	 	 				 	0081-0657 ER	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Dathe,Holger H.	Studies on the systematics and taxonomy of the genus Hylaeus F. (3) (Apidae, Colletinae). A revision of the Hylaeus nivalis group in Europe, and the identity of additional Western Palaeartic species	Beitraege zur Entomologie	Beitr.Entomol.	2000	 	50	1	151	174	Life Sciences & Biomedicine - Other Topics	"The discovery of three new species, Hylaeus (H.) hellenicus sp. n., H. ibericus sp. n. and H. pyrenaicus sp. n., gave rise to a revision of the European taxa of the Hylaeus nivalis group; a key to the males is given. In the Hylaeus communis group, in the Westpalaearctic region two morphologically separated species circles are defined: communis s. str. und deceptorius. New synonymy: Hylaeus (H.) deceptorius (BENOIST) = Prosopis communis cretica WARNCKE syn. n. The Hylaeus garrulus group from the Iberian peninsula consists of three species. Their distribution has to be re-examined, a key is provided. One species is new, H. (Prosopis) convergens sp. n. The following additional species are described: H. (Paraprosopis) emir sp. n. (UAE), H. (Koptogaster) tetris sp. n. (Turkey). H. (Hylaeus) cervinus (WARNCKE, 1992) male is redescribed."	PT: J ME: print	 		 	 	 	 				 	0005-805X ER	 	"Dathe, Holger H.; Deutsches Entomologisches Institut im Zentrum fuer Agrarlandschafts- und Landnutzungsforschung (ZALF), Schicklerstrasse 5, D - 16225, Eberswalde, Germany"	 	 	 	"DT: Article; LT: Taxonomic Review; Taxonomic Key"	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"de Figueroa,Jose Manuel Tierno;Sanchez-Ortega,Antonino"	Imaginal feeding of twelve Nemouroidean stonefly species (Insecta, Plecoptera)	Annals of the Entomological Society of America	Ann.Entomol.Soc.Am.	2000	March, 2000	93	2	251	253	"Behavioral Sciences;Environmental Sciences & Ecology"	We studied the gut contents of adults of 12 stonefly species of the superfamily Nemouroidea, belonging to 3 different families: Nemouridae (4 species), Capniidae (2 species), and Leuctridae (6 species) from the Sierra Nevada Mountains in Spain (southern Iberian Peninsula). For each species, we describe the male and female diet. After determining and quantifying the different components, we deduced that feeding is important among adults in this superfamily, and that the diet is varied, with cyanolichens and cyanophyceae being prominent, and hyphae and spores of Ascomycetes sometimes eaten, whereas pollen is amply consumed by some spring or spring-summer species.	PT: J ME: print	 		 	 	 	 				 	0013-8746 ER	 	"de Figueroa, Jose Manuel Tierno; Sanchez-Ortega, Antonino; Departamento de Biologia Animal y Ecologia, Facultad de Ciencias, Universidad de Granada, 18071, Granada, Spain"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"De Figueroa,Jose Manuel Tierno;Sanchez-Ortega,Antonino"	Imaginal feeding of certain Systellognathan stonefly species (Insecta: Plecoptera)	Annals of the Entomological Society of America	Ann.Entomol.Soc.Am.	1999	March, 1999	92	2	218	221	Nutrition & Dietetics	The digestive contents of adult males and females of 4 species of Systellognathan stoneflies were studied and analyzed: Perla marginata (Perlidae), Isoperla grammatica and I. nevada (Perlodidae) and Chloroperla nevada (Chloroperlidae). The study was conducted throughout the flight periods of these species in Sierra Nevada (Granada, Southern Iberian Peninsula), to determine possible variations in diet over time. The species of the families Chloroperlidae and Perlodidae fed during the adult stage, and the proportion of the different dietary components changed over the flight period in relation to the availability of such components. The data obtained for P. marginata, based on few specimens, indicated that feeding had little importance during the imaginal life.	PT: J ME: print	 		 	 	 	 				 	0013-8746 ER	 	"De Figueroa, Jose Manuel Tierno; Sanchez-Ortega, Antonino; Departamento de Biologia Animal y Ecologia, Facultad de Ciencias, Universidad de Granada, 18071, Granada, Spain"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	De Worms,C. G. M.	Plebicula-Golgus and Other Butterflies in the Sierra-Nevada Spain July 1975	Entomologist's Record and Journal of Variation	Entomol.Rec.J.Var.	1976	 	88	3	59	63	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"	 	PT: J	 		 	 	 	 				 	0013-8916 ER	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Dominguez Lozano,F.;Galicia Herbada,D.;Moreno Rivero,L.;Moreno Saiz,J. C.;Sainz Ollero,H."	Areas of high floristic endemism in Iberia and the Balearic islands: An approach to biodiversity conservation using narrow endemics	Belgian Journal of Entomology	Belg.J.Entomol.	2000	12-May-00	2	1	171	185	Biodiversity & Conservation	"The areas of highest concentration of narrow endemic vascular plants in Iberia and the Balearic Islands are presented. These areas were obtained from an analysis of a representative number of this kind of endemics and compared with those from previous studies of other plant groups and different methodologies. The analysis of the distribution patterns of this group of endemics reveals a very high concentration in the Baetic mountain range, of which the Sierra Nevada is particularly outstanding, and in the Balearic Islands. These results are consistent with previous studies that used other plant groups (dicotyledons, monocotyledons). However, narrow endemics are of relatively little importance in regions commonly regarded as being of high endemism (e.g., the Pyrenees and the Hercynic arc: siliceous ranges that limit the northern ""meseta"" towards the West and the South). The same geographical units are highlighted in relation to the endangered or vulnerable narrow endemic group, whereby the highest values are seen in the Sierra Nevada and the Balearics, while that of the Pyrenees is notably low. The combined analysis of the areas of narrow endemics and the network of protected areas reveals notable deficiencies in the protection of rare and threatened flora."	PT: J ME: print	 		 	 	 	 				 	1374-5514 ER	 	"Dominguez Lozano, F.; Galicia Herbada, D.; Moreno Rivero, L.; Moreno Saiz, J. C.; Sainz Ollero, H.; Departamento de Biologia (Botanica), Universidad Autonoma de Madrid, Cantoblanco, Madrid, E-28049, Spain"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Dominguez Lozano,F.;Galicia Herbada,D.;Moreno Rivero,L.;Moreno Saiz,J. C.;Sainz Ollero,H."	Threatened plants in peninsular and Balearic Spain: A report based on the EU Habitats Directive	Biological Conservation	Biol.Conserv.	1996	 	76	2	123	133	"Life Sciences & Biomedicine - Other Topics;Biodiversity & Conservation;Environmental Sciences & Ecology;Government & Law"	Following Appendix II from the EU Habitats Directive, the distribution and conservation status of 102 plant species in mainland Spain and Balearic Islands were studied. Distribution data from herbarium and bibliographic sources were collected. Field work for the 78 taxa with the most restricted distributions was undertaken in order to improve the knowledge of their populations, distribution limits and possible threats. Some extreme examples of species with very low number of individuals or very narrow areas of occupancy are pointed out. Natural causes and land development are stressed as the most important factors of threat. Changes in the assignment of IUCN categories are proposed for some plants. Using the distribution data of these 102 plants, graphical and ecological patterns are discussed, identifying Sierra Nevada as an enclave with the largest number of threatened taxa. Inconsistencies between previous Red Lists of endangered Spanish plants and the Habitats Directive are indicated, and some guidelines for plant conservation in Spain are proposed.	PT: J	 		 	 	 	 				 	0006-3207 ER	 	"Moreno Saiz, J. C.; Departamento de Biologia, Universidad Autonoma de Madrid, Cantoblanco, 28049 Madrid, Spain"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Dufour,C.	The Identity of Tipula-Saginata Bergroth and Tipula-Obscuriventris Strobl and the Description of Tipula-Leo New-Species Sp. from the Sierra Nevada in Spain Diptera Tipulidae	Mitteilungen der Schweizerischen Entomologischen Gesellschaft	 	1991	 	64	01-Feb	81	91	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"	Tipula (Emodotipula) leo sp. n. is described after a male and a female were caught along a stream running in a steep deciduous forest of the foothills of Sierra Nevada. The new species differs markedly from both other western palaearctic species of the subgenus Emodotipula which are revised and for which neotypes are designated.	PT: J	 		 	 	 	 				 	0036-7575 ER	 	"DUFOUR C; MUSEE D'HISTOIRE NATURELLE, TERREAUX 14, CH-2000 NEUCHATEL, SWITZERLAND"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Dufour,C.	Tipula-Nevada New-Species and Tipula-Invenusta-Microinvenusta New-Subspecies from the Heights of Sierra Nevada in Spain Diptera Tipulidae	Mitteilungen der Schweizerischen Entomologischen Gesellschaft	 	1990	 	63	01-Feb	227	232	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"	A description is given of the male of Tipula (Acutipula) nevada sp. n. This species is closely related to T. (A.) fulvipennis De Geer, T. (A.) niethammeri Mannheims and T. (A.) nigroantennata Savtshenko. Tipula (Savtshenkia) invenusta microinvenusta ssp. n. is described after a large series of males and females. A population of T. (S.) gimmerthali Lackschewitz with hemipterous females is recorded.	PT: J	 		 	 	 	 				 	0036-7575 ER	 	"DUFOUR C; MUSEE HISTOIRE NATURELLE, TERREAUX 14, CH-2000 NEUCHATEL"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Dufour,C.;Oosterbroek,P."	Tipula-Vaillanti-Andalucia New-Subspecies from Southern Spain Diptera Tipulidae	Mitteilungen der Schweizerischen Entomologischen Gesellschaft	 	1990	 	63	01-Feb	233	236	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology;Reproductive Biology"	A description is presented of the male and female of Tipula (Vestiplex) vaillanti andalucia ssp. n. from southern Spain. T. (V.) vaillanti is placed in the virgatula group, the species of which are considered tertiary relicts. The ovipositor of the female, described here for the first time, does indeed show a number of primitive characters.	PT: J	 		 	 	 	 				 	0036-7575 ER	 	"DUFOUR C; MUSEE HISTOIRE NATURELLE, TERREAUX 14, CH-2000 NEUCHATEL, SWITZERLAND"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Durrieu,Guy;Adhikari,Mahesh K."	Distribution of some groups of plant parasitic fungi in high mountains	"Bibliotheca Mycologica; Arctic and alpine mycology 3-4"	 	1993	 	150	 	23	31	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Infectious Diseases"	 	PT: S	 	Petrini,O. Laursen,G.A.	Bibliotheca Mycologica	 	 	 				 	"0067-8066; 3-443-59051-9 ER"	 	"Durrieu, Guy; Lab. Botanique et Forestier, Univ. Paul Sabatier, F-31062 Toulouse, France"	 	 	 	"DT: Article; Meeting"	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Egea,J. M.;Llimona,X.;Casares,M."	Silicicolous Lichen Flora of the Highest Part of the Sierra-Nevada Spain	Collectanea Botanica (Barcelona)	 	1982	 	13	1	295	312	Life Sciences & Biomedicine - Other Topics	 	PT: J	 		 	 	 	 				 	0010-0730 ER	 	"EGEA J M; DEP BOT, FAC CIENCIAS, UNIV MURCIA, SPAIN"	 	 	 	DT: Meeting	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Evers,A. M. J.	Synopsis of the Monophylum of Attalus-Tristis Luc. with a Description of a New Species Attalus-Santiagoi New-Species in the Southwestern Palearctic 71st Contribution to the Knowledge of the Malachiidae	Entomologische Blaetter fuer Biologie und Systematik der Kaefer	 	1988	 	84	3	171	174	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"	 	PT: J	 		 	 	 	 				 	0013-8835 ER	 	"EVERS A M J; KREFELD"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Fernandez-Escudero,Ignacio;Tinaut,Alberto"	Foraging strategies and dietary preferences of a high mountain ant. (Hymenoptera: Formicidae)	Polish Journal of Ecology	Pol.J.Ecol.	1998	 	46	1	23	32	"Behavioral Sciences;Environmental Sciences & Ecology"	The ant Proformica longiseta inhabits the dry zones of the Mediterranean high mountain. A generalist feeder, this species has a predilection for liquid food, and its solid diet changes over the active period according to the prey available. It forages alone without recruitment or cooperation. The abundance of repletes varies in parallel to the quantity of food collected, representing a solution for food shortage periods. The territories surrounding the nests are not clearly defined, but rather overlap with foraging areas of several ant nests.	PT: J ME: print	 		 	 	 	 				 	1505-2249 ER	 	"Fernandez-Escudero, Ignacio; Tinaut, Alberto; Departamento de Biologia Aninal y Ecologia Facultad de Ciencias, Universidad de Granada, 18071, Granada, Spain"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Fernandez-Rubio F;Gomez-Bustillo M R"	Rhopalocera and Zygaena-Spp of the Sierra-Nevada Spain	Alexanor	Alexanor	1972	 	7	8	339	345	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"	 	PT: J	 		 	 	 	 				 	0002-5208 ER	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Fery,H.	Revision of a part of the memnonius-group of Hydroporus CLAIRVILLE, 1806 (Insecta: Coleoptera: Dytiscidae) with the description of nine new taxa, and notes on other species of the genus	Annalen des Naturhistorischen Museums in Wien Serie B Botanik und Zoologie	 	1999	Dec., 1999	101	 	217	269	Life Sciences & Biomedicine - Other Topics	"Within the memnonius-group of Hydroporus CLAIRVILLE, 1806, the H. memnonius-, H. melanarius-, and H. ferrugineus-subgroups are introduced. The species of the H. memnonius-subgroup are characterised by an angularity of the female gonocoxae. Besides Hydroporus memnonius NICOLAI, 1822, this subgroup includes the species of the newly defined H. normandi- and H. cantabricus-complexes. The members of the H. melanarius- and H. ferrugineus-subgroups lack this angularity of the gonocoxae. The senior subgroup contains Hydroporus melanarius STURM, 1835, Hydroporus longicornis SHARP, 1871, and the species of the new H. necopinatus-complex, from which Hydroporus necopinatus sp.n. is described after specimens which have been incorrectly regarded as Hydroporus cantabricus SHARP, 1882, in the past. The H. ferrugineus-subgroup includes Hydroporus ferrugineus STEPHENS, 1829, Hydroporus sanfilippoi GHIDINI, 1958, and Hydroporus obsoletus AUBE, 1838. These species are characterised by their pattern of the elytra, and a newly introduced feature: the corrugated membrane of the median lobe is extended until the apex, this being in contrast to all other members of the H. memnonius-group. A key to all species of the H. memnonius-group is presented, and their habitus and aedeagi are figured, but only the species of the H. normandi-, H. cantabricus- and H. necopinatus-complexes are treated in detail. Some additional notes on the other members are provided, as well as on species which might be mistaken for species of the H. memnonius-group because of their external resemblance. Of these Hydroporus longulus MULSANT and REY, 1861, and Hydroporus nevadensis SHARP, 1882, are treated in more detail. Descriptions, distributional data and some notes about the biology are presented. Females of Hydroporus brancoi ROCCHI, 1981, have been described with matt surface; now shiny females from Portugal and Spain can be recorded. Hydroporus normandi REGIMBART, 1903, is recorded from Portugal, Hydroporus hebaueri HENDRICH, 1990, from Bulgaria, Montenegro, Hungary, Albania, as well as from Turkey, and H. longulus from Luxembourg, all for the first time. Nine taxa are described as new: Hydroporus brancoi gredensis ssp.n. from central Spain and central Portugal (H. cantabricus-complex), Hydroporus lluci sp.n. from the Balearics, Hydroporus normandi ifnii ssp.n. from the High Atlas (Morocco), Hydroporus normandi ifranensis ssp.n. from the Moyen Atlas (Morocco), and Hydroporus normandi alhambrae ssp.n. from the Sierra Nevada in southern Spain (H. normandi-complex), Hydroporus lenkoranensis sp.n. from Azerbaijan, and Hydroporus necopinatus sp.n. with its three subspecies H. necopinatus necopinatus ssp.n. from Portugal and northern Spain, H. necopinatus robertorum ssp.n. from western France, and H. necopinatus roni ssp.n. from southern England (H. necopinatus-complex). Lectotypes are designated for the following species-level names: Hydroporus obsoletus AUBE, 1838, Hydroporus longulus MULSANT and REY, 1861, Hydroporus celatus CLARK, 1862, Hydroporus productus FAIRMAIRE, 1880, Hydroporus cantabricus SHARP, 1882, Hydroporus nevadensis SHARP, 1882, and Hydroporus normandi REGIMBART, 1903."	PT: J ME: print	 		 	 	 	 				 	0255-0105 ER	 	"Fery, H.; Raeuschstr. 73, D-13509, Berlin, Germany"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Fuertes,Esther;Acon,Margarita"	Revision and chorology of genus Mnium Hedw. (Mniaceae, Musci) from the Iberian Peninsula	Studia Botanica	Stud.Bot.	1999	Junio, 1999(2000)	18	 	69	99	Life Sciences & Biomedicine - Other Topics	"The vouchers of genus Mnium Hedw. from the Iberian Peninsula, placed in the herbarium of Spain, Portugal, France and Finland and some private collections have been revised. Seven Mnium species are present in Spain: M. hornum Hedw., M. stellare Hedw., M. thomsonii Schimp., M. marginatum (Dicks.) P. Beauv., M. spinosum (Voit.) Schwaegr., M. spinulosum B.S. and G. and M. lycopodioides Schwaegr; two taxa in Portugal: M. bornum and M. stellare and three in Andorra: M. bornum, M. lycopodioides and M. thomsonii. M. marginatum var. riparium (Mitt.) Husn. is excluded from Spanish flora; M. lycopodioides and M. orthorrhynchum Br. eur., both of them from Portugal and M. marginatum from Andorra. All species are mesophytic and sciophytic, for this reason they are more frequent in the mountainous areas of the northern half of the Peninsula, with a humid-perhumid ombroclimate (annual average precipitation exceeds 1000 mm); this rainfall is favorable for they development, slowly decreasing its presence from North to South and from West to East of the Peninsula, in the same way the mean annual precipitation decrease and the summers are dryers. M. hornum is the most common species, it is located through septentrional half of the Iberian Peninsula, begins to be rare in the south of Spain (Cadiz province); M. stellare is also common in the woodlands of the mountains of Northern and Central of Spain, being rare in Portugal; M. marginatum, is distributed in the North of Spain, with a southern disjunction area in the Sierra del Calar del Mundo (Albacete) and Sierra Nevada (Granada); M. thomsonii, usually grows on calcareous rocks in the montane and subalpine level of the Picos de Europa, Montes Vascos and Pyrenees (Spain and Andorra) between 800-2400 m altitude; M. lycopodioides Schwaegr., it prefers the acidic and wet habitats of the Eurosiberian region, having its southern limit in the Sierra de La Demanda (La Rioja); M. spinosum is little frecuent, it grows on wet and acidic rocks, it occurs in the Astur-Galaico and Oriental Pyrenes sectors of the Eurosiberian region from Spain; M. spinulosum is very rare and it is restricted to the East Pyrenees (Lerida), Sierra de Urbasa and Articuza (Navarra) and Tierra de Cameros (La Rioja). The SEM photographs spores and the inner surface exostome teeth of M. hornum, M. marginatum, M. thomsonii, M. spinosum and M. spinulosum are reported. Distribution maps and the ecology of each species are given."	PT: J ME: print	 		 	 	 	 				 	0211-9714 ER	 	"Fuertes, Esther; Departamento de Biologia Vegetal I. Facultad de Biologia, Universidad Complutense, 28040, Madrid, Spain"	 	 	 	"DT: Article; LT: Taxonomic Key"	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Fuertes,Esther;Acon,Margarita;Olivan,Gisela"	Sanionia (Bryopsida, amblystegiaceae) in the Iberian Peninsula. Revision and biogeograpby	Studia Botanica	Stud.Bot.	2004	 	23	 	27	41	"Environmental Sciences & Ecology;Life Sciences & Biomedicine - Other Topics;Biodiversity & Conservation"	"The genus Sanionia Loeske is revised for the Iberian Peninsula, based on specimens kept in the main Spanish, French and Portuguese herbaria. The presence of Sanionia uncinata (Hedw.) Loeske in the Iberian Peninsula is confirmed. All the revised specimens previously determined as Sanionia uncinata var. plumulosum Schimp., S. uncinata fo. plumulosa Schimp. (both non-existent herbarium combinations for the name Hypnum uncinatum var. plumulosum Schimp.), Hypnum uncinatum Hedw. var. aduncum (non-existent herbarium combination), Drepanocladus aduncus var. falcatus (Renauld) Renauld and Drepanocladus uncinatus var. plumosus (Schimp.) Warnst. have been re-identified as Sanionia uncinata.S. uncinata is common in the high mountains of the Eurosiberian and Mediterranean Region of the northern and central part of the Iberian Peninsula in four differentiated areas: 1) Cordillera Cantabrica, 2) Pyrenees, 3) Sistema Central and 4) Sistema Iberico (from Sierra de La Demanda to el Maestrazgo), being rare in the south of Spain (Sierra Nevada). It occurs in mesophytic habitats with hyperhumide-humide ombroclimate (mean annual rainfall > 1.200 mm), preferring acid substrata; it grows on rocks, trunks, soils and grasslands around of subalpine-alpine lakes, with anthropogenic influence (Nardetea strictae communities). S. uncinata is proposed as rare species (R) in Portugal.A distribution map, iconography, spores and peristome SEM microphotographs are provided."	PT: J	 		 	 	 	 				 	0211-9714 ER	 	"Fuertes, Esther; Univ Complutense Madrid, Fac Biol, Dept Biol Vegetal 1, E-28040 Madrid, Spain"	 	 	 	DT: Article	Sanionia (Bryopsida, amblystegiaceae) en la Peninsula Iberica. Revision y biogeografia	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
