PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	Ruiz Bustos, A.								Numerical coding of the molar morphology of the family Muridae Gray, 1821, (Rodentia) for its lineage knowledge, and implications in: biostratigraphy, paleoecology and composition of a correlation language from the phenotype to the genotype.								Micromamiferos y Bioestratigrafia				2				1	141					Abril 2004	2004										0	0		0	0	0						ZOOREC:ZOOR14008047359	
J	"Henry, Jean-Paul; Magniez, Guy"								Stygobitic Isopoda Aselloidea from Spain, III - The genus Proasellus: B - Anophtalmous species.				Isopodes aselloides stygobies d'espagne, III - le genre Proasellus: B - especes anophtalmes.				Beaufortia				53	6			129	157					November 25, 2003	2003	Study of anophthalmus and unpigmented Proasellus samples, collected in subterranean waters of Spain, mainly by J. Notenboom & I. Meijers (1983, 1984, 1985, 1986), N. Gourbault, E Lescher-Moutoue & R. Rouch (1976, 1977, 1978) and P. van den Hurk & R. Leys (1985). Description of new species of the 'beticus-meridianus' group: P. malagensis n. sp. (Malaga), P. granadensis n. sp. (Granada), P. meijersae n. sp. (Albacete), P. soriensis (Soria), P. oviedensis (Oviedo), and of the 'ortizi' group: P. grafi (Santander), P. stocki (Santander), P. alavensis (Alava), P. navarrensis (Navarra), P. vizcayensis (Vizcaya), and P. guipuzcoensis (Guipuzcoa). The first group is mainly present in the Sierra Nevada environment and the Betic region (where remains of its stygophilic root P. beticus still exist), the second in the Vasco-Cantabrian region (where remain some relict populations of its root forms: P. ortizi, P. aragonensis, and P. ebrensis). Iberian species are generally endemic, either from the alluvial aquifer of a river (generally small or minute species), or from the aquifer of a karstic system (generally large epibenthic species). In contrast to all other taxa, P. lescherae is widely scattered in phreatic aquifers of the Ebro basin and adjacent rivers and typical of this large hydrographic system. All species, especially those of the 'ortizi' group, are strongly related to those of North Africa and the Aquitanian Basin. These countries together constitute a single biogeographic area. The Iberian Aselloidea fauna is the most interesting and diversified of the Ancient World. It includes a rich background of Stenasellidae species (ancient autochthonous thalassoid stocks, characteristic of the Meseta and Catalonia plates), then occurred the settlement by Atlantic' Asellidae lineages (Synasellus, Bragasellus), then the settlement by old surface Proasellus species (of Mediterranean origin), that gave birth to bushes of stygobitic taxa and finally the settlement of the recent perimediterranean Proasellus coxalis. But this fauna is still waiting for the settlement by the recent eastern invader Asellus aquaticus, which is currently invading the French Aquitanian Basin.									2	0		2	0	2			0067-4745			BIOSIS:PREV200400090771	
J	"Adams, RP; Pandey, RN"								Analysis of Juniperus communis and its varieties based on DNA fingerprinting								BIOCHEMICAL SYSTEMATICS AND ECOLOGY				31	11			1271	1278		10.1016/S0305-1978(03)00036-X			Nov-03	2003	"Plants of Juniperus communis L. var. communis, J. c. var. depressa Pursh, J. c. var. hemispherica J. & C. Presl, J. communis var. megistocarpa Fern. & St. John, J. c. var. nipponica (Maxim.) Wils., J. c. var. oblonga hort. ex Loudon and J. c. var. saxatilis Pall. were sampled and DNA fingerprinting (RAPDs, Random Amplified Polymorphic DNAs) was performed. Based on 191 RAPD bands, there was little evidence to support the recognition of J. communis var. hemispherica, J. c. var. oblonga and J. c. var. nipponica. Juniperus communis var. communis (Sweden) was found to be most similar to J. c. var. hemispherica from Sicily, and also very similar to J. c. var. saxatilis. The recognition of J. c. var. saxatilis, sensu stricto, and var. hemispherica (from Sicily) was not supported by the RAPD data in this study. All of the J. c. var. depressa populations sampled from the Western Hemisphere formed a distinct group. Juniperus communis var. megistocarpa, endemic to maritime eastern Canada, was the most distinct variety of J. communis. Juniperus communis var. ""saxatilis"" populations from the Kamchatka peninsula and J. c. var. ""hemispherica"" from the Sierra Nevada, Spain, were very distinct from other J. c. var. communis-saxatilis populations. (C) 2003 Elsevier Science Ltd. All rights reserved."									20	0	1	13	0	23			0305-1978			WOS:000186218000004	
J	"Lopez-Rodriguez, M.J.; Luzon-Ortega, J.M.; de Figueroa, J.M. Tierno"				"Lopez Rodriguez, Manuel Jesus/A-9296-2011; Tierno de Figueroa, Jose Manuel/K-8143-2014"	"Lopez Rodriguez, Manuel Jesus/0000-0001-6707-0992; Tierno de Figueroa, Jose Manuel/0000-0003-1616-9815"			"Contribution to the knowledge of the stoneflies (Insecta, Plecoptera) of the ""Parque Natural de las Sierras de Almijara, Tejeda y Alhama"" and surrounding areas (southeastern Spain), with special reference to its faunistic singularities."				Contribucion al conocimiento de los plecopteros (Insecta, Plecoptera) del Parque Natural de las Sierras de Almijara, Tejeda y Alhama y areas proximas (sureste de Espana), con especial referencia a sus singularidades faunisticas.				Boletin de la SEA				33				167	171					Octubre 2003	2003	"Fifteen stonefly species are recorded from the ""Parque Natural de las Sierras de Almijara, Tejeda y Alhama"" and surrounding areas, from where only one taxon (Isoperla nevada) had been recorded. The presence of the genus Marthamea is noteworthy, since it is considered as typical of middle-lower reaches and has disappeared from most of its European range. Iberian endemisms (Guadalgenus franzi, Isoperla cf. nevada, Siphonoperla baetica, Rhabdiopteryx christinae, Protonemura alcazaba and Leuctra iliberis) are frequent in the area, and among them Besdolus bicolor is particularly interesting because of its scarcity. Tyrrhenoleuctra cf. minuta is here recorded from Granada province for the first time. Finally, it must be pointed out that the presence of some species with scarce populations or in a pronounced decline at the global and/or regional level constitutes a weighty argument for the conservation of this Natural Park."									0	0	0	0	0	0			1134-6094			ZOOREC:ZOOR14003016182	
J	"Ortiz, JL; Gutierrez, PJ; Casanova, V; Sota, A"				Gutierrez, Pedro/K-9637-2014	Gutierrez, Pedro/0000-0002-7332-6269			A study of short term rotational variability in TNOs and Centaurs from Sierra Nevada Observatory								ASTRONOMY & ASTROPHYSICS				407	3			1149	1155		10.1051/0004-6361:20030972			Sep-03	2003	Broad band CCD observations focused on short-term rotational variability have been carried out for six TNOs: 1999 TD10, 1999 TC36, 2000 EB173, (20000) Varuna, (28978) Ixion, 2002 CR46, and four Centaurs: 2000 QC(243), 2001 PT13, 2002 PN34 and 2002 GO(9) using the 1.5 m telescope at Sierra Nevada Observatory (Granada, Spain) since mid 2001. Three of the bodies exhibit periodic double-peaked lightcurves with amplitudes larger than 0.4 mag while another four show periodic variability with amplitudes below 0.20 mag. Basic physical properties of these objects can be derived or constrained from the observations. Here we present a summary of the main results obtained for these objects.									42	0	0	0	0	42			Apr-61			WOS:000184669400039	
J	"Brugues, Montserrat; Sergio, Cecilia; Casas, Creu; Cros, Rosa M."								Rediscovery of Brachymenium commutatum (Mull.Hal.) A. Jaeger and Pohlia andalusica (Hohn.) Broth. in the Sierra Nevada (SE Spain).								Lindbergia				28	2			99	101					Sep-03	2003										4	0		3	0	4			0105-0761			BIOSIS:PREV200300521873	
J	Gomez, JM								Herbivory reduces the strength of pollinator-mediated selection in the Mediterranean herb Erysimum mediohispanicum: Consequences for plant specialization								AMERICAN NATURALIST				162	2			242	256		10.1086/376574			Aug-03	2003	"In this study, I tested whether selection occurring on several morphological and floral traits in Erysimum mediohispanicum (Cruciferae) is modified by the effects of herbivores. Six plots were established in 1997 in the Sierra Nevada, Spain; three were fenced to exclude native ungulates, and the remaining were open to ungulates. I determined pollinator and ungulate preferences for plant traits and their effect on plant fecundity. Then I compared the selection regimes between plants excluded from herbivores and plants open to them. When ungulates were absent, I found significant selection on flower number, reproductive stalk height, basal diameter of the stalks, petal length, and inner diameter of the flowers. When ungulates were present, selection on floral traits completely disappeared, and selection strength on flower number and morphological traits decreased. This effect was due to the ungulate preference for larger plants and the phenotypic correlations between plant size and floral traits. Results suggest that pollinator-mediated selection can be disrupted by conflicting effects of plant enemies acting during or subsequent to pollination. An accurate picture of the pollinator role as selective pressure requires the consideration of the entire life cycle of the plant as well as the ecological scenario in which the interactions occur."									112	4	0	111	0	115			0003-0147			WOS:000184446500009	12858267
J	"Galindo-Zaldivar, J; Gil, AJ; Borque, MJ; Gonzalez-Lodeiro, F; Jabaloy, A; Marin-Lechado, C; Ruano, P; de Galdeano, CS"				"Galindo-Zaldivar, Jesus/K-3640-2012; JABALOY SANCHEZ, ANTONIO/L-2955-2014; Gil, Antonio/L-8173-2014; Ruano, Patricia/L-9168-2014; Gonzalez Lodeiro, Francisco/H-8824-2015"	"Galindo-Zaldivar, Jesus/0000-0002-3493-2637; JABALOY SANCHEZ, ANTONIO/0000-0001-5830-5913; Gil, Antonio/0000-0003-0351-4106; Ruano, Patricia/0000-0003-3833-4973; Gonzalez Lodeiro, Francisco/0000-0003-3810-7965"			Active faulting in the internal zones of the central Betic Cordilleras (SE, Spain)								JOURNAL OF GEODYNAMICS				36	01-Feb			239	250		10.1016/S0264-3707(03)00049-8			AUG-SEP 2003	2003	The internal zones of the Betic Cordilleras show a present-day relief that is mainly controlled by kilometre-size, symmetrical or north-vergent folds which developed mostly since Middle Miocene times. The Sierra Nevada, Sierra Alhamilla, Sierra de Los Filabres, Sierra Tejeda and Sierra de Gador, among others, are roughly E-W trending high mountain ranges, corresponding to antiforms where metamorphic rocks crop out. The surrounding depressions are located in synforms, where Neogene rocks are preserved from erosion. Field evidence shows that the growth of the folds is coeval with fault development, and that at least three of them, i.e. the Padul Fault, the Zafarraya Fault, and the Balanegra Fault, may be considered to be active seismogenetic structures. The Zafarraya Fault, in particular, is thought to be responsible for the 1884 Andalucia Earthquake. The fault is located at the northern limb of the Sierra Tejeda antiform, and could be interpreted as a collapse structure developed along the external arch of the uplifted fold. The Padul and Balanegra faults are located at the southeastern border of the Granada Basin and south of the Sierra de Gador, respectively. They belong to a set of NW-SE oriented faults that are mainly normal in character and indicate NE-SW extension. The set up, since 1999, of a GPS network within and around the Granada Basin and the planed installation of a new network in the Sierra Tejeda, will give us new insights on the present-day deformation behaviour of both folds and faults in the area. (C) 2003 Elsevier Ltd. All rights reserved.					Workshop on Active FaultsWorkshop on Active Faults	MAY   03, 2002MAY   03, 2002		UNIV CAMERINO, CAMERINO, ITALYUNIV CAMERINO, CAMERINO, ITALY	51	0	0	0	0	51			0264-3707			WOS:000184322900016	
J	"Gomez, JM; Garcia, D; Zamora, R"				Garcia, Daniel/A-1236-2011	Garcia, Daniel/0000-0002-7334-7836			Impact of vertebrate acorn- and seedling-predators on a Mediterranean Quercus pyrenaica forest								FOREST ECOLOGY AND MANAGEMENT				180	01-Mar			125	134		10.1016/S0378-1127(02)00608-4			JUL 17 2003	2003	We have experimentally investigated the impact of biotic factors, acting at the seed and seedling stages, on a Quercus pyrenaica forest in the Sierra Nevada mountains (SE Spain). We monitored the natural establishment of the oak for 3 years in two forest plots and two shrubland plots, by counting seedlings and juveniles. In addition, we established several experiments in these plots to examine acorn and seedling survival, while also considering the microhabitat effect on survival probability. Dispersed acorns were quickly consumed by several species of predators, particularly wild boar (Sus scrofa) and woodmouse (Apodemus sylvaticus). Less than 4% of the experimental acorns survived to produce seedlings, even when they were buried 4 cm in soil, simulating caches. No effect of microhabitat was found on predation, and thus no safe site appears to exist for Q. pyrenaica acorns in the study area. Some 98% of the 1000 experimental seedlings were killed by herbivores, notably woodmice, wild boar, and domestic and wild ungulates. Seedling Survival varied spatially, being significantly higher under shrubs (4%) than in any other microhabitat (less than 0.5%)..Both acorn and seedling survival were much lower in the shrublands than in the forests. In shrubland plots, the main agent of seedling mortality was trampling by domestic ungulates foraging in herds. This study suggests that the regeneration of Q. pyrenaica forests in Mediterranean mountains can be limited by herbivores acting at several life-history stages. (C) 2002 Elsevier Science B.V. All rights reserved.									94	4	0	90	0	100			0378-1127			WOS:000184311800011	
J	"de Figueroa, JMT; Luzon-Ortega, JM; Sanchez-Ortega, A"				Tierno de Figueroa, Jose Manuel/K-8143-2014	Tierno de Figueroa, Jose Manuel/0000-0003-1616-9815			Protandry and its relationship with adult size in some Spanish stoneflies species (Plecoptera)								ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA				96	4			560	562		"10.1603/0013-8746(2003)096[0560:PAIRWA]2.0.CO;2"			Jul-03	2003	Protandry in 11 stonefly (Plecoptera) species (representing five families) from Sierra Nevada (Spain) has been studied (recorded and quantified) over their flight period. All species exhibited a positive protandry coefficient (range, 0.07-0.33), indicating that no species shows proteroginy. Protandry was less pronounced in species having extended flight periods, brief flight periods, or highly concentrated flight maximums. The degree of protandry did not correlated with the degree of sexual dimorphism in size, contradicting the theoretical prediction of increased dimorphism with increased protandry.									2	0	0	2	0	2			0013-8746	1938-2901		WOS:000184762000019	
