PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	"Trueba, J. J. Gonzalez; Moreno, R. Martin; de Pison, E. Martinez; Serrano, E."								'Little Ice Age' glaciation and current glaciers in the Iberian Peninsula								HOLOCENE				18	4			551	568		10.1177/0959683608089209			jun-08	2008										38	0	0	13	0	38			0959-6836			WOS:000256882300005	
J	Schmidt, Gerhard H.								[A contribution to the altitudinal distribution of Orthopteroidea in the Sierra Nevada/Spain.]				Ein Beitrag zur Hohenverteilung der Orthopteroidea in der Sierra Nevada/Spanien.				Articulata				14	1			45	61					1999	1999										0	0	0	1	0	1			0171-4090			ZOOREC:ZOOR13600008872	
J	"Gonzalez, marcos A.; Malicky, Hans"								[A new species of Hydropsyche of the pellucidula group (Trichoptera, Hydropsychidae).]				Une nouvelle espece de Hydropsyche du groupe pellucidula (Trichoptera, Hydropsychidae).				Braueria				26				25	26					1999	1999										3	0	0	5	0	5			1026-3632			ZOOREC:ZOOR13600009032	
B	"Gil, Jose Maria; Molino, Francisco; Valenzuela, Gerardo"						"Meyburg, B.-U.; Chancellor, R.D.; Ferrero, J.J."		[Altitudinal distribution of nests of the golden eagle Aquila chrysaetos in Sierra Nevada (southeast Spain).]				Distribucion altitudinal de los nidos de aguila real Aquila chrysaetos en Sierra Nevada (sureste de Espana).				Holarctic birds of prey. Proceedings of an international conference. Actas del Congreso Internacional sobre Rapaces del Holartico. Badajoz, Extremadura (Spain), 17-22 Abril 1995.								271	277					1998	1998										0	0	0	0	0	0					84-605-7398-2	ZOOREC:ZOOR13900007176	
J	"Avila, Jose M.; Romero-Alcaraz, Eduardo"								[Aphodius (Loraspis) frater Mulsant and Rey, 1870 present in the south of Spain (Coleoptera, Scarabaeoidea, Aphodiidae)]				Sobre la presencia de Aphodius (Loraspis) frater Mulsant and Rey, 1870 en el sur de la Peninsula Iberica (Coleoptera, Scarabaeoidea, Aphodiidae)				Nouvelle Revue d'Entomologie				17	1			67	68					Janvier-Mars, 2000	2000										0	0	0	0	0	0			0374-9797			BIOSIS:PREV200100111479	
S	"Bocio, I.; Lorite, J.; Navarro, F. B.; Valle, F."				Lorite, Juan/F-4690-2011	Lorite, Juan/0000-0003-4617-8069	Gehu, Jean-Marie		[Application of phytosociology in the restoration of fire-affected zones. An example in Sierra Nevada (southeast Spain).]				"Aplicacion de la fitosociologia a la restauracion de la vegetacion en zonas incendiadas; un ejemplo en Sierra Nevada (S.E. Espana)."				[Data of the sigmatist (Braun-Blanquet) phytosociology. Structure, management, use.]		Colloques Phytosociologiques		Volume 27				979	997					2000	2000						"Second Conference of the Federation Internationale de Phytosociologie (F.I.P.) ""Data of the sigmatist (Braun-Blanquet) phytosociology. Structure, management, use.""Second Conference of the Federation Internationale de Phytosociologie (F.I.P.) ""Data of the sigmatist (Braun-Blanquet) phytosociology. Structure, management, use."""	October 25-29, 1997October 25-29, 1997	Federation Internationale de Phytosociologie (F.I.P.)Federation Internationale de Phytosociologie (F.I.P.)	Bailleul, Nord, FranceBailleul, Nord, France	0	0	0	0	0	0			1430-0540		3-443-70015-2 (cloth)	BIOSIS:PREV200300501982	
J	"Novoa, Francisco; Baselga, Andres"					Baselga, Andres/0000-0001-7914-7109			"[Carabidae of west central Rif; Morocco (Coleoptera)]"				"Los Carabidae del Rif centro occidental; Marruecos (Coleoptera)"				Nouvelle Revue d'Entomologie				16	4			311	325					Octobre-Decembre, 1999	1999										1	0	0	3	0	3			0374-9797			BIOSIS:PREV200100034064	
J			Universidad de Granada						[Collecting insects, why and for what?]				Recoleccion de insectos, por que y para que?				Quercus				139				50	50					Septiembre 1997	1997										0	0	0	0	0	0			0212-0054			ZOOREC:ZOOR13400048891	
J	Stueben, Peter E.								[Description of a new Kyklioacalles species from south Spain - with a key to the species of the genus Kyklioacalles. (Col.: Curculionidae, Cryptorhynchinae).]				Beschreibung einer neuen Kyklioacalles-Art aus Suedspanien - mit einem Schluessel der Arten des Genus Kyklioacalles. (Col.: Curculionidae, Cryptorhynchinae).				Snudebiller				2				155	161					2001	2001										0	0	0	0	0	0			1439-4650			ZOOREC:ZOOR13700064414	
J	"Bello, C.L.; Alba-Tercedor, J."								[Effect of the regulation of upper river Genil (Sierra Nevada, Spain) on the aquatic macroinvertebrate community and larval diet of Rhyacophila nevada (Insecta: Trichoptera).]				Efecto de la regulacion de la cabecera del rio Genil (Sierra Nevada, Espana) sobre la comunidad de macroinvertebrados acuaticos y la dieta larvaria de Rhyacophila nevada (Insecta: Trichoptera).				Limnetica				23	3-abr			361	370					2004	2004										2	0	0	1	0	2			0213-8409			ZOOREC:ZOOR14108048497	
