Reference Type	Authors, Primary	Title Primary	Periodical Full	Periodical Abbrev	Pub Year	Pub Date Free From	Volume	Issue	Start Page	Other Pages	Keywords	Abstract	Notes	Personal Notes	Authors, Secondary	Title Secondary	Edition	Publisher	Place Of Publication	Authors, Tertiary	Authors, Quaternary	Authors, Quinary	Title, Tertiary	ISSN/ISBN	Availability	Author/Address	Accession Number	Language	Classification	Sub file/Database	Original Foreign Title	Links	URL	DOI	PMID	PMCID	Call Number	Database	Data Source	Identifying Phrase	Retrieved Date	Shortened Title	User 1	User 2	User 3	User 4	User 5	User 6	User 7	User 8	User 9	User 10	User 11	User 12	User 13	User 14	User 15
Journal Article	[Anonymous]	XXVII International Meeting on Fundamental Physics - Sierra Nevada (Granada), Spain - February 1-5, 1999 - Preface	Acta Physica Polonica B	 	1999	JUL	30	7	U5	U5	Physics ER	 	PT: J	 		 	 	 	 				 	0587-4254	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Acevedo,Pelayo;Cassinello,Jorge;Hortal,Joaquin;Gortazar,Christian"	Invasive exotic aoudad (Ammotragus lervia) as a major threat to native Iberian ibex (Capra pyrenaica): a habitat suitability model approach	Diversity and Distributions	Divers.Distrib.	2007	SEP	13	5	587	597	"biological invasions;ENFA;habitat suitability modelling;Iberian Peninsula;resource competition;ungulates;BOAR SUS-SCROFA;SPANISH IBEX;ENVIRONMENTAL GRADIENT;SOUTHERN SPAIN;SIERRA-NEVADA;ABSENCE DATA;POPULATION;NICHE;ECOLOGY;DIET;Biodiversity & Conservation;Environmental Sciences & Ecology ER"	The introduction of alien species to new environments is one of the main threats to the conservation of biodiversity. One particularly problematic example is that of wild ungulates which are increasingly being established in regions outside their natural distribution range due to human hunting interests. Unfortunately, we know little of the effects these large herbivores may have on the host ecosystems. This study deals with a first comparative analysis of the habitat requirements of two ungulate species that may be facing competition for resources in the south of Europe: the native Iberian ibex (Capra pyrenaica) and the exotic aoudad (Ammotragus lervia). The aoudad is a North African caprid introduced in 1970 as a game species in south-eastern Spain. It has adapted well, and populations have been freely expanding since then. Ecological Niche Factor Analysis is used to describe the realized niche of both species where their distribution ranges merge. Both species occupy marginal areas of rugged terrain in the region. Marginality is higher for the Iberian ibex, which also presents a higher tolerance of secondary environmental gradients than the aoudad. Highly suitable areas for each species are secondarily suitable for the other. Reclassified and cross-tabulated habitat suitability maps showing the areas of potential spatial coexistence and differences in ecological traits between both species are provided. The results obtained do not allow inferring resource competition between these species. However, current aoudad expansion could result in it invading the favoured habitats of the ibex. Inadequate hunting policy and monitoring, and increasing climatic resemblance of the study region to the native aoudad areas, due to a strong desertification process, are facilitating a high rate of expansion. We strongly recommend to eradicate or, at least, monitor these exotic populations, and promote active conservation practices, if one wants to preserve the unique natural resources present in this European region.	PT: J	 		 	 	 	 				 	1366-9516	 	"CSIC, UCLM, JCCM, IREC, Ciudad Real 13071, Spain. CSIC, Museo Nacl Ciencias Nat, Biodiversity & Global Change Lab, E-28006 Madrid, Spain. Univ Acores, CITA A, Dept Ciencias Agrarias, P-9701851 Terrra Cha, Acores, Portugal. Univ Copenhagen, Inst Biol, Ctr Macroecol, DK-2100 Copenhagen, Denmark.; Cassinello, J (reprint author), CSIC, UCLM, JCCM, IREC, Ronda Toledo S-N, Ciudad Real 13071, Spain.; jorge.cassinello@uclm.es"	 	 	 	 	 	 	 	10.1111/j,1472-4642.2007.00374.x	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Acosta,M. J.;Marchal,J. A.;Martinez,S.;Puerma,E.;Bullejos,M.;la de Guardia,R. Diaz;Sanchez,A."	Characterization of the satellite DNA Msat-160 from the species Chionomys nivalis (Rodentia, Arvicolinae)	Genetica	Genetica	2007	MAY	130	1	43	51	"Chionomys nivalis;Msat-160;pericentromeric heterochromatin;satellite DNA;Microtus;VOLE MICROTUS-CABRERAE;SEX-CHROMOSOMES;GONOSOMAL HETEROCHROMATIN;MOLECULAR PHYLOGENY;CONCERTED EVOLUTION;SEQUENCE ALIGNMENT;CHROTORRHINUS;AGRESTIS;HETEROGENEITY;AMPLIFICATION;Genetics & Heredity ER"	The satellite DNA Msat-160 has been previously characterized in several species of the genus Microtus. Here we present the characterization of Msat-160 from Chionomys nivalis, a species with a very primitive karyotype. As in other Microtus species analyzed, C. nivalis Msat-160 is AT rich, has a monomer length of 160 bp, is undermethylated and is mainly located in all the pericentromeric heterochromatin of all autosomes and the X chromosome, but is completely absent from the Y chromosome. Hence, our results support the hypothesis that Msat-160 was initially distributed in the pericentromeric heterochromatin of all autosomes and the X chromosome. The taxonomic status of the genus Chionomys in relation to the genus Microtus is a very interesting issue, so we constructed phylogenetic dendrograms using Msat-160 sequences from several Microtus species. Although the results were not informative about this issue, the presence of Msat-160 in C. nivalis and Microtus species suggested that both genera are closely related and that this satellite DNA was present in the common ancestor. Studies of Msat-160 in different arvicoline species could help to determine the origin of this satellite and, perhaps, to establish the phylogenetic relationships of some arvicoline groups.	PT: J	 		 	 	 	 				 	0016-6707	 	"Univ Jaen, Fac Ciencias Expt, Dept Biol Expt, E-23071 Jaen, Spain. Univ Granada, Fac Ciencias, Dept Genet, E-18071 Granada, Spain.; Sanchez, A (reprint author), Univ Jaen, Fac Ciencias Expt, Dept Biol Expt, Campus Las Lagunillas S-N, E-23071 Jaen, Spain.; abaca@ujaen.es"	 	 	 	 	 	 	 	10.1007/s10709-006-0018-1	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Adams,RP;Pandey,RN"	Analysis of Juniperus communis and its varieties based on DNA fingerprinting	Biochemical systematics and ecology	Biochem.Syst.Ecol.	2003	NOV	31	11	1271	1278	"Juniperus;Cupressaceae;RAPD;DNA fingerprinting;J. communis;varieties;LEAF ESSENTIAL OILS;GEOGRAPHIC-VARIATION;WESTERN-HEMISPHERE;RAPDS;SYSTEMATICS;ASIA;Biochemistry & Molecular Biology;Environmental Sciences & Ecology;Evolutionary Biology ER"	"Plants of Juniperus communis L. var. communis, J. c. var. depressa Pursh, J. c. var. hemispherica J. & C. Presl, J. communis var. megistocarpa Fern. & St. John, J. c. var. nipponica (Maxim.) Wils., J. c. var. oblonga hort. ex Loudon and J. c. var. saxatilis Pall. were sampled and DNA fingerprinting (RAPDs, Random Amplified Polymorphic DNAs) was performed. Based on 191 RAPD bands, there was little evidence to support the recognition of J. communis var. hemispherica, J. c. var. oblonga and J. c. var. nipponica. Juniperus communis var. communis (Sweden) was found to be most similar to J. c. var. hemispherica from Sicily, and also very similar to J. c. var. saxatilis. The recognition of J. c. var. saxatilis, sensu stricto, and var. hemispherica (from Sicily) was not supported by the RAPD data in this study. All of the J. c. var. depressa populations sampled from the Western Hemisphere formed a distinct group. Juniperus communis var. megistocarpa, endemic to maritime eastern Canada, was the most distinct variety of J. communis. Juniperus communis var. ""saxatilis"" populations from the Kamchatka peninsula and J. c. var. ""hemispherica"" from the Sierra Nevada, Spain, were very distinct from other J. c. var. communis-saxatilis populations. (C) 2003 Elsevier Science Ltd. All rights reserved."	PT: J	 		 	 	 	 				 	0305-1978	 	"Baylor Univ, Dept Biol, Waco, TX 76798 USA. Eatern New Mexico Univ, Dept Biol, Portales, NM 88130 USA.; Adams, RP (reprint author), Baylor Univ, Dept Biol, POB 97388, Waco, TX 76798 USA."	 	 	 	 	 	 	 	10.1016/S0305-1978(03)00036-X	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"ALADOS,CL;ESCOS,J."	Parturition Dates and Mother-Kid Behavior in Spanish Ibex (Capra-Pyrenaica) in Spain	Journal of mammalogy	J.Mammal.	1988	Feb-25	69	1	172	175	Zoology ER	 	PT: J	 		 	 	 	 				 	0022-2372	 	ALADOS, CL (reprint author), CSIC,ESTN EXPTL ZONAS ARIDAS,GEN SEGURA 1,E-04001 ALMERIA,SPAIN.	 	 	 	 	 	 	 	10.2307/1381768	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alados-Arboledas,Lucas;Guerrero Rascado,Juan Luis;Lyamani,Hassan;Navas-Guzman,Franscisco;Olmo Reyes,Francisco Jose"	Characterization of the atmospheric aerosol by combination of LIDAR and sun-photometry	Lidar Technologies, Techniques, and Measurements for Atmospheric Remote Sensing Iii	 	2007	 	6750	 	67500J	67500J	"lidar;sun-photometer;long range transport;OPTICAL-PROPERTIES;SPAIN;DUST;AERONET;ALGORITHMS;DEPTH;PM10;Remote Sensing;Optics ER"	During the summer 2006 an extended observational campaign of atmospheric aerosol has been developed in the area of Granada, South-eastern Spain. From July to the end of September two Cimel CE-318 radiometers have been operated continuously, one at Andalusian Centre for Environmental Studies (CEAMA), located in the urban area of Granada, a non-industrialized medium size city (37.16 degrees N, 3.61 degrees W and 680 m a.m.s.l.), and the second one at the Astronomical Observatory of Sierra Nevada (37.06 degrees N, 3.38 degrees W and 2896 m a.m.s.l.), with a short horizontal separation between stations that allows us to consider both instrument located in approximately the same vertical column. The Cimel CE-318 measurements have been used to retrieve the aerosol columnar properties, including the columnar volume size distribution, volume scattering phase function, asymmetry factor and single scattering albedo, by means of appropriate inversion procedures. Additionally, at the CEAMA a Raman Lidar system based on a Nd:YAG laser source operating at 1064, 532 y 355 nm and including elastic, polarized and Raman shifted detection has been used to derive profiles of several atmospheric aerosol properties. In this paper we present analyses of the changes and temporal evolution detected in atmospheric aerosol vertical profile. Several long range transport episodes have been detected and back-trajectories analyses and synoptic information have been used in the discussion of results.	PT: S	 	Singh,UN Pappalardo,G.	Proceedings of SPIE	 	 	 				 	"0277-786X; 978-0-8194-6908-3"	 	"[Alados-Arboledas, Lucas; Guerrero Rascado, Juan Luis; Lyamani, Hassan; Navas-Guzman, Franscisco; Olmo Reyes, Francisco Jose] Univ Granada, CEAMA, Grp Fis Atmosfera, E-18071 Granada, Spain.; Alados-Arboledas, L (reprint author), Univ Granada, CEAMA, Grp Fis Atmosfera, Junta Andalucia, E-18071 Granada, Spain."	 	 	 	 	 	 	 	10.1117/12.737557	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Alba-Tercedor,J.;Derka,T."	Torleya nazarita sp n., a new species from Southern Spain (Ephemeroptera : Ephemerellidae)	Aquatic Insects	Aquat.Insects	2003	MAR	25	1	23	32	"Nymphs;imagines;taxonomy;Entomology ER"	After an intensive study, we concluded that the species described by Alba-Tercedor and Sanchez-Ortega (1982) from the foothills of the Sierra Nevada mountains in Southern Spain as Torleya cf. belgica, actually belongs to a new species which we name Torleya nazarita sp. n. The new species is closely related to Torleya major (Klapalek, 1905), which up to now was considered to be the only European representative of the genus. Description and figures of the nymph and imago and the features distinguishing the new species from other species of the genus are given.	PT: J	 		 	 	 	 				 	0165-0424	 	"Univ Granada, Fac Ciencias, Dept Biol Anim & Ecol, Unidad Zool, E-18071 Granada, Spain. Comenius Univ, Bratislava, Slovakia.; Alba-Tercedor, J (reprint author), Univ Granada, Fac Ciencias, Dept Biol Anim & Ecol, Unidad Zool, E-18071 Granada, Spain."	 	 	 	 	 	 	 	10.1076/aqin.25.1.23.14022	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"ALBATERCEDOR,J.;SOWA,R."	New Representatives of the Rhithrogena-Diaphana-Group from Continental Europe, with a Redescription of Rhithrogena-Diaphana Navas, 1917 (Ephemeroptera, Heptageniidae)	Aquatic Insects	Aquat.Insects	1987	 	9	2	65	83	Entomology ER	 	PT: J	 		 	 	 	 				 	0165-0424	 	"JAGIELLONIAN UNIV,INST ENVIRONM BIOL,DEPT HYDROBIOL,PL-30063 KRAKOW,POLAND.; ALBATERCEDOR, J (reprint author), UNIV GRANADA,FAC CIENCIAS BIOL,DEPT ZOOL,E-18071 GRANADA,SPAIN."	 	 	 	 	 	 	 	10.1080/01650428709361274	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"ALBATERCEDOR,J.;STUDEMANN,D."	Upon the Identity of Drunella-Andaluciaca Kazanci, 1990 (Ephemeroptera, Ephemerellidae)	Aquatic Insects	Aquat.Insects	1992	 	14	1	47	48	Entomology ER	The recent description of Drunella andaluciaca Kazanci, 1990 (from the Sierra Nevada Mountains in southern Spain) was compared with the original description and with typical and additional material of Ephemerella (Chitonophora) nevadensis Alba-Tercedor, 1983 (a species widespread in the Sierra Nevada Mountains). Accordingly, Drunella andaluciaca Kazanci, 1990 is transferred to thc genus Ephemerella Walsh, 1862 and synonymy between Ephemerella andaluciaca (Kazanci, 1990) and Ephemerella (Chitonophora) ikonomovi nevadensis Alba-Tercedor, 1983 is established.	PT: J	 		 	 	 	 				 	0165-0424	 	"INST ZOOL,DEPT ENTOMOL,CH-1700 FRIBOURG,SWITZERLAND.; ALBATERCEDOR, J (reprint author), UNIV GRANADA,FAC CIENCIAS,DEPT BIOL ANIM ECOL & GENET ZOOL,E-18071 GRANADA,SPAIN."	 	 	 	 	 	 	 	10.1080/01650429209361460	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Almazan-Vazquez,Emilio;Buitron-Sanchez,Blanca E.;Vachard,Daniel;Mendoza-Madera,Cynthia;Gomez-Espinosa,Catalina"	The late Atokan (Moscovian, Pennsylvanian) chaetetid accumulations of Sierra Agua Verde, Sonora (NW Mexico): composition, facies and palaeoenvironmental signals	Palaeozoic Reefs and Bioaccumulations: Climatic and Evolutionary Controls	 	2007	 	275	 	189	200	"BIOSTRATIGRAPHY;FUSULINIDS;REGION;MOUNDS;Geology;Paleontology ER"	The La Joya Formation of the Sierra Agua Verde, Sonora (NW Mexico) is late Atokan in age, equivalent to the early late Moscovian (Podolskian) and fusulinid biozone A3. In this alternance of cherty limestones and thin shaly beds, fusulinellid or anchicodiacean ('phylloid algae') wackestones-packstones and crinoidal rudstones-gramstones are the predominant microfacies, but chaetetid boundstones are conspicuous. These chaetetid occurrences of the Sierra Agua Verde are compared with the accumulations of Arizona, Texas, Kansas and Nevada (USA), and the Cantabric Cordillera (Spain). In Sonora, the environments with chaetetids were quiet, and located below wave base. Shallower facies with staffellids and Komia generally top the chaetetids. Because of the associated micritic deposits, the chaetetids have inhabited probably a soft or firm substrate. As a result of the disphotic-aphotic reconstructed environments, the possible symbionts of the chaetetids are more probably heterotrophic bacteria than autotrophic algae. The most comparable ecological conditions exist in the Atokan Marble Falls Formation of central Texas (USA). Chaetetids are not mentioned in the southern suspect terranes of Mexico, but were possibly present because these regions were located along the probable migration way to Peru, the southernmost area where Pennsylvanian chaetetids are known.	PT: S	 	Alvaro, JJ Aretz, M Boulvain, F Munnecke, A Vachard, D Vennin,E.	Geological Society Special Publication	 	 	 				 	"0305-8719; 978-1-86239-221-2"	 	"Univ Sonora, Dept Geol, Hermosillo 83000, Sonora, Mexico.; Almazan-Vazquez, E (reprint author), Univ Sonora, Dept Geol, Blvd Luis Ecninas & Rosales, Hermosillo 83000, Sonora, Mexico.; almazan@geologia.uson.mx; daniel.vachard@univ-lille1.fr; daniel.vachard@univ-lille1.fr"	 	 	 	 	 	 	 	10.1144/GSL.SP.2007.275.01.12	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
