"Reference.Type"	"Authors..Primary"	"Title.Primary"	"Periodical.Full"	"Periodical.Abbrev"	"Pub.Year"	"Pub.Date.Free.From"	"Volume"	"Issue"	"Start.Page"	"Other.Pages"	"Keywords"	"Abstract"	"Notes"	"Personal.Notes"	"Authors..Secondary"	"Title.Secondary"	"Edition"	"Publisher"	"Place.Of.Publication"	"Authors..Tertiary"	"Authors..Quaternary"	"Authors..Quinary"	"Title..Tertiary"	"ISSN.ISBN"	"Availability"	"Author.Address"	"Accession.Number"	"Language"	"Classification"	"Sub.file.Database"	"Original.Foreign.Title"	"Links"	"URL"	"DOI"	"PMID"	"PMCID"	"Call.Number"	"Database"	"Data.Source"	"Identifying.Phrase"	"Retrieved.Date"	"Shortened.Title"	"User.1"	"User.2"	"User.3"	"User.4"	"User.5"	"User.6"	"User.7"	"User.8"	"User.9"	"User.10"	"User.11"	"User.12"	"User.13"	"User.14"	"User.15"	"aut"	"key"
"Journal Article"	"Carrillo,P.;Reche,I.;CruzPizarro,L."	"Intraspecific stoichiometric variability and the ratio of nitrogen to phosphorus resupplied by zooplankton"	"Freshwater Biology"	"Freshwat.Biol."	1996	"OCT"	"36"	"2"	"363"	"374"	"FRESH-WATER ZOOPLANKTON;EXCRETION RATES;NUTRIENT LIMITATION;OLIGOTROPHIC LAKE;CASTLE LAKE;DAPHNIA;HERBIVORES;RELEASE;GROWTH;CALIFORNIA;Marine & Freshwater Biology ER"	"1. An in situ experiment was carried out in a high-mountain oligotrophic lake (La Caldera) to quantify the specific release rates of ammonium and phosphorus in different phases of the seasonal succession of plankton. The zooplankton community was dominated by the calanoid copepod Mixodiaptomus laciniatus. 2. The rates of release of N and P (from non-detectable to 3.58 mu gN mg(-1) DW h(-1) and from 0.26 to 2.29 mu g P mg(-1) DW h(-1), respectively) and the N : P released ratio (not detectable to 4.77) fell within the range typical of oligotrophic lakes dominated by copepodite assemblages. 3. The values of the zooplankton N : P ratio (5 : 1 to 10 : 1 by weight) were lower than those established for other species of calanoids, and followed a well-established pattern of seasonal variation from year to year with higher values after ice thaw and lower values as individual size increased (ontogenetic development). 4. The elemental composition of the zooplankton depended on individual size, while the released N : P ratio was inversely related to the N : P ratio of the food. This pattern conforms to the predictions of the homeostasis theory of Sterner (1990). 5. A feedback regulation was established between the stoichiometric composition of the zooplankton, their food and the released N : P ratio that can help explain changes in pelagic community structure during the ice-free period."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	"0046-5070"	NA	"UNIV GRANADA,INST AGUA,GRANADA 18071,SPAIN.; Carrillo, P (reprint author), FAC CIENCIAS,DEPT BIOL ANIM & ECOL,GRANADA 18071,SPAIN."	NA	NA	NA	NA	NA	NA	NA	"10.1046/j.1365-2427.1996.00091.x"	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Carrillo,P.;Reche,I.;CruzPizarro,L."	309
"Journal Article"	"Carrillo,P.;Reche,I.;CruzPizarro,L."	"Quantification of the phosphorus released by zooplankton in an oligotrophic lake (La Caldera, Spain): Regulating factors and adjustment to theoretical models"	"Journal of Plankton Research"	"J.Plankton Res."	1996	"SEP"	"18"	"9"	"1567"	"1586"	"NUTRIENT LIMITATION;EUTROPHIC LAKE;MOUNTAIN LAKES;SIERRA-NEVADA;PHYTOPLANKTON;NITROGEN;FOOD;DAPHNIA;CARBON;BACTERIA;Marine & Freshwater Biology;Oceanography ER"	"Using an in situ approach, we have evaluated the phosphorus inputs from zooplankton in a high-mountain oligotrophic lake. Values of the specific gross release rate (SGRR) fluctuated between 0.2 and 2.9 mu g P mg(-1) dry weight h(-1), and were higher when the nauplii of Mixodiaptomus laciniatus dominated the zooplankton community. The rate of P recycling by the zooplankton was high, reaching 1.6 mu g P l(-1) day(-1), and showed a highly consistent seasonal pattern from one year to the next, with maxima in midsummer. Zooplankton size accounted for as much as 85% of the variance obtained in the measurements of the specific rate of P release, while other factors, such as the quality or quantity of food, did not significantly influence the SGRR changes. Among the models tested, only the one proposed by Peters (Int. Ver. Theor. Angew. Limnol. Verh., 19, 273-279, 1975) was useful for predictions in this system. The stoichiometric model of Hessen and Andersen (Arch. Hydrobiol., 35, 111-120, 1992), applied in this oligotrophic system, adequately predicted the phyto- and zooplankton dynamics, whereas the values of P release estimated using this model were far higher than the excretion rates obtained experimentally. These differences were related to the type of egestion (formation of faecal pellets) of metazooplankton and to the relative importance of the food resistance to digestion. We believe that in communities where copepods constitute a substantial percentage of the zooplankton, an evaluation of the P release which is readily available [soluble reactive phosphate (SRP), total dissolved phosphate (TDP)] to algae and bacteria would not fit the predictions of general models of mass balance; under these circumstances, assimilation efficiency proves to be the key parameter for predicting the readily available P (excreted P)."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	"0142-7873"	NA	"UNIV GRANADA,INST AGUA,E-18071 GRANADA,SPAIN.; Carrillo, P (reprint author), UNIV GRANADA,FAC CIENCIAS,DEPT BIOL ANIM ECOL & GENET,E-18071 GRANADA,SPAIN."	NA	NA	NA	NA	NA	NA	NA	"10.1093/plankt/18.9.1567"	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Carrillo,P.;Reche,I.;CruzPizarro,L."	310
"Journal Article"	"Dominguez Lozano,F.;Galicia Herbada,D.;Moreno Rivero,L.;Moreno Saiz,J. C.;Sainz Ollero,H."	"Threatened plants in peninsular and Balearic Spain: A report based on the EU Habitats Directive"	"Biological Conservation"	"Biol.Conserv."	1996	" "	"76"	"2"	"123"	"133"	"Life Sciences & Biomedicine - Other Topics;Biodiversity & Conservation;Environmental Sciences & Ecology;Government & Law"	"Following Appendix II from the EU Habitats Directive, the distribution and conservation status of 102 plant species in mainland Spain and Balearic Islands were studied. Distribution data from herbarium and bibliographic sources were collected. Field work for the 78 taxa with the most restricted distributions was undertaken in order to improve the knowledge of their populations, distribution limits and possible threats. Some extreme examples of species with very low number of individuals or very narrow areas of occupancy are pointed out. Natural causes and land development are stressed as the most important factors of threat. Changes in the assignment of IUCN categories are proposed for some plants. Using the distribution data of these 102 plants, graphical and ecological patterns are discussed, identifying Sierra Nevada as an enclave with the largest number of threatened taxa. Inconsistencies between previous Red Lists of endangered Spanish plants and the Habitats Directive are indicated, and some guidelines for plant conservation in Spain are proposed."	"PT: J"	NA	""	" "	" "	" "	" "	NA	NA	NA	NA	"0006-3207 ER"	NA	"Moreno Saiz, J. C.; Departamento de Biologia, Universidad Autonoma de Madrid, Cantoblanco, 28049 Madrid, Spain"	NA	NA	NA	"DT: Article"	" "	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Dominguez Lozano,F.;Galicia Herbada,D.;Moreno Rivero,L.;Moreno Saiz,J. C.;Sainz Ollero,H."	311
"Journal Article"	"Douglas,T.;Critchley,D.;Park,G."	"The deintensification of terraced agricultural land near Trevelez, Sierra Nevada, Spain"	"Global Ecology and Biogeography Letters"	"Global Ecol.Biogeogr.Lett."	1996	"JUL-SEP"	"5"	"04-May"	"258"	"270"	"agricultural deintensification;irrigated terraces;Landsar;Alpujarra;classification;AREA;Environmental Sciences & Ecology;Physical Geography ER"	"Changes in the intensity of agricultural land-use have been examined in a mountain environment in the Sierra Nevada, Andalucia. The land-use changes have occurred in response to rural depopulation and other factors since 1950 and have manifested themselves as a deintensification and sometimes abandonment of irrigated terraces which were extensively cropped as recently as the 1970s. The pattern of deintensification and consequential environmental impact is described for one municipio, Trevelez. Ecological changes have been consequent upon the intensity of grazing and the collapse of irrigation systems. These changes have been assessed by rapid appraisal and the implications for the agricultural landscape are identified. Classification techniques using Landsat Thematic Mapper (TM) data have allowed estimates to be made of the areal cover of deintensification."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	"0960-7447"	NA	"Douglas, T (reprint author), NORTHUMBRIA UNIV,DIV GEOG & ENVIRONM MANAGEMENT,NEWCASTLE TYNE NE1 8ST,TYNE & WEAR,ENGLAND."	NA	NA	NA	NA	NA	NA	NA	"10.2307/2997794"	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Douglas,T.;Critchley,D.;Park,G."	312
"Journal Article"	"Galan,G.;Pin,C.;Duthou,JL"	"Sr-Nd isotopic record of multi-stage interactions between mantle-derived magmas and crustal components in a collision context - The ultramafic-granitoid association from Vivero (Hercynian belt, NW Spain)"	"Chemical Geology"	"Chem.Geol."	1996	"Sep-30"	"131"	"01-Apr"	"67"	"91"	"ATOMIC-EMISSION-SPECTROMETRY;SIERRA-NEVADA BATHOLITH;TROIS-SEIGNEURS;MASSIF;RARE-EARTH ELEMENTS;CALC-ALKALINE;TRACE-ELEMENT;FRACTIONAL;CRYSTALLIZATION;PALEOZOIC GRANITOIDS;CONTINENTAL-CRUST;MAFIC ENCLAVES;Geochemistry & Geophysics ER"	"Late-stage, epizonal calc-alkaline granitoids of the Hercynian belt are often associated with coeval more basic rocks. Such granitoids have been the focus of special attention when studying the role of mantle-derived magmas in granitoid genesis. These studies conclude that basic magmas are involved in granitoid production but their contribution to the chemical composition of granitoids is often controversial. The Vivero massif (NW Spain) includes calc-alkaline granitoids and coeval ultramafic and mafic rocks, but these granitoids are syntectonic and intruded into middle-crustal levels during an early stage. Scattered major- and trace-element chemistry together with heterogeneous Sr-Nd isotopic results preclude an origin of this ultramafic-to-granitoid association by any closed-system fractionation process. Ultramafic rocks include peridotites, pyroxenites and hornblendites with epsilon Nd-i from -3.5 to -1.3 and (Sr-87/Sr-86)i ratio from 0.7059 to 0.7080. They are interpreted as cumulates formed by ''in situ'' fractional crystallization from contaminated basaltic magmas, particularly by interaction with Sr-87-enriched fluids. Mafic rocks comprise biotite-amphibole diorites, quartz diorites and tonalites with epsilon Nd-i from -3.8 to 0.0 and (Sr-87/Sr-86)(i) ratio from 0.7058 to 0.7073. They represent either cumulates or more evolved magmas of calc-alkaline affinity. These rocks display an inverse correlation between the degree of differentiation and the degree of contamination inferred from isotope data. This points to wall-rock assimilation by thermal erosion during ascent of basic magmas up to the middle crust and supports the participation of mantle sources with positive epsilon Nd-i and (Sr-87/Sr-86)(i) < 0.7058. Granitoids range from amphibole-biotite tonalites, through biotite granodiorites to monzonitic granites. They show an isotopic trend which diverges from that of ultramafic and mafic rocks. epsilon Nd-i (-6.0 to -1.9) decreases while (Sr-87/Sr-86)(i) ratio (0.7061 to 0.7082) increases from tonalites to monzonitic granites, reflecting an increasing contribution of crustal components in more differentiated rocks. Assimilation and fractional crystallization, mixing included, account for such an evolution. Contamination of basic magmas by this process occurring at deeper crustal level produced hybrid tonalites and related matric magmatic enclaves. Only monzonitic granites are interpreted as pure crustal melts. Their HREE fractionated patterns [(Gd/Yb)(N) = 4-5] suggest equilibrium with a garnet-rich residuum. Partial melting of moderate time-integrated Rb/Sr protolith, such as greywackes and/or meta-igneous rocks of intermediate-acid composition, could account for the isotopic composition of these monzogranites. This example shows that at least some calc-alkaline granitoids of collisional settings are not produced by pure intra-crustal melting. They are formed through a complex, multi-stage hybridization process, involving mantle-derived magmas, crustal components and several concomitant magmatic processes."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	"Sep-41"	NA	"UNIV CLERMONT FERRAND,URA 10 CNRS,DEPT GEOL,F-63038 CLERMONT FERRAN,FRANCE.; Galan, G (reprint author), UNIV AUTONOMA BARCELONA,DEPT GEOL,EDIFICIO CS,E-08193 BARCELONA,SPAIN."	NA	NA	NA	NA	NA	NA	NA	"10.1016/0009-2541(96)00027-7"	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Galan,G.;Pin,C.;Duthou,JL"	313
"Journal Article"	"Gomez,JM;Zamora,R."	"Wind pollination in high-mountain populations of Hormathophylla spinosa (Cruciferae)"	"American Journal of Botany"	"Am.J.Bot."	1996	"MAY"	"83"	"5"	"580"	"585"	"Cruciferae;high-mountain ecology;Hormathophylla spinosa;Sierra Nevada;wind pollination;ECOLOGY;INSECT;SYSTEM;SET;Plant Sciences ER"	"In this paper we study aspects of the breeding system of Hormathophylla spinosa (Cruciferae) to identify the factors responsible for seed production in the absence of insect pollinators. The pollinator-exclusion experiments show that H. spinosa, under natural conditions, does not produce seed by apomixis or spontaneous autogamy. H. spinosa appears to be self-incompatible but slightly geitonogamous. Thus, this plant species needs pollen vectors for reproduction. The results of the wind-exclusion experiments performed during two different years in two populations of H. spinosa support the hypothesis that the wind acts as a pollen vector; flowers excluded from the wind had a lower fruit set and female fertility than Bowers excluded from all pollinator insects (winged and wingless). This generalist pollination system (insects and wind) permits this species to colonize and sustain viable populations in high mountains, where this species is the only woody shrub living above 3000 m above sea level in the Sierra Nevada."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	"Feb-22"	NA	"UNIV GRANADA,FAC CIENCIAS,DEPT BIOL ANIM & ECOL,E-18071 GRANADA,SPAIN."	NA	NA	NA	NA	NA	NA	NA	"10.2307/2445916"	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gomez,JM;Zamora,R."	314
"Journal Article"	"Gomez,JM;Zamora,R.;Hodar,JA;Garcia,D."	"Experimental study of pollination by ants in Mediterranean high mountain and arid habitats"	"Oecologia"	"Oecologia"	1996	"JAN"	"105"	"2"	"236"	"242"	"ant pollination;high-mountain ecology;Mediterranean habitats;mutualism;DIAMORPHA-SMALLII CRASSULACEAE;LEPORELLA-FIMBRIATA;POLLEN;NECTAR;SYSTEM;CONSEQUENCES;DISPERSAL;ORCHID;Environmental Sciences & Ecology ER"	"In this paper, we report the results of an experimental study on ant pollination of three plant species inhabiting the Mediterranean high mountains (Alyssum purpureum, Arenaria tetraquetra and Sedum anglicum) and four species inhabiting the aridlands (Lepidium subulatum, Gypsophyla struthium, Frankenia thymifolia and Retama sphaerocarpa) of South-eastern Spain. We determined several plant and ant traits, as well as the composition and abundance of the pollinator assemblage. Insects belonging to 29 families and five orders visited the flowers of the plant species studied. In all but two, L. subulatum and G. struthium, the ants comprised 70-100% of the flower visitors. The results clearly show that five out of seven of these plant species were pollinated by ants. The role of the ants as pollinators seems to depend heavily on the relative abundance of the ants with respect to the other species of the pollinator assemblage, ant pollination becoming evident when ants outnumber other floral visitors. The ant-pollination systems analysed in this study may be the result of prevailing ecological conditions more than an evolutionary result of a specialized interaction."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	"0029-8549"	NA	"Gomez, JM (reprint author), UNIV GRANADA,FAC CIENCIAS,DEPT BIOL ANIM ECOL & GENET,E-18071 GRANADA,SPAIN."	NA	NA	NA	NA	NA	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Gomez,JM;Zamora,R.;Hodar,JA;Garcia,D."	315
"Journal Article"	"Hacker,Hermann"	"[The revision of the genus Hadena Schrank, 1802 (Lepidoptera: Noctuidae).]"	"Esperiana"	" "	1996	"1996"	"5"	" "	"6"	"696726-775"	"Zoology;Reproductive Biology;Evolutionary Biology;Hadena [Zoogeography / / Detailed account] [Oriental region / / Systematic revision;distribution;zoogeography & phylogeny] [Palaearctic region / / ]. Hadena generic group [Genitalia / / Morphology & role in systematics] [Phylogeny / / Generic group relationships]."	" "	"PT: J BD: Systematics; Nomenclature; New taxa; Type species; Type material;    Combination; Synonymy; Taxonomy; Taxonomic position; Status; Key;    Reproduction; Reproductive system; Evolution; Zoogeography; Land zones; UT: ZOOREC:ZOOR13400013549"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	"0949-4529"	NA	"Hacker, Hermann; Kilianstrasse 10, D-96231 Staffelstein, Germany, Germany."	NA	NA	NA	"DT: Article"	"Revision der Gattung Hadena Schrank, 1802 (Lepidoptera, Noctuidae)."	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Hacker,Hermann"	316
"Book, Whole"	"Jimenez Guirado,D.;Calatayud,L.;Pena Santiago,R."	"[Morphometrical analysis of the genus Anatonchus Cobb, 1916 (Nematoda, Mononchida) in Spain.]"	" "	" "	1996	"1996"	" "	" "	"115"	" "	"Anatomy & Morphology;Zoology;Anatonchus [Biometrics / / ] [Spain / / Sierra Nevada;Morphometric analysis]."	" "	"PT: B BD: Biometrics; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR13300005857"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	"84-920828-4-4"	NA	"Jimenez Guirado, D.; Departamento de Biologia Animal, Facultad de Ciencias, Universidad de Cordoba, Avda. San Alberto Magno s/n, 14004 Cordoba, Spain, Spain."	NA	NA	NA	"DT: Book chapter"	"Analisis morfometrico del genero Anatonchus Cobb, 1916 (Nematoda, Mononchida) en Espana."	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Jimenez Guirado,D.;Calatayud,L.;Pena Santiago,R."	317
"Journal Article"	"Ortiz,AG;Schulte,L.;Franch,FS"	"Research on recent glaciation and related morphology based on the Corral del Veleta (Sierra Nevada)"	"Cadernos do Laboratorio Xeoloxico De Laxe 21"	" "	1996	" "	"21"	" "	"543"	"558"	"chronology;Corral del Veleta;deglaciation;stages;morphology;Little Ice Age;Sierra Nevada (Spain);Geology ER"	"The Corral del Veleta has been the last residual glacier of the Sierra Nevada. Since late glacial times deglaciation has been progressive, interrupted by glacier advance-retrocession fluctuations. The Little Ice Age covers diferent morphological stages. The posterior sequences indicate the gradual reduction of the glacier. At present persist only some small ice remnants close to the cirque-wall. In the ground of the cirque still exist frozen masses (pergelisol, ice?), affected by melting processe."	"PT: J"	NA	"Grandal,A. Pages,L."	"CADERNOS DO LABORATORIO XEOLOXICO DE LAXE : REVISTA DE XEOLOXIA GALEGA E DO HERCINICO PENINSULAR"	NA	NA	NA	NA	NA	NA	NA	"0213-4497"	NA	"Ortiz, AG (reprint author), UNIV BARCELONA,AREA GEOG FIS,BALDIRI REIXAC S-N,E-08028 BARCELONA,SPAIN."	NA	NA	NA	NA	NA	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Ortiz,AG;Schulte,L.;Franch,FS"	318
"Journal Article"	"Perez,JM;Granados,JE;Soriguer,RC;RuizMartinez,I."	"Prevalence and seasonality of Oestrus caucasicus Grunin, 1948 (Diptera: Oestridae) parasitizing the Spanish ibex, Capra pyrenaica (Mammalia: Artiodactyla)"	"Journal of Parasitology"	"J.Parasitol."	1996	"APR"	"82"	"2"	"233"	"236"	"LARVAE;SHEEP;OVIS;Parasitology ER"	"Prevalence and intensity of parasitism by oestrid larvae in the Spanish ibex Capra pyrenaica were determined for a period of 2.5 yr in Sierra Nevada Natural Park, southern Spain. The most relevant result of this study was to find Oestrus caucasicus parasitizing this ungulate in a geographical location far from its previously known distribution, e.g., the Caucasus mountain range and central Asia. Larvae were found within 74% of the heads examined (n = 180). Prevalence was higher in females and in older animals. Lowest prevalence occurred during the summer months. The mean intensity (+/-SD) was 25.4 +/- 27.3 larvae and was similar in both host sexes. The number of larvae increased with host age and reached the highest intensities in winter, during December and January."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	"0022-3395"	NA	"Perez, JM (reprint author), UNIV JAEN,FAC EXPT SCI,DEPT ANIM & VEGETAL BIOL & ECOL,PARAJE LAS LAGUNILLAS S-N,E-23071 JAEN,SPAIN."	NA	NA	NA	NA	NA	NA	NA	"10.2307/3284152"	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Perez,JM;Granados,JE;Soriguer,RC;RuizMartinez,I."	319
"Journal Article"	"Sanchez-Maranon,R. Delgado;Parraga,J.;Delgado,G."	"Multivariate analysis in the quantitative evaluation of soils for reforestation in the Sierra Nevada, (southern Spain)"	"Geoderma"	"Geoderma"	1996	" "	"69"	"03-Apr"	"233"	"248"	"Biodiversity & Conservation;Environmental Sciences & Ecology;Forestry;Nutrition & Dietetics;Agriculture"	" "	"PT: J"	NA	""	" "	" "	" "	" "	NA	NA	NA	NA	"0016-7061 ER"	NA	"Delgado, G.; Dep. Edafol. Quimica Agricola, Fac. Farm., Campus de Cartuja, Univ. de Granada, 18071 Granada, Spain"	NA	NA	NA	"DT: Article"	" "	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Sanchez-Maranon,R. Delgado;Parraga,J.;Delgado,G."	320
"Journal Article"	"SanchezMaranon,M.;Delgado,R.;Parraga,J.;Delgado,G."	"Multivariate analysis in the quantitative evaluation of soils for reforestation in the Sierra Nevada (southern Spain)"	"Geoderma"	"Geoderma"	1996	"FEB"	"69"	"03-Apr"	"233"	"248"	"AFFORESTATION;PLAINS;Agriculture ER"	"Soil characteristics that most strongly influence the outcome of the evaluation of soils for referestation were determined with multivariate analysis. R-mode factor analysis was used to relate results of the soil survey with those of the soil evaluation. We studied the area of the Sierra Nevada mountains in southern Spain. Soil variables were measured in 163 soil profiles, collected in a survey of the two soil environments of the Sierra Nevada: the calcareous and silicic zones. Four factor analyses showed that sand, clay, gravel and organic carbon content, and pH were the most useful soil characteristics in evaluating site keys that affect tree and shrub growth (nutrient availability, rooting space and soil water availability). In the calcareous zone, hue, value and chroma color, and pH, were easily determined soil characteristics that established and classified the suitability of forest sites. In the silicic zone, hue, value and chroma, and altitude were the characteristics found most useful in evaluating forest sites."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	"0016-7061"	NA	"UNIV GRANADA,FAC FARM,DEPT EDAFOL & QUIM AGR,E-18071 GRANADA,SPAIN. UNIV ALMERIA,ESCUELA POLITECN SUPER,DEPT EDAFOL & QUIM AGR,E-04120 ALMERIA,SPAIN."	NA	NA	NA	NA	NA	NA	NA	"10.1016/0016-7061(95)00065-8"	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SanchezMaranon,M.;Delgado,R.;Parraga,J.;Delgado,G."	321
"Journal Article"	"Talavera,M.;Tobar,A."	"Description of Pratylenchoides nevadensis sp. n. from southern Spain (Tylenchida: Pratylenchidae)."	"Afro-Asian Journal of Nematology"	" "	1996	"Jun-96"	"6"	"1"	"46"	"49"	"Zoology;Pratylenchoides nevadensis [Spain / / Sierra Nevada;New species]."	" "	"PT: J BD: Systematics; Nomenclature; New taxa; Taxonomy; Key; Land zones;    Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR13300036299"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	"0963-6420"	NA	"Talavera, M.; International Institute of Parasitology, 395A Hatfield Road, St. Albans, AL4 0XU, United Kingdom, United Kingdom."	NA	NA	NA	"DT: Article"	" "	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Talavera,M.;Tobar,A."	322
"Journal Article"	"Tarrier,Michel"	"Protection of the Sierra Nevada (Spain) habitats, Biosphere Reserve (UNESCO): The maximum level of destruction has been reached"	"Alexanor"	"Alexanor"	1996	"1996 (1997)"	"19"	"07-Aug"	"450"	"454"	"Biodiversity & Conservation;Environmental Sciences & Ecology;Government & Law"	" "	"PT: J"	NA	""	" "	" "	" "	" "	NA	NA	NA	NA	"0002-5208 ER"	NA	"Casa Surya, Buzon 203, Mijas la Neuva, E-29650 Mijas, Spain"	NA	NA	NA	"DT: Article"	" "	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Tarrier,Michel"	323
"Journal Article"	"Zaldivar,JG;Jabaloy,A.;GonzalezLodeiro,F."	"Reactivation of the Mecina Detachment in the western sector of Sierra Nevada (Betic Cordilleras, SE Spain)"	"Comptes Rendus De L Academie Des Sciences Serie Ii Fascicule A-Sciences De La Terre Et Des Planetes"	" "	1996	"Oct-03"	"323"	"7"	"615"	"622"	"fault reactivation;Domino structures;asymmetric basins;MIOCENE;BASINS;Geology ER"	"In the Internal Zones of the Betic Cordilleras, the Alpujarride Complex is superposed on the Nevado-Filabride Complex by the Mecina Detachment, which is a low-angle normal fault that was active throughout its whole extension before the Upper Miocene. In western Sierra Nevada, the detachment has been folded and reactivated since the Upper Miocene. A high-angle normal fault system with NW-SE strikes and a general domino structure is developed in the Alpujarride, but does not cut the detachment. The sediment geometry of the associated asymmetrical basins contributes towards the reconstruction of the fault system."	"PT: J"	NA	""	" "	NA	NA	NA	NA	NA	NA	NA	" "	NA	"Zaldivar, JG (reprint author), UNIV GRANADA,DEPT GEODINAM,GRANADA 18071,SPAIN."	NA	NA	NA	NA	NA	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Zaldivar,JG;Jabaloy,A.;GonzalezLodeiro,F."	324
"Journal Article"	""	"[Collecting insects, why and for what?]"	"Quercus"	" "	1997	"Septiembre 1997"	"139"	" "	"50"	" "	"Biodiversity & Conservation;Environmental Sciences & Ecology;Zoology;Lepidoptera [Conservation measures / / Licensing recommended for specimen collection] [Spain / / Parque Natural de Sierra Nevada;Collecting restrictions recommended]."	" "	"PT: J BD: Conservation; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR13400048891"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	"0212-0054"	NA	" "	NA	NA	NA	"DT: Article"	"Recoleccion de insectos, por que y para que?"	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	325
"Journal Article"	"Abolafia,Joaquin;Pena Santiago,Reyes"	"Nematodes of the order Dorylaimida from Andalucia Oriental, Spain. The genus Mesodorylaimus Andrassy, 1959. 2. Two new species with pre- and/or postvulval ornamentations."	"Russian Journal of Nematology"	" "	1997	"November 10 1997"	"5"	"2"	"81"	"88"	"Zoology;Mesodorylaimus ibericus;Mesodorylaimus ornativulvatus [Spain / / South east;New species]."	" "	"PT: J BD: Systematics; Nomenclature; New taxa; Land zones; Palaearctic region;    Eurasia; Europe; UT: ZOOREC:ZOOR13400059754"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	"0869-6918"	NA	"Abolafia, Joaquin; Dpto. Biologia Animal, Vegetal y Ecologia, Universidad de Jaen, Paraje \"Las Lagunillas\" s/n, Edificio no 5, 23071-Jaen, Spain."	NA	NA	NA	"DT: Article"	" "	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Abolafia,Joaquin;Pena Santiago,Reyes"	326
