PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Vivas, Gonzalo; Giraldez, Juan V.; Mateos, Luciano								Water management in an ancestral irrigation system in southern Spain: a simulation analysis								IRRIGATION SCIENCE				34	5			343	360		10.1007/s00271-016-0507-7			SEP 2016	2016										0	0	0	0	0	0			0342-7188	1432-1319		WOS:000380670500001		
J	Mulero, Rocio; Cano-Manuel, Javier; Raez-Bravo, Arian; Perez, Jesus M.; Espinosa, Jose; Soriguer, Ramon; Fandos, Paulino; Granados, Jose E.; Romero, Diego								Lead and cadmium in wild boar (Sus scrofa) in the Sierra Nevada Natural Space (southern Spain)								ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH				23	16			16598	16608		10.1007/s11356-016-6845-4			AUG 2016	2016										0	0	0	0	0	0			0944-1344	1614-7499		WOS:000381156600074	27178294	
J	Calvo, M.; Benoit, A.; Catalano, A.; Goupy, J.; Monfardini, A.; Ponthieu, N.; Barria, E.; Bres, G.; Grollier, M.; Garde, G.; Leggeri, J-P.; Pont, G.; Triqueneaux, S.; Adam, R.; Bourrion, O.; Macias-Perez, J-F.; Rebolo, M.; Ritacco, A.; Scordilis, J-P.; Tourres, D.; Adane, A.; Coiffard, G.; Leclercq, S.; Desert, F-X.; Doyle, S.; Mauskopf, P.; Tucker, C.; Ade, P.; Andre, P.; Beelen, A.; Belier, B.; Bideaud, A.; Billot, N.; Comis, B.; D'Addabbo, A.; Kramer, C.; Martino, J.; Mayet, F.; Pajot, F.; Pascale, E.; Perotto, L.; Reveret, V.; Ritacco, A.; Rodriguez, L.; Savini, G.; Schuster, K.; Sievers, A.; Zylka, R.								The NIKA2 Instrument, A Dual-Band Kilopixel KID Array for Millimetric Astronomy								JOURNAL OF LOW TEMPERATURE PHYSICS				184	3-4			816	823		10.1007/s10909-016-1582-0			AUG 2016	2016										0	0	0	0	0	0			0022-2291	1573-7357		WOS:000379022700045		
J	Villar-Argaiz, Manuel; Medina-Sanchez, Juan M.; Carrillo, Presentacion								Microbial carbon production and transfer across trophic levels is affected by solar UVA and phosphorus								HYDROBIOLOGIA				776	1			221	235		10.1007/s10750-016-2755-1			AUG 2016	2016										0	0	0	0	0	0			0018-8158	1573-5117		WOS:000378225900016		
J	Garcia-Garcia, Fernando; Calero, Julio; Perez-Valera, Fernando								Morphological, pedological, and sedimentary evolution on the fringe of the southwestern European drylands during the Late Pleistocene and Holocene: Evidence of climate and land use changes								CATENA				143				128	139		10.1016/j.catena.2016.03.023			AUG 2016	2016										0	0	0	0	0	0			0341-8162	1872-6887		WOS:000376800800015		
J	Carvalho, Joao; Serrano, Emmanuel; Pettorelli, Nathalie; Granados, Jose E.; Habela, Miguel A.; Olmeda, Sonia; Fonseca, Carlos; Perez, Jesus M.				CESAM, UA/M-3762-2015				Sarcoptes scabiei infestation does not alter the stability of ectoparasite communities								PARASITES & VECTORS				9						379	10.1186/s13071-016-1659-2			JUL 1 2016	2016										0	0	0	0	0	0			1756-3305			WOS:000378836100001	27370780	
J	Ramos-Roman, M. J.; Jimenez-Moreno, G.; Anderson, R. S.; Garcia-Alix, A.; Toney, J. L.; Jimenez-Espejo, F. J.; Carrion, J. S.				Toney, Jaime/I-5083-2012	Toney, Jaime/0000-0003-3182-6887			Centennial-scale vegetation and North Atlantic Oscillation changes during the Late Holocene in the southern Iberia								QUATERNARY SCIENCE REVIEWS				143				84	95		10.1016/j.quascirev.2016.05.007			JUL 1 2016	2016										0	0	0	0	0	0			0277-3791			WOS:000378671500006		
J	Molina-Venegas, Rafael; Aparicio, Abelardo; Lavergne, Sebastien; Arroyo, Juan								How soil and elevation shape local plant biodiversity in a Mediterranean hotspot								BIODIVERSITY AND CONSERVATION				25	6			1133	1149		10.1007/s10531-016-1113-y			JUN 2016	2016										0	0	0	0	0	0			0960-3115	1572-9710		WOS:000379007200007		
J	Alvarez-Lopez, Vanessa; Prieto-Fernandez, Angeles; Becerra-Castro, Cristina; Monterroso, Carmela; Kidd, Petra S.					Alvarez-Lopez, Vanessa/0000-0002-2969-0602; Prieto-Fernandez, Angeles/0000-0003-2601-1528			Rhizobacterial communities associated with the flora of three serpentine outcrops of the Iberian Peninsula								PLANT AND SOIL				403	1-2			233	252		10.1007/s11104-015-2632-0			JUN 2016	2016										1	0	0	1	0	1			0032-079X	1573-5036		WOS:000377452500014		
J	Lorite, Juan				Lorite, Juan/F-4690-2011	Lorite, Juan/0000-0003-4617-8069			An updated checklist of the vascular flora of Sierra Nevada (SE Spain)								PHYTOTAXA				261	1			1	57		10.11646/phytotaxa.261.1.1			MAY 16 2016	2016										0	0	0	0	0	0			1179-3155	1179-3163		WOS:000381823900001		
