Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM T MODEL COMPUT S;1049-3301;518;0.780;1.092;0.190;21;>10.0;0.00119;0.690
ADV ENG SOFTW;0965-9978;2023;1.402;1.584;0.378;119;5.8;0.00557;0.549
AI EDAM;0890-0604;389;0.604;1.075;0.148;27;7.8;0.00110;0.520
APPL ALGEBR ENG COMM;0938-1279;305;0.457;0.838;0.083;24;>10.0;0.00128;0.726
APPL SOFT COMPUT;1568-4946;6210;2.810;3.222;0.291;492;3.5;0.01796;0.729
ARCH COMPUT METHOD E;1134-3060;798;3.680;5.485;0.286;14;6.4;0.00306;2.916
CIN-COMPUT INFORM NU;1538-2931;539;0.758;1.056;0.038;52;4.8;0.00118;0.246
COMPEL;0332-1649;484;0.371;0.332;0.075;147;6.2;0.00117;0.109
COMPUT APPL ENG EDUC;1061-3773;594;0.296;0.933;0.070;71;5.4;0.00057;0.098
COMPUT BIOL CHEM;1476-9271;797;1.117;1.441;0.561;82;6.0;0.00171;0.436
COMPUT BIOL MED;0010-4825;2263;1.240;1.459;0.227;207;6.0;0.00391;0.331
COMPUT CHEM ENG;0098-1354;9299;2.784;2.873;0.694;255;9.4;0.01200;0.689
COMPUT CONCRETE;1598-8198;279;0.869;0.789;0.144;90;2.9;0.00077;0.185
COMPUT EDUC;0360-1315;6218;2.556;3.227;0.631;217;4.8;0.01671;0.849
COMPUT ELECTR ENG;0045-7906;840;0.817;0.965;0.155;206;3.6;0.00223;0.216
COMPUT ELECTRON AGR;0168-1699;3358;1.761;2.091;0.309;181;6.0;0.00641;0.517
COMPUT FLUIDS;0045-7930;5144;1.619;1.876;0.345;333;6.2;0.01605;0.783
COMPUT GEOSCI-UK;0098-3004;6568;2.054;2.214;0.485;196;7.7;0.01424;0.754
COMPUT GEOTECH;0266-352X;2368;1.632;1.960;0.357;171;5.9;0.00767;0.830
COMPUT IND;0166-3615;2017;1.287;1.950;0.265;102;6.9;0.00307;0.479
COMPUT IND ENG;0360-8352;5700;1.783;2.412;0.206;238;5.8;0.01397;0.703
COMPUT LINGUIST;0891-2017;1407;1.226;1.775;0.724;29;>10.0;0.00157;0.821
COMPUT MATH ORGAN TH;1381-298X;279;0.840;0.912;0.053;19;8.6;0.00055;0.340
COMPUT METH PROG BIO;0169-2607;3507;1.897;1.964;0.583;211;6.2;0.00565;0.441
COMPUT METHOD BIOMEC;1025-5842;1619;1.770;1.690;0.689;164;4.3;0.00417;0.500
COMPUT MUSIC J;0148-9267;249;0.474;0.495;0.217;23;>10.0;0.00015;0.104
COMPUT OPER RES;0305-0548;7363;1.861;2.454;0.358;232;6.8;0.01931;0.970
COMPUT PHYS COMMUN;0010-4655;13241;3.112;3.508;1.190;332;8.0;0.03227;1.426
COMPUT SCI ENG;1521-9615;1251;0.990;1.560;0.062;48;7.5;0.00277;0.725
COMPUT STAT DATA AN;0167-9473;6012;1.400;1.510;0.562;338;7.0;0.02155;0.934
COMPUT STRUCT;0045-7949;9487;2.134;2.528;0.481;158;>10.0;0.01388;1.050
COMPUT SUPP COOP W J;0925-9724;342;0.824;0.903;0.263;19;9.8;0.00055;0.371
COMPUT-AIDED CIV INF;1093-9687;1834;4.925;4.021;0.480;50;5.4;0.00394;1.037
COMPUTAT GEOSCI;1420-0597;920;1.868;1.883;0.194;62;5.3;0.00436;1.033
CONCURRENT ENG-RES A;1063-293X;312;0.851;0.703;0.037;27;9.0;0.00020;0.105
CURR COMPUT-AID DRUG;1573-4099;334;1.268;1.369;0.250;16;4.5;0.00062;0.276
DIGIT INVEST;1742-2876;415;1.648;1.318;0.175;57;4.5;0.00045;0.147
EARTH SCI INFORM;1865-0473;80;0.743;0.596;0.292;24;;0.00029;0.178
ELECTRON COMMER R A;1567-4223;844;1.482;2.340;0.147;34;5.0;0.00196;0.583
ENG COMPUT-GERMANY;0177-0667;626;1.451;1.274;0.122;49;8.5;0.00125;0.450
ENG COMPUTATION;0264-4401;1051;1.495;1.598;0.042;95;9.0;0.00219;0.544
ENVIRON MODELL SOFTW;1364-8152;7249;4.420;4.359;0.845;264;5.3;0.01547;1.110
IEEE ACM T COMPUT BI;1545-5963;1404;1.438;1.605;0.367;109;3.7;0.00559;0.602
IEEE J BIOMED HEALTH;2168-2194;243;1.440;1.448;0.351;205;1.3;0.00059;0.318
IEEE T COMPUT AID D;0278-0070;3461;1.003;1.360;0.092;163;8.2;0.00732;0.547
IEEE T INF TECHNOL B;1089-7771;2630;2.493;2.873;;0;5.4;0.00667;0.787
IEEE T LEARN TECHNOL;1939-1382;284;1.283;1.697;0.258;31;3.9;0.00132;0.548
IEEE T MED IMAGING;0278-0062;12720;3.390;4.288;0.435;184;9.8;0.02070;1.437
IEEE T SYST MAN CY C;1094-6977;2459;2.171;2.962;;0;6.8;0.00592;1.088
IND MANAGE DATA SYST;0263-5577;1348;1.226;1.544;0.148;81;7.0;0.00197;0.351
INFORMS J COMPUT;1091-9856;1232;1.077;1.537;0.267;60;8.1;0.00402;1.047
INT J ARTIF INTELL T;0218-2130;282;0.393;0.371;0.123;57;6.8;0.00053;0.136
INT J COMPUT INT SYS;1875-6891;435;0.574;0.916;0.017;115;4.0;0.00135;0.198
INT J COMPUT INTEG M;0951-192X;910;1.012;1.143;0.247;81;5.8;0.00136;0.214
