Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA PHYSIOL;1748-1708;3347;4.382;3.857;1.189;143;3.7;0.01018;1.021
ACTA PHYSIOL HUNG;0231-424X;457;0.734;0.943;0.059;51;6.9;0.00074;0.219
ADV PHYSIOL EDUC;1043-4046;821;0.944;1.142;0.243;37;8.1;0.00096;0.276
AM J PHYSIOL-CELL PH;0363-6143;17651;3.780;3.914;1.028;211;8.2;0.02770;1.245
AM J PHYSIOL-ENDOC M;0193-1849;19402;3.785;4.614;0.815;248;7.9;0.03422;1.534
AM J PHYSIOL-GASTR L;0193-1857;14354;3.798;3.865;0.559;229;8.0;0.02467;1.224
AM J PHYSIOL-HEART C;0363-6135;31933;3.838;3.881;0.765;357;9.1;0.04198;1.191
AM J PHYSIOL-LUNG C;1040-0605;13006;4.080;3.908;0.896;201;8.0;0.02016;1.226
AM J PHYSIOL-REG I;0363-6119;21152;3.106;3.366;0.471;242;9.5;0.02874;1.072
AM J PHYSIOL-RENAL;1931-857X;17248;3.248;3.521;0.779;289;7.9;0.02774;1.053
ANNU REV PHYSIOL;0066-4278;8693;18.510;19.656;3.926;27;10.0;0.01685;8.291
APPL PHYSIOL NUTR ME;1715-5312;2706;2.339;2.680;0.486;173;4.7;0.00827;0.820
ARCH INSECT BIOCHEM;0739-4462;1643;1.021;1.343;0.420;50;>10.0;0.00132;0.332
ARCH PHYSIOL BIOCHEM;1381-3455;768;1.763;;0.103;29;6.5;0.00124;
BIOL RHYTHM RES;0929-1016;518;0.919;0.730;0.186;86;7.1;0.00053;0.119
CAN J PHYSIOL PHARM;0008-4212;3943;1.770;1.801;0.279;129;>10.0;0.00485;0.460
CELL PHYSIOL BIOCHEM;1015-8987;4086;2.875;2.871;0.336;351;3.7;0.01112;0.699
CHEM SENSES;0379-864X;4252;3.157;3.199;0.507;67;9.5;0.00572;0.998
CHINESE J PHYSIOL;0304-4920;553;1.163;1.114;0.100;40;6.0;0.00070;0.180
CHRONOBIOL INT;0742-0528;3809;3.343;3.393;0.771;131;5.7;0.00743;0.840
