Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACS PHOTONICS;2330-4022;211;;;1.104;183;0.5;0.00006;
ADV ENERGY MATER;1614-6832;10129;16.146;16.581;3.266;312;2.4;0.03751;4.343
ADV FUNCT MATER;1616-301X;51895;11.805;12.311;2.234;813;4.6;0.13186;3.120
ADV IMAG ELECT PHYS;1076-5670;320;0.338;0.488;0.238;21;>10.0;0.00057;0.221
ADV MATER;0935-9648;128805;17.493;18.172;3.441;966;5.0;0.29956;4.750
AIP ADV;2158-3226;1851;1.524;1.616;0.322;562;2.3;0.00875;0.534
APL MATER;2166-532X;352;2.789;2.789;0.510;198;1.3;0.00151;1.059
APPL PHYS A-MATER;0947-8396;13670;1.704;1.710;0.286;944;7.8;0.02104;0.450
APPL PHYS B-LASERS O;0946-2171;10317;1.856;1.841;0.416;401;7.2;0.02088;0.598
APPL PHYS EXPRESS;1882-0778;5966;2.365;2.429;0.537;419;3.5;0.02591;0.794
APPL PHYS LETT;0003-6951;229122;3.302;3.569;0.655;5042;7.4;0.42671;1.125
APPL PHYS REV;1931-9401;118;;;3.828;29;0.5;0.00001;
APPL SCI-BASEL;2076-3417;145;1.484;1.474;0.152;33;2.0;0.00071;0.473
APPL SURF SCI;0169-4332;44262;2.711;2.735;0.507;2430;5.3;0.07467;0.549
ATOMIZATION SPRAY;1044-5110;721;0.781;0.750;0.163;49;>10.0;0.00129;0.263
BEILSTEIN J NANOTECH;2190-4286;1005;2.670;2.903;0.422;249;2.5;0.00432;0.877
CHALCOGENIDE LETT;1584-8663;529;0.913;1.022;0.181;72;4.4;0.00123;0.192
CRYOGENICS;0011-2275;2232;1.168;1.119;0.147;150;>10.0;0.00242;0.279
CURR APPL PHYS;1567-1739;6101;2.212;2.184;0.394;350;3.9;0.01647;0.474
CURR OPIN SOLID ST M;1359-0286;3068;6.235;6.656;0.613;31;>10.0;0.00471;2.318
ECS J SOLID STATE SC;2162-8769;807;1.558;1.558;0.362;224;1.6;0.00280;0.382
ECS SOLID STATE LETT;2162-8742;253;1.162;1.178;0.343;99;1.7;0.00100;0.341
EUR PHYS J E;1292-8941;3586;1.757;1.831;0.283;113;8.3;0.00829;0.782
EUR PHYS J-APPL PHYS;1286-0042;1600;0.774;0.787;0.126;174;6.2;0.00351;0.230
FLUCT NOISE LETT;0219-4775;328;0.811;0.766;0.188;32;7.5;0.00073;0.276
GRANUL MATTER;1434-5021;1171;1.775;1.994;0.524;82;4.9;0.00419;0.822
HIGH TEMP+;0018-151X;1215;0.952;0.749;0.212;137;8.5;0.00147;0.150
IEEE J PHOTOVOLT;2156-3381;1373;3.165;3.170;1.190;237;1.7;0.00500;0.923
IEEE J QUANTUM ELECT;0018-9197;9237;1.887;1.737;0.532;111;>10.0;0.00897;0.589
IEEE J SEL TOP QUANT;1077-260X;7868;2.828;3.387;1.914;186;6.3;0.02115;1.312
IEEE MAGN LETT;1949-307X;136;1.692;1.833;0.154;26;3.0;0.00090;0.789
IEEE PHOTONIC TECH L;1041-1135;14028;2.110;1.886;0.532;617;6.9;0.03146;0.640
