Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACCOUNT RES;0898-9621;173;0.826;0.835;0.222;27;5.7;0.00042;0.254
ACTA BIOETH;1726-569X;45;0.074;0.163;0.000;29;;0.00007;0.035
AM J BIOETHICS;1526-5161;1363;5.288;4.000;12.000;23;4.4;0.00388;1.628
BIOETHICS;0269-9702;982;1.483;1.533;0.283;60;6.4;0.00217;0.480
BMC MED ETHICS;1472-6939;404;1.495;1.686;0.266;64;4.1;0.00138;0.548
DEV WORLD BIOETH;1471-8731;238;2.054;1.688;0.316;19;4.6;0.00089;0.602
ETHIK MED;0935-7335;56;0.326;0.360;0.188;16;;0.00008;0.048
ETHNIC HEALTH;1355-7858;863;1.667;1.995;0.500;36;6.7;0.00211;0.719
GENET COUNSEL;1015-8146;358;0.444;0.405;0.060;50;10.0;0.00064;0.164
HASTINGS CENT REP;0093-0334;988;1.684;1.441;0.145;69;9.8;0.00300;0.826
J BIOETHIC INQ;1176-7529;165;0.747;0.571;0.902;51;2.0;0.00051;0.177
J EMPIR RES HUM RES;1556-2646;365;1.250;1.400;0.244;45;4.3;0.00124;0.446
J LAW MED ETHICS;1073-1105;1189;1.097;1.063;0.661;59;6.5;0.00337;0.481
J MED ETHICS;0306-6800;2845;1.511;1.446;1.068;147;6.5;0.00595;0.482
MED LAW REV;0967-0742;153;0.650;0.679;0.036;28;6.2;0.00051;0.294
NEUROETHICS-NETH;1874-5490;205;1.311;1.244;0.118;34;3.1;0.00069;0.330
PUBLIC HEALTH ETH-UK;1754-9973;190;1.182;1.059;0.500;24;3.7;0.00093;0.436
REV ROM BIOET;1583-5170;112;0.462;0.424;0.644;45;2.8;0.00008;0.029;

