Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACS PHOTONICS;2330-4022;211;;;1.104;183;0.5;0.00006;
ADV COND MATTER PHYS;1687-8108;200;0.862;0.891;0.143;84;2.6;0.00112;0.367
ADV ENERGY MATER;1614-6832;10129;16.146;16.581;3.266;312;2.4;0.03751;4.343
ADV FUNCT MATER;1616-301X;51895;11.805;12.311;2.234;813;4.6;0.13186;3.120
ADV MATER;0935-9648;128805;17.493;18.172;3.441;966;5.0;0.29956;4.750
ADV PHYS;0001-8732;5095;20.833;29.771;4.000;4;>10.0;0.00828;14.904
ANNU REV CONDEN MA P;1947-5454;1159;14.786;16.578;6.062;16;3.2;0.01096;10.781
APPL SURF SCI;0169-4332;44262;2.711;2.735;0.507;2430;5.3;0.07467;0.549
CHEM VAPOR DEPOS;0948-1907;1327;1.703;1.637;0.239;46;8.2;0.00137;0.369
CONDENS MATTER PHYS;1607-324X;395;0.748;0.668;0.119;59;5.9;0.00110;0.239
CRIT REV SOLID STATE;1040-8436;1052;6.450;8.848;1.882;17;8.0;0.00173;2.363
CURR OPIN SOLID ST M;1359-0286;3068;6.235;6.656;0.613;31;>10.0;0.00471;2.318
EUR PHYS J B;1434-6028;7722;1.345;1.366;0.293;256;7.8;0.01801;0.538
FERROELECTRICS;0015-0193;4356;0.469;0.490;0.071;295;>10.0;0.00358;0.132
FERROELECTRICS LETT;0731-5171;228;0.581;0.597;0.000;15;>10.0;0.00015;0.122
IEEE T SEMICONDUCT M;0894-6507;1088;1.000;0.933;0.083;60;9.2;0.00147;0.280
INT J MOD PHYS B;0217-9792;2930;0.937;0.519;0.293;290;7.8;0.00620;0.181
INTEGR FERROELECTR;1058-4587;790;0.357;0.407;0.037;189;7.0;0.00140;0.104
IONICS;0947-7047;2161;1.754;1.810;0.355;203;4.9;0.00353;0.323
J COMPUT THEOR NANOS;1546-1955;2503;1.343;1.066;0.520;369;3.0;0.00373;0.134
J LOW TEMP PHYS;0022-2291;3106;1.021;0.925;0.326;298;9.9;0.00686;0.419
J MAGN;1226-1750;137;0.281;0.272;0.085;71;3.7;0.00035;0.068
J MAGN MAGN MATER;0304-8853;24719;1.970;1.979;0.627;729;9.1;0.02718;0.483
J MATER SCI-MATER EL;0957-4522;4521;1.569;1.456;0.348;798;3.5;0.00757;0.248
