Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AGE;0161-9152;2038;3.390;3.437;0.653;196;2.6;0.00738;1.042
AGE AGEING;0002-0729;7912;3.642;4.394;0.865;141;8.1;0.01420;1.375
AGEING RES REV;1568-1637;2986;6.634;7.194;1.574;61;4.1;0.00879;2.027
AGING CELL;1474-9718;5793;6.340;6.593;1.405;116;4.7;0.01912;2.320
AGING CLIN EXP RES;1594-0667;1858;1.215;1.321;0.370;92;8.1;0.00279;0.381
AGING DIS;2152-5250;480;3.070;3.538;0.415;41;3.0;0.00202;0.976
AGING MENT HEALTH;1360-7863;2818;1.751;2.260;0.367;120;6.4;0.00664;0.746
AM J ALZHEIMERS DIS;1533-3175;1324;1.627;1.968;0.392;97;5.6;0.00306;0.567
AM J GERIAT PSYCHIAT;1064-7481;5503;4.235;4.409;0.909;176;6.3;0.01225;1.382
AM J GERIATR PHARMAC;1543-5946;904;3.128;3.301;;0;5.5;0.00272;1.118
ARCH GERONTOL GERIAT;0167-4943;3272;1.853;1.858;0.298;168;5.0;0.00917;0.527
AUSTRALAS J AGEING;1440-6381;476;0.678;1.183;0.125;64;6.1;0.00105;0.348
BIOGERONTOLOGY;1389-5729;1752;3.290;3.408;0.562;48;5.7;0.00357;0.842
BMC GERIATR;1471-2318;1627;1.676;;0.285;144;4.4;0.00529;
CLIN GERIATR MED;0749-0690;1416;1.826;2.932;0.250;56;6.7;0.00345;0.984
CLIN GERONTOLOGIST;0731-7115;509;0.940;1.022;0.133;30;>10.0;0.00072;0.338
CLIN INTERV AGING;1178-1998;1381;2.077;2.179;0.289;225;4.3;0.00345;0.574
DEMENT GERIATR COGN;1420-8008;4315;3.547;3.244;0.412;68;6.7;0.00818;0.911
DRUG AGING;1170-229X;2780;2.838;2.957;0.482;85;6.5;0.00571;0.851
EUR GERIATR MED;1878-7649;192;0.733;0.703;0.134;67;2.8;0.00074;0.180
EUR REV AGING PHYS A;1813-7253;113;0.676;0.985;0.231;13;4.6;0.00028;0.274
EXP AGING RES;0361-073X;864;0.917;1.387;0.107;28;>10.0;0.00106;0.485
EXP GERONTOL;0531-5565;7283;3.485;3.802;0.654;237;7.6;0.01159;1.039
FRONT AGING NEUROSCI;1663-4365;1127;4.000;4.725;0.586;302;2.1;0.00446;1.403
GERIATR GERONTOL INT;1444-1586;1092;2.188;2.026;0.526;156;2.8;0.00318;0.478
GERIATR NURS;0197-4572;592;1.200;1.352;0.145;62;6.6;0.00113;0.391
GERODONTOLOGY;0734-0664;996;1.085;1.182;0.404;52;5.9;0.00219;0.338
GERONTOLOGY;0304-324X;2859;3.059;3.229;0.803;66;7.6;0.00597;1.038
IMMUN AGEING;1742-4933;538;3.538;;0.160;25;4.1;0.00136;
INT J GERIATR PSYCH;0885-6230;7313;2.866;3.149;0.631;141;8.0;0.01256;1.010
INT J GERONTOL;1873-9598;139;0.531;0.498;0.065;46;3.3;0.00032;0.087
INT PSYCHOGERIATR;1041-6102;3758;1.934;2.273;0.469;177;5.6;0.00921;0.671
J AGING PHYS ACTIV;1063-8652;1042;1.966;2.785;0.328;61;7.2;0.00183;0.801
J AM GERIATR SOC;0002-8614;24352;4.572;4.939;0.832;292;9.3;0.03881;1.689
J AM MED DIR ASSOC;1525-8610;3553;4.939;4.321;1.664;143;2.9;0.00828;0.885
J GERIATR CARDIOL;1671-5411;219;1.395;;0.185;54;2.4;0.00090;
J GERIATR ONCOL;1879-4068;266;1.859;1.640;0.327;55;2.2;0.00200;0.841
J GERIATR PHYS THER;1539-8412;487;1.275;2.297;0.304;23;5.3;0.00132;0.649
J GERIATR PSYCH NEUR;0891-9887;1333;2.242;3.026;0.545;33;8.5;0.00230;0.952
J GERONTOL A-BIOL;1079-5006;13534;5.416;5.406;1.414;198;8.4;0.02185;1.664
J GERONTOL B-PSYCHOL;1079-5014;5686;3.213;3.856;0.442;95;8.9;0.01109;1.505
J GERONTOL NURS;0098-9134;1071;1.016;1.022;0.227;66;8.5;0.00152;0.295
J NUTR HEALTH AGING;1279-7707;3105;2.996;2.994;0.431;130;4.9;0.00801;0.765
MATURITAS;0378-5122;4761;2.942;2.973;0.672;177;5.3;0.01136;0.834
MECH AGEING DEV;0047-6374;5663;3.397;3.746;0.766;47;9.4;0.00664;1.063
NEUROBIOL AGING;0197-4580;17534;5.013;5.224;1.720;400;5.7;0.04114;1.605
PSYCHOGERIATRICS;1346-3500;274;0.988;1.257;0.086;35;4.1;0.00094;0.338
REJUV RES;1549-1684;1437;3.311;2.845;0.375;64;4.6;0.00315;0.613
TURK J GERIATR;1304-2947;125;0.176;0.191;0.014;69;6.1;0.00014;0.027
Z GERONTOL GERIATR;0948-6704;607;0.805;0.900;0.176;74;6.2;0.00105;0.207;

