Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACS CATAL;2155-5435;9046;9.312;9.174;1.551;521;2.2;0.03251;2.283
ACS NANO;1936-0851;78579;12.881;14.412;2.216;1328;3.4;0.31021;3.979
ACTA PHYS-CHIM SIN;1000-6818;2249;0.852;0.650;0.220;295;4.5;0.00314;0.094
ADSORPT SCI TECHNOL;0263-6174;743;0.669;0.704;0.143;63;>10.0;0.00073;0.134
ADSORPTION;0929-5607;1853;1.771;1.848;0.287;87;6.8;0.00261;0.423
ADV CATAL;0360-0564;1455;10.000;8.053;0.000;3;>10.0;0.00099;3.287
ADV COLLOID INTERFAC;0001-8686;8997;7.776;10.421;1.757;152;8.6;0.01339;2.839
ADV ENERGY MATER;1614-6832;10129;16.146;16.581;3.266;312;2.4;0.03751;4.343
ADV FUNCT MATER;1616-301X;51895;11.805;12.311;2.234;813;4.6;0.13186;3.120
ADV MATER;0935-9648;128805;17.493;18.172;3.441;966;5.0;0.29956;4.750
ADV PHYS ORG CHEM;0065-3160;348;2.167;2.087;0.000;4;>10.0;0.00039;1.062
ADV QUANTUM CHEM;0065-3276;832;1.190;1.926;0.667;24;>10.0;0.00095;0.639
ANNU REV PHYS CHEM;0066-426X;7749;16.842;16.113;2.667;27;9.5;0.01409;6.673
APPL CATAL A-GEN;0926-860X;34226;3.942;4.402;0.914;595;8.3;0.03814;0.883
APPL CATAL B-ENVIRON;0926-3373;33001;7.435;7.490;2.539;685;5.3;0.05334;1.477
APPL CLAY SCI;0169-1317;8332;2.467;3.246;0.332;398;5.6;0.01453;0.674
APPL SURF SCI;0169-4332;44262;2.711;2.735;0.507;2430;5.3;0.07467;0.549
BIOPHYS CHEM;0301-4622;4747;1.986;2.002;0.873;55;>10.0;0.00545;0.644
CALPHAD;0364-5916;2511;1.370;1.831;0.442;86;>10.0;0.00354;0.598
CARBON;0008-6223;46718;6.196;6.890;1.378;983;6.1;0.07322;1.463
CATAL COMMUN;1566-7367;12126;3.699;3.704;0.836;403;5.4;0.01994;0.706
CATAL LETT;1011-372X;10492;2.307;2.471;0.322;276;8.6;0.01225;0.551
CATAL REV;0161-4940;2986;8.471;10.350;0.636;11;>10.0;0.00179;2.820
CATAL SCI TECHNOL;2044-4753;5419;5.426;5.525;1.029;456;2.2;0.01660;1.171
CATAL SURV ASIA;1571-1013;697;3.276;2.943;0.067;15;7.0;0.00083;0.593
CATAL TODAY;0920-5861;28069;3.893;4.030;1.002;431;7.9;0.03730;0.900
CATALYSTS;2073-4344;220;2.000;2.080;0.500;24;2.1;0.00080;0.502
CHEM MATER;0897-4756;86283;8.354;9.210;2.078;841;7.3;0.12128;2.200
CHEM PHYS;0301-0104;12844;1.652;1.696;0.436;218;>10.0;0.01330;0.578
CHEM PHYS CARBON;0069-3138;256;1.333;1.667;;0;>10.0;0.00002;0.446
CHEM PHYS LETT;0009-2614;52796;1.897;1.963;0.475;849;>10.0;0.04458;0.565
CHEMCATCHEM;1867-3880;6593;4.556;5.213;1.029;441;2.7;0.02383;1.277
CHEMPHYSCHEM;1439-4235;13390;3.419;3.243;0.759;460;5.2;0.03731;1.046
CHINESE J CATAL;0253-9837;2532;1.964;1.440;0.387;238;3.4;0.00450;0.225
CLAY CLAY MINER;0009-8604;4851;1.228;1.623;0.107;28;>10.0;0.00274;0.626
CLAY MINER;0009-8558;2288;0.969;1.243;0.378;37;>10.0;0.00139;0.396
COLLOID J+;1061-933X;1232;0.789;0.785;0.093;97;8.7;0.00140;0.163
COLLOID POLYM SCI;0303-402X;6434;1.865;2.005;0.400;330;9.1;0.00699;0.406
COLLOID SURFACE A;0927-7757;23137;2.752;2.832;0.573;872;7.3;0.02898;0.607
COLLOID SURFACE B;0927-7765;17302;4.152;4.400;0.833;742;4.2;0.03445;0.847
COMPUT THEOR CHEM;2210-271X;1946;1.545;1.431;0.424;328;2.5;0.00668;0.335
CONCEPT MAGN RESON A;1546-6086;362;1.000;1.220;0.200;5;7.4;0.00083;0.478
CONCEPT MAGN RESON B;1552-5031;259;0.690;0.717;0.286;7;7.5;0.00058;0.371
CURR OPIN COLLOID IN;1359-0294;5702;5.840;7.966;1.054;56;8.5;0.00963;2.288
DOKL PHYS CHEM;0012-5016;385;0.586;0.573;0.135;52;6.5;0.00087;0.178
ELECTROCATALYSIS-US;1868-2529;363;2.367;2.109;0.717;46;2.5;0.00115;0.466
