Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACCREDIT QUAL ASSUR;0949-1775;763;0.966;0.950;0.163;49;7.4;0.00101;0.200
ACTA CHROMATOGR;1233-2356;331;0.577;0.565;0.073;55;6.4;0.00040;0.100
ADV CHROMATOGR;0065-2415;160;0.500;0.756;0.000;5;>10.0;0.00016;0.224
AM LAB;0044-7749;229;0.092;0.094;0.030;66;9.5;0.00014;0.026
ANAL BIOANAL CHEM;1618-2642;25559;3.436;3.565;0.656;724;4.8;0.06261;0.910
ANAL BIOCHEM;0003-2697;39183;2.219;2.564;0.532;357;>10.0;0.02476;0.707
ANAL CHEM;0003-2700;105680;5.636;5.794;1.043;1665;7.7;0.16427;1.449
ANAL CHIM ACTA;0003-2670;42070;4.513;4.667;0.817;569;7.6;0.05734;1.067
ANAL LETT;0003-2719;3000;1.030;0.886;0.134;238;8.3;0.00346;0.183
ANAL METHODS-UK;1759-9660;4592;1.821;1.840;0.285;1265;2.3;0.01387;0.380
ANAL SCI;0910-6340;4378;1.394;1.375;0.317;164;8.3;0.00474;0.282
ANALYST;0003-2654;22742;4.107;4.140;0.846;805;4.3;0.04724;0.933
ANNU REV ANAL CHEM;1936-1327;1478;8.833;9.510;0.417;24;4.7;0.00477;2.890
ARCHAEOMETRY;0003-813X;1944;1.519;1.421;0.240;75;>10.0;0.00232;0.446
BIOANALYSIS;1757-6180;2476;3.003;3.013;0.575;221;2.9;0.00675;0.546
BIOMED CHROMATOGR;0269-3879;3368;1.723;1.754;0.413;235;5.6;0.00593;0.384
BIOSENS BIOELECTRON;0956-5663;30531;6.409;6.045;1.917;820;4.2;0.05919;1.169
BUNSEKI KAGAKU;0525-1931;536;0.265;0.254;0.038;104;>10.0;0.00094;0.095
CHEMOMETR INTELL LAB;0169-7439;6189;2.321;2.770;0.459;183;>10.0;0.00756;0.726
CHINESE J ANAL CHEM;0253-3820;1828;0.754;0.598;0.124;290;5.0;0.00256;0.091
CHIRALITY;0899-0042;3079;1.886;1.911;0.473;110;6.8;0.00519;0.487
CHROMATOGRAPHIA;0009-5893;5006;1.411;1.191;0.203;182;8.1;0.00625;0.262
COMMUN SOIL SCI PLAN;0010-3624;3796;0.390;0.553;0.085;223;>10.0;0.00294;0.155
CRIT REV ANAL CHEM;1040-8347;858;1.618;2.576;0.833;18;9.0;0.00089;0.607
CURR ANAL CHEM;1573-4110;435;1.132;1.137;0.500;62;4.0;0.00094;0.254
DRUG TEST ANAL;1942-7603;1473;2.506;2.574;1.229;157;2.7;0.00484;0.616
ELECTROANAL;1040-0397;10216;2.138;2.409;0.498;313;7.0;0.01299;0.475
