Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM J EMERG TECH COM;1550-4832;169;0.729;0.952;0.117;60;4.4;0.00063;0.378
ADV ELECTR COMPUT EN;1582-7445;189;0.529;0.476;0.074;81;3.5;0.00047;0.082
AEU-INT J ELECTRON C;1434-8411;893;0.601;0.642;0.122;172;5.3;0.00209;0.174
ANALOG INTEGR CIRC S;0925-1030;1012;0.468;0.546;0.066;256;5.9;0.00203;0.140
APPL ARTIF INTELL;0883-9514;506;0.527;0.671;0.190;42;9.9;0.00064;0.186
APPL COMPUT ELECTROM;1054-4887;497;0.806;0.684;0.092;141;3.1;0.00107;0.112
AUTOMATICA;0005-1098;20482;3.020;4.363;0.482;371;7.2;0.05195;1.751
AUTOMATIKA;0005-1144;81;0.307;0.405;0.062;48;;0.00033;0.131
BELL LABS TECH J;1089-7089;355;0.580;0.631;0.273;11;6.1;0.00144;0.336
CAN J ELECT COMPUT E;0840-8688;59;0.227;0.294;0.050;20;;0.00009;0.109
CHINESE J ELECTRON;1022-4653;382;0.319;0.340;0.058;155;4.4;0.00048;0.039
CIRC SYST SIGNAL PR;0278-081X;924;1.118;1.142;0.167;216;3.7;0.00217;0.255
CIRCUIT WORLD;0305-6120;141;0.500;0.546;0.105;19;7.0;0.00020;0.119
COMPEL;0332-1649;484;0.371;0.332;0.075;147;6.2;0.00117;0.109
COMPUT COMMUN;0140-3664;3215;1.695;1.625;0.259;139;6.0;0.00889;0.579
COMPUT ELECTR ENG;0045-7906;840;0.817;0.965;0.155;206;3.6;0.00223;0.216
COMPUT NETW;1389-1286;5181;1.256;1.714;0.573;302;6.7;0.01228;0.640
COMPUT VIS IMAGE UND;1077-3142;3662;1.540;1.848;0.357;126;7.7;0.00644;0.736
CONTROL ENG PRACT;0967-0661;4415;1.814;2.213;0.348;184;7.9;0.00786;0.717
DIGIT SIGNAL PROCESS;1051-2004;2227;1.256;1.709;0.271;192;5.9;0.00446;0.444
DISPLAYS;0141-9382;768;1.033;1.010;0.139;36;8.8;0.00076;0.241
EDN;0012-7515;72;0.021;0.031;;0;;0.00008;0.013
ELECTR COMMUN JPN;1942-9533;88;0.125;0.127;0.000;108;;0.00027;0.040
ELECTR ENG;0948-7921;206;0.367;0.475;0.061;33;7.4;0.00030;0.115
ELECTR ENG JPN;0424-7760;264;0.174;0.141;0.039;103;8.8;0.00042;0.044
ELECTR POW SYST RES;0378-7796;5010;1.749;2.234;0.349;292;6.1;0.00876;0.519
ELECTROMAGNETICS;0272-6343;389;0.261;0.408;0.125;48;9.3;0.00055;0.155
ELECTRON LETT;0013-5194;14349;0.930;0.934;0.166;1005;>10.0;0.02759;0.385
ELECTRON WORLD;1365-4675;33;0.000;0.008;0.000;95;;0.00001;0.001
ELEKTRON ELEKTROTECH;1392-1215;511;0.561;0.358;0.130;193;2.7;0.00086;0.045
ENG APPL ARTIF INTEL;0952-1976;3329;2.207;2.503;0.442;199;4.8;0.00797;0.645
EPE J;0939-8368;67;0.158;0.239;0.000;6;;0.00025;0.137
ETRI J;1225-6463;870;0.771;0.803;0.145;131;4.7;0.00289;0.265
EUR T ELECTR POWER;1430-144X;535;0.886;0.881;;0;4.6;0.00147;0.229
EURASIP J ADV SIG PR;1687-6180;2609;0.777;0.941;0.104;173;6.4;0.00657;0.343
EURASIP J AUDIO SPEE;1687-4722;95;0.386;0.624;0.049;41;;0.00034;0.169
EURASIP J IMAGE VIDE;1687-5281;234;0.736;0.738;0.115;52;4.2;0.00098;0.293
EURASIP J WIREL COMM;1687-1499;1476;0.724;0.755;0.090;212;3.8;0.00742;0.311
EXPERT SYST APPL;0957-4174;19810;2.240;2.571;0.795;709;4.0;0.05840;0.594
FREQUENZ;0016-1136;162;0.393;0.253;0.103;68;6.4;0.00027;0.067
FUJITSU SCI TECH J;0016-2523;118;0.227;0.186;0.129;62;5.3;0.00022;0.044
IEEE ACM T NETWORK;1063-6692;4787;1.811;2.375;0.291;148;7.6;0.01550;1.322
IEEE AERO EL SYS MAG;0885-8985;661;0.963;0.751;0.102;49;8.3;0.00147;0.288
IEEE ANTENN PROPAG M;1045-9243;1788;1.319;1.357;0.114;105;7.6;0.00600;0.767
IEEE ANTENN WIREL PR;1536-1225;4713;1.579;1.727;0.176;376;4.2;0.02589;0.843
IEEE CIRC SYST MAG;1531-636X;471;2.517;2.930;0.077;13;5.7;0.00150;1.097
IEEE COMMUN MAG;0163-6804;8560;4.007;4.756;0.901;232;5.3;0.03840;2.428
IEEE DES TEST;2168-2356;855;0.778;1.342;0.095;42;8.8;0.00236;0.660
IEEE ELECTR DEVICE L;0741-3106;11777;2.754;2.766;0.672;393;4.9;0.03424;0.892
IEEE ELECTR INSUL M;0883-7554;824;1.643;1.873;0.185;27;9.8;0.00185;0.777
IEEE GEOSCI REMOTE S;1545-598X;4502;2.095;2.339;0.513;446;4.4;0.01251;0.690
IEEE IND APPL MAG;1077-2618;492;0.352;0.628;0.136;44;>10.0;0.00109;0.303
IEEE IND ELECTRON M;1932-4529;475;4.031;4.823;0.294;17;4.2;0.00235;1.873
IEEE INSTRU MEAS MAG;1094-6969;310;0.538;0.647;0.125;40;6.8;0.00061;0.207
IEEE INTEL TRANSP SY;1939-1390;84;0.821;1.014;0.115;26;;0.00041;0.356
IEEE INTELL SYST;1541-1672;1696;2.340;2.479;0.268;41;8.3;0.00336;0.966
IEEE J EM SEL TOP C;2156-3357;278;1.524;1.508;0.122;41;2.6;0.00208;0.723
IEEE J OCEANIC ENG;0364-9059;2108;1.175;1.196;0.234;64;>10.0;0.00277;0.534
IEEE J QUANTUM ELECT;0018-9197;9237;1.887;1.737;0.532;111;>10.0;0.00897;0.589
IEEE J SEL AREA COMM;0733-8716;10120;3.453;3.822;0.524;185;7.9;0.03251;2.192
IEEE J SEL TOP QUANT;1077-260X;7868;2.828;3.387;1.914;186;6.3;0.02115;1.312
IEEE J SOLID-ST CIRC;0018-9200;13775;3.009;3.712;0.354;246;7.8;0.03475;1.603
IEEE J-STARS;1939-1404;2331;3.026;3.303;0.515;445;2.6;0.00792;0.821
IEEE J-STSP;1932-4553;2546;2.373;3.681;0.375;88;4.6;0.01395;1.869
IEEE LAT AM T;1548-0992;305;0.326;0.322;0.049;226;3.2;0.00061;0.053
IEEE MICROW MAG;1527-3342;921;1.131;1.757;0.153;59;5.6;0.00501;1.052
IEEE MICROW WIREL CO;1531-1309;4248;1.703;1.766;0.152;297;6.1;0.01786;0.974
IEEE NETWORK;0890-8044;1440;2.540;3.234;0.159;63;6.4;0.00562;1.694
IEEE PERVAS COMPUT;1536-1268;1367;1.545;2.698;0.129;31;7.7;0.00311;1.139
IEEE PHOTONIC TECH L;1041-1135;14028;2.110;1.886;0.532;617;6.9;0.03146;0.640
IEEE PHOTONICS J;1943-0655;1922;2.209;2.210;0.404;255;2.5;0.01050;0.806
IEEE POWER ENERGY M;1540-7977;985;1.593;2.327;0.067;45;6.0;0.00324;0.981
IEEE SENS J;1530-437X;6154;1.762;1.901;0.326;534;4.1;0.01837;0.564
IEEE SIGNAL PROC LET;1070-9908;5004;1.751;1.926;0.234;282;6.7;0.01523;0.827
IEEE SIGNAL PROC MAG;1053-5888;5989;5.852;5.876;1.333;72;7.0;0.01478;2.891
IEEE SPECTRUM;0018-9235;1012;0.782;0.949;0.141;71;8.3;0.00370;0.598
IEEE SYST J;1932-8184;732;1.980;1.899;0.246;122;3.4;0.00337;0.693
IEEE T AERO ELEC SYS;0018-9251;7070;1.757;2.053;0.098;246;>10.0;0.01025;0.692
IEEE T ANTENN PROPAG;0018-926X;20318;2.181;2.346;0.323;786;8.3;0.04460;0.889
IEEE T APPL SUPERCON;1051-8223;6699;1.235;1.001;0.371;579;5.3;0.01307;0.229
IEEE T AUDIO SPEECH;1558-7916;3844;2.475;2.604;;0;4.4;0.01070;0.697
IEEE T AUTOMAT CONTR;0018-9286;27226;2.779;3.713;0.358;360;>10.0;0.05045;1.769
IEEE T BIOMED CIRC S;1932-4545;1168;2.482;3.209;0.363;80;3.8;0.00648;1.398
