Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACI MATER J;0889-325X;3146;0.909;1.253;0.219;64;>10.0;0.00294;0.551
ACI STRUCT J;0889-3241;3428;1.089;1.452;0.131;130;>10.0;0.00399;0.634
ACS APPL MATER INTER;1944-8244;32234;6.723;6.813;0.991;2762;2.3;0.09406;1.373
ACS NANO;1936-0851;78579;12.881;14.412;2.216;1328;3.4;0.31021;3.979
ACS PHOTONICS;2330-4022;211;;;1.104;183;0.5;0.00006;
ACTA MATER;1359-6454;44197;4.465;4.869;0.887;697;7.6;0.09050;1.677
ACTA MECH SOLIDA SIN;0894-9166;562;0.775;1.171;0.017;60;5.2;0.00190;0.408
ADV CEM RES;0951-7197;548;0.590;0.673;0.838;37;>10.0;0.00065;0.250
ADV ENERGY MATER;1614-6832;10129;16.146;16.581;3.266;312;2.4;0.03751;4.343
ADV ENG MATER;1438-1656;4579;1.758;1.703;0.354;164;7.1;0.00844;0.554
ADV FUNCT MATER;1616-301X;51895;11.805;12.311;2.234;813;4.6;0.13186;3.120
ADV MATER;0935-9648;128805;17.493;18.172;3.441;966;5.0;0.29956;4.750
ADV MATER INTERFACES;2196-7350;161;;;0.859;170;0.6;0.00003;
ADV MATER PROCESS;0882-7958;415;0.389;0.247;0.016;61;>10.0;0.00033;0.074
ADV MATER SCI ENG;1687-8434;428;0.744;0.787;0.085;318;2.0;0.00150;0.191
ADV OPT MATER;2195-1071;700;4.062;4.063;1.132;159;1.3;0.00299;1.473
AIP ADV;2158-3226;1851;1.524;1.616;0.322;562;2.3;0.00875;0.534
ANNU REV MATER RES;1531-7331;6481;11.854;17.970;2.278;18;>10.0;0.01114;7.086
APL MATER;2166-532X;352;2.789;2.789;0.510;198;1.3;0.00151;1.059
APPL CLAY SCI;0169-1317;8332;2.467;3.246;0.332;398;5.6;0.01453;0.674
APPL PHYS A-MATER;0947-8396;13670;1.704;1.710;0.286;944;7.8;0.02104;0.450
APPL SCI-BASEL;2076-3417;145;1.484;1.474;0.152;33;2.0;0.00071;0.473
ARCH CIV MECH ENG;1644-9665;525;1.793;1.486;0.544;79;3.1;0.00178;0.435
ATOMIZATION SPRAY;1044-5110;721;0.781;0.750;0.163;49;>10.0;0.00129;0.263
B MATER SCI;0250-4707;2998;1.017;1.284;0.065;231;7.7;0.00354;0.272
BEILSTEIN J NANOTECH;2190-4286;1005;2.670;2.903;0.422;249;2.5;0.00432;0.877
CARBON;0008-6223;46718;6.196;6.890;1.378;983;6.1;0.07322;1.463
CARBON LETT;1976-4251;242;1.625;;0.375;40;2.7;0.00053;
CEMENT CONCRETE RES;0008-8846;16863;2.864;4.075;0.483;143;>10.0;0.01748;1.371
CHALCOGENIDE LETT;1584-8663;529;0.913;1.022;0.181;72;4.4;0.00123;0.192
CHEM MATER;0897-4756;86283;8.354;9.210;2.078;841;7.3;0.12128;2.200
CIRCUIT WORLD;0305-6120;141;0.500;0.546;0.105;19;7.0;0.00020;0.119
CMC-COMPUT MATER CON;1546-2218;374;0.964;0.798;0.167;48;3.7;0.00159;0.281
COMBUST EXPLO SHOCK+;0010-5082;1288;0.572;0.670;0.126;103;>10.0;0.00111;0.152
COMP MATER SCI;0927-0256;11851;2.131;2.188;0.583;757;6.0;0.02665;0.670
CONSTR BUILD MATER;0950-0618;13430;2.296;2.710;0.381;1250;3.9;0.03153;0.592
CORROS ENG SCI TECHN;1478-422X;505;0.831;0.798;0.099;101;4.6;0.00126;0.219
CORROS SCI;0010-938X;24492;4.422;4.831;0.984;495;6.4;0.03186;0.883
CORROSION-US;0010-9312;3892;0.930;0.967;0.250;104;>10.0;0.00188;0.264
CRIT REV SOLID STATE;1040-8436;1052;6.450;8.848;1.882;17;8.0;0.00173;2.363
CRYST GROWTH DES;1528-7483;27230;4.891;4.759;0.848;771;4.7;0.05320;0.906
CURR APPL PHYS;1567-1739;6101;2.212;2.184;0.394;350;3.9;0.01647;0.474
CURR NANOSCI;1573-4137;965;1.096;1.199;0.105;133;4.1;0.00206;0.231
CURR OPIN SOLID ST M;1359-0286;3068;6.235;6.656;0.613;31;>10.0;0.00471;2.318
DIAM RELAT MATER;0925-9635;7290;1.919;1.817;0.530;132;8.7;0.00922;0.492
DIG J NANOMATER BIOS;1842-3582;1221;0.945;1.236;0.241;174;3.6;0.00278;0.202
ECS ELECTROCHEM LETT;2162-8726;361;1.789;1.789;0.465;101;1.7;0.00122;0.440
ECS J SOLID STATE SC;2162-8769;807;1.558;1.558;0.362;224;1.6;0.00280;0.382
ECS SOLID STATE LETT;2162-8742;253;1.162;1.178;0.343;99;1.7;0.00100;0.341
ELECTROCHEM SOLID ST;1099-0062;9356;2.321;1.994;;0;8.7;0.01024;0.519
ELECTRON MATER LETT;1738-8090;942;1.980;1.881;0.330;191;2.3;0.00237;0.343
EUR PHYS J E;1292-8941;3586;1.757;1.831;0.283;113;8.3;0.00829;0.782
EXP MECH;0014-4851;3359;1.548;1.853;0.350;140;9.4;0.00682;0.710
FATIGUE FRACT ENG M;8756-758X;2946;1.561;1.509;0.217;115;>10.0;0.00405;0.544
FERROELECTRICS;0015-0193;4356;0.469;0.490;0.071;295;>10.0;0.00358;0.132
FIBRE CHEM+;0015-0541;308;0.224;0.208;0.013;79;10.0;0.00017;0.029
FIRE MATER;0308-0501;1101;1.323;1.454;0.172;58;>10.0;0.00131;0.421
FIRE SAFETY J;0379-7112;1895;0.957;1.681;0.160;81;7.8;0.00390;0.545
FIRE TECHNOL;0015-2684;614;1.297;1.206;0.122;82;8.7;0.00140;0.421
FRONT MATER SCI;2095-025X;113;1.000;;0.048;42;2.5;0.00039;
FULLER NANOTUB CAR N;1536-383X;543;0.836;0.853;0.243;107;4.3;0.00101;0.166
FUNCT MATER LETT;1793-6047;559;1.606;1.473;0.222;90;3.1;0.00164;0.306
GEOSYNTH INT;1072-6349;631;1.676;1.591;0.483;29;6.4;0.00101;0.361
GOLD BULL;0017-1557;1212;1.590;2.541;0.379;29;9.0;0.00129;0.556
GRANUL MATTER;1434-5021;1171;1.775;1.994;0.524;82;4.9;0.00419;0.822
HIGH TEMP MAT PR-ISR;0334-6455;220;0.377;0.301;0.014;72;6.4;0.00043;0.079
IEEE J PHOTOVOLT;2156-3381;1373;3.165;3.170;1.190;237;1.7;0.00500;0.923
IEEE T COMP PACK MAN;2156-3950;3816;1.180;1.264;0.157;223;7.5;0.00799;0.429
IEEE T NANOTECHNOL;1536-125X;2381;1.825;1.882;0.323;161;4.7;0.00725;0.617
IMAGE ANAL STEREOL;1580-3139;187;0.971;;0.050;20;6.3;0.00071;
INDIAN J ENG MATER S;0971-4588;422;0.413;0.671;0.046;87;6.1;0.00078;0.162
INFORM MIDEM;0352-9045;71;0.242;0.245;0.056;36;;0.00014;0.045
INORG MATER+;0020-1685;2580;0.556;0.505;0.087;253;>10.0;0.00287;0.132
INT J ADHES ADHES;0143-7496;3271;1.773;2.418;0.390;177;7.4;0.00470;0.531
INT J CONCR STRUCT M;1976-0485;102;1.019;;0.071;28;2.8;0.00050;
INT J DAMAGE MECH;1056-7895;654;1.495;1.652;0.339;56;4.6;0.00184;0.498
INT J FATIGUE;0142-1123;7475;2.275;2.583;0.513;263;7.7;0.01246;0.747
INT J FRACTURE;0376-9429;5001;1.566;1.832;0.322;87;>10.0;0.00704;0.802
INT J MATER FORM;1960-6206;743;1.081;0.721;0.256;39;4.9;0.00278;0.247
INT J MATER PROD TEC;0268-1900;279;0.261;0.368;0.029;35;7.1;0.00051;0.098
INT J MECH MATER DES;1569-1713;264;1.196;;0.286;28;4.3;0.00099;
INT J MIN MET MATER;1674-4799;605;0.791;0.827;0.084;167;3.1;0.00220;0.195
INT J NANOTECHNOL;1475-7435;415;0.618;0.652;0.089;112;4.9;0.00119;0.191
INT J NUMER ANAL MET;0363-9061;2867;1.377;1.590;0.293;99;9.7;0.00623;0.741
INT J PLASTICITY;0749-6419;7364;5.567;5.890;1.222;135;6.7;0.01642;1.937
INT J REFRACT MET H;0263-4368;2968;1.989;2.160;0.413;189;5.4;0.00620;0.512
INT J SURF SCI ENG;1749-785X;72;0.184;0.340;0.071;28;;0.00022;0.092
INT MATER REV;0950-6608;2949;8.500;10.620;1.263;19;>10.0;0.00408;3.618
INTERMETALLICS;0966-9795;6969;2.131;2.204;0.660;241;6.5;0.01517;0.673
J ADHES SCI TECHNOL;0169-4243;2590;0.961;1.160;0.246;167;7.9;0.00392;0.293
J ADHESION;0021-8464;1438;1.417;1.455;0.246;57;>10.0;0.00176;0.387
J ADV CONCR TECHNOL;1346-8014;490;0.618;0.772;0.250;12;8.2;0.00084;0.328
J ALLOY COMPD;0925-8388;54156;2.999;2.716;0.982;2952;5.0;0.10301;0.557
J COMPUT THEOR NANOS;1546-1955;2503;1.343;1.066;0.520;369;3.0;0.00373;0.134
J CRYST GROWTH;0022-0248;25749;1.698;1.632;0.363;703;9.9;0.02509;0.401
J CULT HERIT;1296-2074;1441;1.568;1.658;0.301;93;6.1;0.00291;0.451
J ELASTICITY;0374-3535;1746;1.348;1.232;0.556;45;>10.0;0.00243;0.656
J ELASTOM PLAST;0095-2443;318;0.773;0.777;0.152;46;6.9;0.00036;0.144
J ELECTRON MATER;0361-5235;7438;1.798;1.770;0.254;623;5.6;0.01513;0.441
J ENERG MATER;0737-0652;378;1.295;1.347;0.162;37;7.7;0.00063;0.329
J ENG MATER-T ASME;0094-4289;2211;0.958;1.009;0.200;30;>10.0;0.00203;0.387
J EXP NANOSCI;1745-8080;453;0.981;1.081;0.208;106;3.9;0.00107;0.219
J FIRE PROT ENG;1042-3915;153;0.385;0.477;;0;>10.0;0.00029;0.280
J FIRE SCI;0734-9041;579;0.857;1.126;0.188;32;8.7;0.00083;0.347
J FRICT WEAR+;1068-3666;246;0.475;0.386;0.085;82;5.3;0.00047;0.088
J INTEL MAT SYST STR;1045-389X;4189;2.072;2.263;0.402;184;6.7;0.00856;0.647
J LASER APPL;1042-346X;587;1.798;1.356;0.108;37;8.2;0.00129;0.466
J LASER MICRO NANOEN;1880-0688;356;1.008;0.835;0.226;53;4.4;0.00065;0.150
J MAGN;1226-1750;137;0.281;0.272;0.085;71;3.7;0.00035;0.068
J MAGN MAGN MATER;0304-8853;24719;1.970;1.979;0.627;729;9.1;0.02718;0.483
J MATER CHEM A;2050-7488;18266;7.443;7.449;1.590;2499;1.4;0.04432;1.457
J MATER CHEM C;2050-7526;5889;4.696;4.701;1.139;1216;1.3;0.01525;1.006
J MATER CIVIL ENG;0899-1561;3305;1.296;1.540;0.221;253;7.3;0.00708;0.513
J MATER EDUC;0738-7989;128;0.600;;0.000;14;7.5;0.00018;
J MATER ENG PERFORM;1059-9495;2935;0.998;1.080;0.159;522;5.3;0.00665;0.293
J MATER PROCESS TECH;0924-0136;21097;2.236;2.660;0.359;329;9.1;0.02179;0.754
