Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AGR HIST;0002-1482;248;0.194;0.356;0.091;22;>10.0;0.00049;0.353
AGR HUM VALUES;0889-048X;1132;1.617;2.196;0.340;47;7.6;0.00222;0.760
AMBIX;0002-6980;159;0.536;0.582;0.125;16;>10.0;0.00063;0.595
ANN SCI;0003-3790;269;0.545;0.525;0.062;16;>10.0;0.00060;0.380
ARCH HIST EXACT SCI;0003-9519;237;0.455;0.528;0.105;19;>10.0;0.00039;0.278
ARCH NAT HIST;0260-9541;93;0.208;;0.156;32;;0.00011;
B HIST MED;0007-5140;470;0.297;0.568;0.053;19;>10.0;0.00053;0.381
B STOR SCI MAT;0392-4432;10;0.000;0.100;0.000;4;;0.00000;0.000
BER WISSGESCH;0170-6233;28;0.062;0.128;0.000;16;;0.00011;0.080
BIOL PHILOS;0169-3867;823;1.190;1.249;0.667;45;7.8;0.00155;0.427
BIOSEMIOTICS-NETH;1875-1342;111;0.593;0.742;0.071;28;4.0;0.00010;0.051
BRIT J PHILOS SCI;0007-0882;1084;1.281;1.465;0.533;30;>10.0;0.00144;0.579
CENTAURUS;0008-8994;110;0.564;0.463;0.077;13;>10.0;0.00051;0.394
CRYPTOLOGIA;0161-1194;113;0.186;0.173;0.000;22;>10.0;0.00009;0.054
DYNAMIS;0211-9536;66;0.306;0.321;0.000;8;;0.00025;0.190
EARLY SCI MED;1383-7427;94;0.267;;0.100;20;;0.00049;
EARTH SCI HIST;0736-623X;46;0.423;0.254;0.062;16;;0.00011;0.114
ENDEAVOUR;0160-9327;399;0.217;0.266;0.000;26;>10.0;0.00024;0.120
ENG STUD;1937-8629;37;0.500;0.643;0.000;11;;0.00029;0.322
EUR J PHILOS SCI;1879-4912;69;1.195;1.066;0.130;23;;0.00033;0.345
EUR PHYS J H;2102-6459;101;1.054;1.125;0.440;25;2.3;0.00075;0.590
FOUND CHEM;1386-4238;143;1.361;;0.200;15;4.6;0.00025;
FOUND SCI;1233-1821;154;0.653;0.580;0.182;22;8.3;0.00040;0.228
HER RUSS ACAD SCI+;1019-3316;229;0.266;0.280;0.039;51;>10.0;0.00040;0.093
HIST GEO- SPACE SCI;2190-5010;17;0.550;0.472;0.000;10;;0.00014;0.240
HIST HUM SCI;0952-6951;285;0.398;0.621;0.143;35;6.8;0.00121;0.369
HIST MATH;0315-0860;149;0.435;0.257;0.000;17;>10.0;0.00023;0.207
HIST PHIL LIFE SCI;0391-9714;126;0.214;0.386;;;8.6;0.00036;0.201
HIST PHILOS LOGIC;0144-5340;105;0.147;0.261;0.000;21;>10.0;0.00006;0.046
HIST REC AUST SCI;0727-3061;32;0.667;0.318;0.000;19;;0.00009;0.269
HIST SCI;0073-2753;330;0.417;0.582;0.158;19;>10.0;0.00067;0.466
HIST STUD NAT SCI;1939-1811;59;0.311;0.544;0.182;11;;0.00068;0.539
HYLE;1433-5158;81;1.000;0.852;0.000;7;;0.00015;0.352
IEEE ANN HIST COMPUT;1058-6180;194;0.217;0.455;0.238;21;>10.0;0.00037;0.215
ISIS;0021-1753;927;1.046;1.222;0.121;33;>10.0;0.00267;1.007
J AGR ENVIRON ETHIC;1187-7863;598;0.935;1.131;0.115;52;8.2;0.00092;0.304
J HIST ASTRON;0021-8286;175;0.439;0.377;0.143;21;>10.0;0.00042;0.248
J HIST BIOL;0022-5010;371;0.452;0.670;0.111;18;>10.0;0.00064;0.367
J HIST MED ALL SCI;0022-5045;283;0.579;0.775;0.111;18;>10.0;0.00052;0.412
J HIST NEUROSCI;0964-704X;226;0.562;0.495;0.304;23;9.9;0.00018;0.106
MED HIST;0025-7273;458;0.532;0.523;0.042;24;>10.0;0.00068;0.328
NANOETHICS;1871-4757;146;0.703;;0.038;26;5.2;0.00031;
NEXUS NETW J;1590-5896;96;0.143;0.160;0.500;40;;0.00019;0.075
NOTES REC;0035-9149;188;0.295;0.432;0.125;24;>10.0;0.00050;0.286
NUNCIUS;0394-7394;33;0.429;0.265;0.000;13;;0.00042;0.385
OSIRIS;0369-7827;331;0.815;1.270;0.059;17;>10.0;0.00110;1.105
PERSPECT BIOL MED;0031-5982;763;0.482;0.830;0.059;17;>10.0;0.00114;0.359
PHILOS MATH;0031-8019;113;0.273;0.333;0.143;14;9.3;0.00014;0.121
PHILOS SCI;0031-8248;2015;0.833;0.828;0.042;71;>10.0;0.00175;0.310
PHYS PERSPECT;1422-6944;57;0.407;0.286;0.000;15;;0.00014;0.130
REV HIST MATH;1262-022X;17;0.000;;0.000;6;;0.00008;
SCI CONTEXT;0269-8897;240;0.404;0.446;0.154;26;>10.0;0.00079;0.447
SCI EDUC-NETHERLANDS;0926-7220;705;0.634;0.898;0.106;94;6.9;0.00136;0.273
SCI ENG ETHICS;1353-3452;628;0.963;1.104;0.705;61;5.4;0.00153;0.360
SOC HIST MED;0951-631X;295;0.403;0.443;0.059;34;>10.0;0.00049;0.178
SOC STUD SCI;0306-3127;2153;2.351;2.678;0.667;39;>10.0;0.00378;1.301
STUD HIST PHILOS M P;1355-2198;382;0.600;0.796;0.191;68;7.7;0.00070;0.274
STUD HIST PHILOS SCI;0039-3681;492;0.452;0.562;0.143;42;8.9;0.00112;0.249
SYNTHESE;0039-7857;2359;0.739;0.880;0.131;213;8.7;0.00356;0.252
TECHNOL CULT;0040-165X;380;0.299;0.320;0.143;28;>10.0;0.00048;0.171;

