Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACAD PEDIATR;1876-2859;931;2.007;2.644;0.802;96;3.5;0.00535;1.044
ACTA PAEDIATR;0803-5253;10794;1.674;2.017;0.371;283;9.0;0.01736;0.689
AM J PERINAT;0735-1631;2159;1.905;1.589;0.350;163;6.4;0.00579;0.597
AN PEDIATR;1695-4033;750;0.833;0.755;0.299;97;5.4;0.00145;0.173
ARCH ARGENT PEDIATR;0325-0075;340;0.374;0.413;0.088;114;5.5;0.00076;0.107
ARCH DIS CHILD;0003-9888;12928;2.899;2.943;0.795;195;>10.0;0.01718;1.095
ARCH DIS CHILD-FETAL;1359-2998;4323;3.120;3.230;1.138;87;7.8;0.00838;1.144
ARCH DIS CHILDHOOD-E;1743-0585;233;1.453;1.484;0.348;23;3.6;0.00096;0.480
ARCH PEDIAT ADOL MED;1072-4710;9704;5.731;5.485;;0;8.5;0.02017;2.327
ARCH PEDIATRIE;0929-693X;1275;0.407;0.336;0.158;228;7.0;0.00179;0.076
BIRTH-ISS PERINAT C;0730-7659;1796;1.264;2.613;0.295;44;8.6;0.00241;0.761
BMC PEDIATR;1471-2431;2285;1.930;2.285;0.169;295;4.0;0.00849;0.748
BREASTFEED MED;1556-8253;644;1.248;1.543;0.607;84;3.6;0.00206;0.443
CARDIOL YOUNG;1047-9511;1521;0.835;0.976;0.087;184;6.7;0.00381;0.359
CHILD ADOL MENT H-UK;1475-357X;474;1.441;1.314;0.175;40;6.3;0.00108;0.428
CHILD CARE HLTH DEV;0305-1862;2532;1.692;2.154;0.240;96;6.8;0.00572;0.721
CHILD NERV SYST;0256-7040;4000;1.114;1.264;0.189;265;7.3;0.00762;0.373
CHILD OBES;2153-2168;327;1.868;;0.673;52;2.0;0.00157;
CLIN PEDIATR;0009-9228;2551;1.146;1.300;0.195;190;8.5;0.00539;0.463
CLIN PERINATOL;0095-5108;1629;2.441;2.773;0.242;62;6.5;0.00408;0.972
CONGENIT ANOM;0914-3505;382;1.083;;0.200;35;6.2;0.00069;
CURR OPIN PEDIATR;1040-8703;2711;2.528;2.810;0.324;102;5.6;0.00797;0.973
CURR PROB PEDIATR AD;1538-5442;290;1.632;;0.462;26;4.2;0.00102;
DEV DISABIL RES REV;1940-5510;590;2.750;3.728;;0;5.4;0.00223;1.235
DEV MED CHILD NEUROL;0012-1622;9494;3.510;3.717;1.106;141;8.3;0.01595;1.213
DEV NEUROREHABIL;1751-8423;758;2.050;2.506;0.255;51;4.3;0.00258;0.652
EARLY HUM DEV;0378-3782;4292;1.785;2.172;0.222;189;7.3;0.00880;0.678
EUR CHILD ADOLES PSY;1018-8827;3151;3.336;3.742;0.629;105;6.5;0.00653;1.130
EUR J PAEDIATR DENT;1591-996X;359;0.446;0.643;0.049;82;6.5;0.00069;0.168
EUR J PAEDIATR NEURO;1090-3798;1533;2.301;2.122;0.319;119;4.5;0.00497;0.681
EUR J PEDIATR;0340-6199;6298;1.890;1.877;0.374;254;8.6;0.01157;0.618
EUR J PEDIATR SURG;0939-7248;1042;0.994;0.830;0.324;74;8.1;0.00190;0.261
FETAL PEDIATR PATHOL;1551-3815;184;0.481;0.485;0.152;46;4.1;0.00064;0.151
HONG KONG J PAEDIATR;1013-9923;52;0.133;0.118;0.030;33;;0.00007;0.026
HORM RES PAEDIAT;1663-2818;845;1.573;1.595;0.217;115;3.2;0.00404;0.503
INDIAN J PEDIATR;0019-5456;2059;0.867;0.812;0.284;218;6.9;0.00343;0.212
INDIAN PEDIATR;0019-6061;1918;1.040;1.054;0.481;131;7.5;0.00323;0.289
INT J PAEDIATR DENT;0960-7439;1363;1.338;1.531;0.333;51;7.3;0.00226;0.436
INT J PEDIATR OTORHI;0165-5876;5266;1.186;1.350;0.198;450;6.7;0.00951;0.351
IRAN J PEDIATR;2008-2142;293;0.522;0.530;0.090;100;3.5;0.00078;0.113
ITAL J PEDIATR;1720-8424;497;1.523;1.453;0.159;88;3.1;0.00187;0.372
J AAPOS;1091-8531;1944;1.003;1.091;0.117;162;7.0;0.00351;0.309
J ADOLESCENT HEALTH;1054-139X;10691;3.612;4.050;0.868;235;7.3;0.02380;1.455
J AM ACAD CHILD PSY;0890-8567;17723;7.260;8.459;1.667;96;>10.0;0.02482;3.158
J CHILD ADOL PSYCHOP;1044-5463;2562;2.933;3.379;0.390;77;6.9;0.00515;1.016
J CHILD HEALTH CARE;1367-4935;373;0.875;1.106;0.273;33;6.0;0.00084;0.332
J CHILD NEUROL;0883-0738;5035;1.717;1.657;0.247;291;7.5;0.01015;0.551
J CLIN RES PEDIATR E;1308-5727;338;1.538;;0.062;48;3.0;0.00140;
J DEV BEHAV PEDIATR;0196-206X;3034;2.129;2.523;0.610;59;8.3;0.00544;0.879
J HUM LACT;0890-3344;1096;1.985;1.838;0.293;58;7.3;0.00175;0.459
J NEUROSURG-PEDIATR;1933-0707;1941;1.482;1.624;0.317;205;3.9;0.00743;0.479
J PAEDIATR CHILD H;1034-4810;3102;1.151;1.310;0.303;165;7.9;0.00622;0.458
J PEDIAT HEMATOL ONC;1077-4114;3003;0.902;1.070;0.249;237;7.3;0.00612;0.355
J PEDIAT OPHTH STRAB;0191-3913;1038;0.745;0.736;0.082;49;>10.0;0.00093;0.224
J PEDIAT-BRAZIL;0021-7557;1290;1.194;1.237;0.576;66;6.8;0.00188;0.302
J PEDIATR ADOL GYNEC;1083-3188;1060;1.683;1.747;0.307;75;5.2;0.00300;0.562
J PEDIATR ENDOCR MET;0334-018X;2155;0.995;0.917;0.242;198;7.8;0.00358;0.255
J PEDIATR GASTR NUTR;0277-2116;8829;2.625;2.758;0.639;288;7.0;0.01716;0.798
J PEDIATR HEALTH CAR;0891-5245;734;1.440;1.890;0.137;51;6.4;0.00168;0.584
J PEDIATR NURS;0882-5963;1145;1.006;;0.795;83;7.1;0.00182;
J PEDIATR ORTHOP B;1060-152X;987;0.594;0.607;0.158;95;9.0;0.00178;0.227
J PEDIATR ORTHOPED;0271-6798;5163;1.474;1.604;0.203;148;>10.0;0.00761;0.577
J PEDIATR SURG;0022-3468;13313;1.387;1.539;0.216;375;9.8;0.01903;0.463
J PEDIATR UROL;1477-5131;1157;0.898;1.160;0.253;217;4.2;0.00349;0.325
J PEDIATR-US;0022-3476;25181;3.790;4.152;0.833;408;>10.0;0.04378;1.548
J PERINAT MED;0300-5577;1890;1.358;1.597;0.283;92;6.9;0.00431;0.547
J PERINAT NEONAT NUR;0893-2190;492;1.100;1.083;0.219;32;7.5;0.00073;0.273
J PERINATOL;0743-8346;4315;2.072;2.207;0.446;184;6.8;0.00943;0.743
J SPEC PEDIATR NURS;1539-0136;389;0.923;1.323;0.267;30;5.4;0.00100;0.383
