Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA MECH;0001-5970;3449;1.465;1.627;0.283;223;8.4;0.00690;0.519
ACTA MECH SINICA-PRC;0567-7718;973;0.887;0.995;0.099;101;5.1;0.00333;0.361
ACTA MECH SOLIDA SIN;0894-9166;562;0.775;1.171;0.017;60;5.2;0.00190;0.408
ADV APPL MATH MECH;2070-0733;176;0.626;0.722;0.039;51;4.1;0.00128;0.340
ADV APPL MECH;0065-2156;1206;1.429;7.846;0.500;4;>10.0;0.00094;4.561
ADV VIB ENG;0972-5768;60;0.153;0.251;;0;;0.00016;0.055
ANNU REV FLUID MECH;0066-4189;8177;11.163;14.283;5.040;25;>10.0;0.01394;7.769
APPL MATH MECH-ENGL;0253-4827;1331;1.128;0.861;0.184;125;6.4;0.00242;0.222
APPL MATH MODEL;0307-904X;7636;2.251;2.326;0.419;458;3.6;0.02546;0.656
APPL MECH REV;0003-6900;2573;2.647;3.928;1.500;20;>10.0;0.00203;1.854
APPL RHEOL;1430-6395;306;1.078;0.992;1.407;27;5.3;0.00048;0.237
APPL THERM ENG;1359-4311;14791;2.739;3.034;0.527;876;5.4;0.02711;0.664
ARCH APPL MECH;0939-1533;1521;1.114;1.181;0.151;119;7.0;0.00368;0.427
ARCH MECH;0373-2029;424;0.654;0.798;0.115;26;>10.0;0.00057;0.280
ARCH RATION MECH AN;0003-9527;6721;2.219;2.575;0.454;108;>10.0;0.02467;2.909
COMMUN NONLINEAR SCI;1007-5704;7144;2.866;2.879;0.857;364;3.7;0.02436;0.733
COMPUT FLUIDS;0045-7930;5144;1.619;1.876;0.345;333;6.2;0.01605;0.783
COMPUT MECH;0178-7675;4400;2.525;2.631;0.552;181;7.7;0.00947;1.034
COMPUT METHOD APPL M;0045-7825;18357;2.959;3.395;0.669;290;>10.0;0.03318;1.641
CONTINUUM MECH THERM;0935-1175;781;1.779;1.627;0.341;44;8.2;0.00242;0.825
CR MECANIQUE;1631-0721;951;1.090;1.087;0.173;75;5.8;0.00376;0.540
DOKL PHYS;1028-3358;662;0.598;0.440;0.142;134;6.4;0.00199;0.188
ENERG CONVERS MANAGE;0196-8904;20440;4.380;4.512;1.262;989;5.8;0.02460;0.743
ENG APPL COMP FLUID;1994-2060;261;0.989;0.869;0.167;48;3.5;0.00087;0.231
ENG COMPUTATION;0264-4401;1051;1.495;1.598;0.042;95;9.0;0.00219;0.544
ENG FRACT MECH;0013-7944;8809;1.767;2.012;0.203;251;9.6;0.01478;0.754
ENVIRON FLUID MECH;1567-7419;548;1.297;1.617;0.429;63;5.7;0.00174;0.658
EUR J MECH A-SOLID;0997-7538;2619;1.678;1.996;0.673;107;6.8;0.00658;0.767
EUR J MECH B-FLUID;0997-7546;1546;1.656;1.717;0.333;105;7.9;0.00382;0.701
EXP FLUIDS;0723-4864;6104;1.670;1.866;0.252;226;8.9;0.01241;0.734
EXP MECH;0014-4851;3359;1.548;1.853;0.350;140;9.4;0.00682;0.710
EXP TECHNIQUES;0732-8818;422;0.545;0.615;0.118;51;7.5;0.00123;0.275
FINITE ELEM ANAL DES;0168-874X;2882;2.017;1.967;0.287;115;7.8;0.00647;0.747
FLOW TURBUL COMBUST;1386-6184;1149;1.519;1.708;0.380;71;6.1;0.00340;0.680
FLUID DYN RES;0169-5983;967;0.990;0.917;0.159;113;>10.0;0.00175;0.437
FLUID DYNAM+;0015-4628;836;0.352;0.390;0.069;87;>10.0;0.00092;0.126
GEOPHYS ASTRO FLUID;0309-1929;698;1.062;0.828;0.121;33;>10.0;0.00118;0.458
GRANUL MATTER;1434-5021;1171;1.775;1.994;0.524;82;4.9;0.00419;0.822
HEAT MASS TRANSFER;0947-7411;2316;0.946;1.123;0.146;157;7.5;0.00400;0.323
HEAT TRANSFER ENG;0145-7632;1524;0.814;0.918;0.354;144;7.2;0.00235;0.264
HIGH TEMP-HIGH PRESS;0018-1544;496;0.455;;0.029;35;>10.0;0.00029;
INT COMMUN HEAT MASS;0735-1933;5264;2.782;2.965;0.373;217;4.9;0.01198;0.732
INT J ACOUST VIB;1027-5851;91;0.389;0.420;0.000;25;;0.00024;0.151
INT J AEROACOUST;1475-472X;209;0.403;0.741;0.037;27;5.9;0.00102;0.447
INT J APPL ELECTROM;1383-5416;804;0.815;0.690;0.046;259;4.6;0.00129;0.114
INT J APPL MECH;1758-8251;444;1.624;1.908;0.262;80;3.5;0.00157;0.457
INT J COMPUT FLUID D;1061-8562;466;0.875;0.844;0.000;31;8.0;0.00106;0.371
INT J DAMAGE MECH;1056-7895;654;1.495;1.652;0.339;56;4.6;0.00184;0.498
INT J FRACTURE;0376-9429;5001;1.566;1.832;0.322;87;>10.0;0.00704;0.802
INT J HEAT FLUID FL;0142-727X;4519;1.596;2.216;0.230;100;8.2;0.00769;0.818
INT J HEAT MASS TRAN;0017-9310;29586;2.383;2.809;0.549;977;8.8;0.04201;0.737
INT J IMPACT ENG;0734-743X;4723;2.201;2.572;0.455;123;8.4;0.00759;0.842
INT J MECH MATER DES;1569-1713;264;1.196;;0.286;28;4.3;0.00099;
INT J MECH SCI;0020-7403;5829;2.034;2.287;0.316;272;>10.0;0.00909;0.777
INT J MULTIPHAS FLOW;0301-9322;5519;2.061;2.374;0.491;159;>10.0;0.00754;0.888
INT J NONLIN MECH;0020-7462;3738;1.977;1.870;0.587;155;8.7;0.00734;0.697
INT J NONLIN SCI NUM;1565-1339;769;1.545;0.906;0.068;44;5.7;0.00186;0.250
INT J NUMER ANAL MET;0363-9061;2867;1.377;1.590;0.293;99;9.7;0.00623;0.741
INT J NUMER METH FL;0271-2091;5388;1.244;1.447;0.169;130;9.4;0.01160;0.651
INT J NUMER METHOD H;0961-5539;898;1.399;1.312;0.172;116;6.4;0.00129;0.260
INT J PLASTICITY;0749-6419;7364;5.567;5.890;1.222;135;6.7;0.01642;1.937
INT J SOLIDS STRUCT;0020-7683;17284;2.214;2.483;0.370;387;>10.0;0.02579;0.972
INT J STRUCT STAB DY;0219-4554;446;0.764;0.885;0.151;93;4.2;0.00116;0.241
INT J THERMOPHYS;0195-928X;3251;0.963;1.018;0.151;192;9.6;0.00456;0.290
J ADHES SCI TECHNOL;0169-4243;2590;0.961;1.160;0.246;167;7.9;0.00392;0.293
J ADHESION;0021-8464;1438;1.417;1.455;0.246;57;>10.0;0.00176;0.387
J APPL FLUID MECH;1735-3572;181;0.746;;0.130;69;2.9;0.00035;
J APPL MECH TECH PH+;0021-8944;887;0.351;0.309;0.035;114;>10.0;0.00114;0.118
J APPL MECH-T ASME;0021-8936;9770;1.370;1.248;0.494;158;>10.0;0.00571;0.493
J COMPOS CONSTR;1090-0268;2413;2.483;2.457;0.329;82;7.5;0.00440;0.717
J COMPUT NONLIN DYN;1555-1423;531;1.111;1.104;0.120;75;4.2;0.00216;0.428
