Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA NEUROCHIR;0001-6268;6968;1.766;1.836;0.265;275;9.3;0.01135;0.541
ACTA NEUROL BELG;0300-9009;566;0.894;0.761;0.156;32;8.4;0.00114;0.231
ACTA NEUROL SCAND;0001-6314;5760;2.395;2.359;0.758;120;>10.0;0.00811;0.739
ACTA NEUROPATHOL;0001-6322;13098;10.762;9.762;2.500;116;6.7;0.03329;3.483
ALZ DIS ASSOC DIS;0893-0341;2599;2.440;3.092;0.696;56;8.2;0.00484;1.033
ALZHEIMERS DEMENT;1552-5260;5371;12.407;13.324;3.021;95;3.4;0.02213;4.302
ALZHEIMERS RES THER;1758-9193;676;3.979;4.364;0.765;68;2.5;0.00329;1.451
AM J ALZHEIMERS DIS;1533-3175;1324;1.627;1.968;0.392;97;5.6;0.00306;0.567
AM J NEURORADIOL;0195-6108;19657;3.589;3.870;0.577;378;8.1;0.03604;1.269
AMYOTROPH LAT SCL FR;2167-8421;2141;2.405;2.594;0.500;90;5.4;0.00605;0.818
ANN INDIAN ACAD NEUR;0972-2327;388;0.599;0.729;0.052;116;3.6;0.00130;0.190
ANN NEUROL;0364-5134;32934;9.977;10.792;1.970;167;9.9;0.06054;4.176
APHASIOLOGY;0268-7038;1824;1.531;1.560;0.592;76;8.4;0.00237;0.384
APPL NEUROPSYCH-ADUL;2327-9095;54;0.646;0.646;0.091;33;;0.00023;0.184
APPL NEUROPSYCH-CHIL;2162-2965;42;0.946;0.946;0.212;33;;0.00014;0.234
ARCH NEUROL-CHICAGO;0003-9942;20557;7.419;7.249;;0;>10.0;0.03135;2.712
BEHAV NEUROL;0953-4180;829;1.445;1.752;0.143;63;6.3;0.00181;0.522
BEHAV SLEEP MED;1540-2002;549;2.340;2.405;0.417;36;5.8;0.00144;0.815
BIPOLAR DISORD;1398-5647;4886;4.965;5.282;0.966;88;6.3;0.01106;1.650
BMC NEUROL;1471-2377;2447;2.040;2.563;0.185;249;3.9;0.00979;0.858
BRAIN;0006-8950;44379;9.196;10.418;2.422;244;8.5;0.08489;3.846
