Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM MIDL NAT;0003-0031;3369;0.773;0.821;0.097;62;>10.0;0.00166;0.302
AM MUS NOVIT;0003-0082;2218;2.186;2.127;0.517;29;>10.0;0.00195;0.819
ANIM BIODIV CONSERV;1578-665X;233;0.590;;0.080;25;8.0;0.00042;
ANIM CONSERV;1367-9430;2503;2.852;3.206;0.682;66;6.8;0.00600;1.177
AVIAN CONSERV ECOL;1712-6568;175;1.441;1.568;0.188;16;4.5;0.00071;0.603
B AM MUS NAT HIST;0003-0090;2583;7.316;5.103;2.300;10;>10.0;0.00255;2.061
B PEABODY MUS NAT HI;0079-032X;194;2.588;1.404;0.643;14;7.0;0.00040;0.446
BIODIVERS CONSERV;0960-3115;8334;2.365;2.676;0.537;201;7.6;0.01562;0.902
BIOL CONSERV;0006-3207;21429;3.762;4.697;0.672;305;7.9;0.04419;1.692
BIOL INVASIONS;1387-3547;5978;2.586;2.876;0.716;211;5.1;0.01725;0.900
BIOTA NEOTROP;1676-0603;1051;0.423;;0.028;36;5.7;0.00306;
CARIBB J SCI;0008-6452;518;0.353;0.560;0.000;12;>10.0;0.00027;0.200
CONSERV BIOL;0888-8892;17614;4.165;5.199;0.935;168;>10.0;0.02386;2.073
CONSERV GENET;1566-0621;3835;2.185;1.864;0.385;117;6.2;0.00891;0.579
CONSERV GENET RESOUR;1877-7252;965;1.172;0.952;0.101;278;2.7;0.00451;0.289
CONSERV LETT;1755-263X;1701;7.241;6.416;1.491;53;3.6;0.00944;2.690
DIVERS DISTRIB;1366-9516;5279;3.667;5.355;0.600;120;5.5;0.01633;1.930
ECO MONT;2073-106X;35;0.394;0.395;0.053;19;;0.00013;0.093
ECOGRAPHY;0906-7590;7852;4.774;5.565;1.108;130;6.9;0.01907;2.042
ENVIRON CONSERV;0376-8929;2654;2.368;3.084;0.147;34;>10.0;0.00342;1.129
GLOBAL CHANGE BIOL;1354-1013;25578;8.044;8.708;1.575;308;6.1;0.07005;3.167
J FISH WILDL MANAG;1944-687X;117;0.757;0.919;0.070;43;3.1;0.00063;0.318
J NAT CONSERV;1617-1381;673;1.646;1.831;0.318;66;4.7;0.00184;0.560
J NAT HIST;0022-2933;2637;0.881;0.954;0.342;152;>10.0;0.00365;0.330
KOEDOE;0075-6458;353;0.529;;0.000;14;>10.0;0.00050;
LANDSC ECOL ENG;1860-1871;202;0.723;1.038;0.118;34;4.5;0.00072;0.348
MAR BIODIVERS;1867-1616;280;1.104;;0.619;42;3.3;0.00126;
NAT CONSERVACAO;1679-0073;199;1.327;1.342;0.080;25;3.8;0.00085;0.456
NAT HIST;0028-0712;371;0.016;0.058;;;>10.0;0.00007;0.035
NORTHEAST NAT;1092-6194;435;0.550;0.519;0.047;64;7.1;0.00083;0.163
ORYX;0030-6053;1915;1.849;2.119;0.441;68;7.1;0.00439;0.765
P ACAD NAT SCI PHILA;0097-3157;1145;0.833;0.820;0.333;9;>10.0;0.00026;0.265
P LINN SOC N S W;0370-047X;564;0.172;;0.000;10;>10.0;0.00010;
PACHYDERM;1026-2881;129;0.273;0.427;0.222;9;9.5;0.00018;0.134
PALEOBIOLOGY;0094-8373;3496;2.658;2.945;0.590;39;>10.0;0.00349;1.213
POLAR BIOL;0722-4060;4566;1.586;1.815;0.331;157;8.7;0.00754;0.546
REV CHIL HIST NAT;0716-078X;1178;0.646;0.908;0.036;28;>10.0;0.00095;0.291
REV MEX BIODIVERS;1870-3453;520;0.459;0.583;0.091;198;4.4;0.00144;0.152
SOUTHEAST NAT;1528-7092;403;0.431;0.394;0.039;76;7.4;0.00074;0.124
SOUTHWEST NAT;0038-4909;1018;0.273;0.301;;;>10.0;0.00068;0.099
SYST BIODIVERS;1477-2000;562;2.191;1.988;0.485;33;4.9;0.00196;0.734
TROP CONSERV SCI;1940-0829;285;1.125;1.280;0.192;52;3.5;0.00108;0.373
URBAN ECOSYST;1083-8155;1254;2.685;;0.250;76;6.2;0.00234;
WEST N AM NATURALIST;1527-0904;493;0.355;0.514;0.025;40;7.7;0.00094;0.180;

