Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA MICROBIOL IMM H;1217-8950;243;0.778;0.711;0.108;37;5.7;0.00038;0.133
ADV IMMUNOL;0065-2776;2270;5.962;6.974;1.880;25;7.9;0.00638;3.494
AIDS;0269-9370;22502;5.554;5.785;1.467;353;6.9;0.05438;2.167
AIDS RES HUM RETROV;0889-2229;5198;2.325;2.162;0.561;164;7.3;0.01123;0.718
AIDS REV;1139-6121;731;3.787;3.593;0.238;21;5.6;0.00194;1.134
ALLERGOL IMMUNOPATH;0301-0546;765;1.740;1.455;0.241;83;6.2;0.00147;0.382
ALLERGOL INT;1323-8930;1121;2.457;;0.732;56;4.9;0.00296;
ALLERGY;0105-4538;13418;6.028;5.948;1.963;190;6.4;0.02538;1.605
ALLERGY ASTHMA CL IM;1710-1484;464;2.032;;0.574;61;3.9;0.00165;
ALLERGY ASTHMA IMMUN;2092-7355;563;2.160;2.663;0.397;73;3.0;0.00204;0.644
AM J REPROD IMMUNOL;1046-7408;3928;2.438;3.073;0.726;117;6.1;0.00828;0.864
ANN ALLERG ASTHMA IM;1081-1206;5669;2.599;2.757;0.812;165;7.9;0.00897;0.780
ANNU REV IMMUNOL;0732-0582;16750;39.327;46.694;5.636;22;9.2;0.04556;23.711
APMIS;0903-4641;3495;2.042;2.058;0.365;156;8.2;0.00533;0.588
ARCH IMMUNOL THER EX;0004-069X;1320;3.176;2.780;0.255;51;6.0;0.00290;0.788
ASIAN PAC J ALLERGY;0125-877X;597;0.971;1.204;0.826;46;5.7;0.00108;0.302
AUTOIMMUN REV;1568-9972;6156;7.933;5.959;2.976;169;3.5;0.01530;1.405
AUTOIMMUNITY;0891-6934;2080;2.714;2.163;0.803;66;6.9;0.00364;0.585
BIODRUGS;1173-8804;1154;2.989;2.704;0.750;44;5.7;0.00246;0.727
BIOL BLOOD MARROW TR;1083-8791;7164;3.404;3.615;0.876;275;5.0;0.02218;1.237
BMC IMMUNOL;1471-2172;1380;2.481;2.710;0.153;59;4.7;0.00434;0.816
BONE MARROW TRANSPL;0268-3369;10530;3.570;3.379;0.801;211;8.6;0.01717;1.049
BRAIN BEHAV IMMUN;0889-1591;8218;5.889;5.895;1.278;205;4.7;0.02239;1.728
CANCER IMMUNOL IMMUN;0340-7004;5954;3.941;3.729;1.139;115;5.2;0.01496;1.061
CANCER IMMUNOL RES;2326-6066;361;3.857;3.857;1.331;127;1.1;0.00115;1.480
CELL IMMUNOL;0008-8749;3889;1.924;1.932;0.268;112;9.5;0.00637;0.549
CELL MOL IMMUNOL;1672-7681;1744;4.112;3.526;1.172;58;4.6;0.00519;1.116
CENT EUR J IMMUNOL;1426-3912;119;0.280;0.256;0.012;85;3.6;0.00023;0.045
CLIN DEV IMMUNOL;1740-2522;2664;2.934;3.055;;0;2.6;0.01041;0.841
CLIN EXP ALLERGY;0954-7894;10303;4.769;4.501;1.213;136;7.7;0.01771;1.301
CLIN EXP IMMUNOL;0009-9104;12025;3.037;3.267;0.757;284;9.9;0.01659;1.016
CLIN IMMUNOL;1521-6616;6929;3.672;3.554;0.558;129;7.2;0.01421;1.201
CLIN INFECT DIS;1058-4838;51710;8.886;9.206;2.596;468;7.0;0.12680;3.562
CLIN REV ALLERG IMMU;1080-0549;1925;5.463;4.444;0.926;54;4.1;0.00489;1.150
CLIN VACCINE IMMUNOL;1556-6811;5186;2.470;2.538;0.619;218;4.3;0.01733;0.775
COMP IMMUNOL MICROB;0147-9571;1411;2.015;2.214;0.318;44;6.8;0.00282;0.643
CRIT REV IMMUNOL;1040-8401;1131;3.698;3.520;0.296;27;8.2;0.00251;1.246
CURR ALLERGY ASTHM R;1529-7322;1568;2.765;2.682;0.550;80;4.6;0.00444;0.809
CURR HIV RES;1570-162X;1043;1.757;1.675;0.444;45;4.6;0.00333;0.544
CURR OPIN ALLERGY CL;1528-4050;2667;3.574;3.583;0.952;83;5.1;0.00739;1.077
CURR OPIN HIV AIDS;1746-630X;1668;4.680;3.879;1.079;76;3.2;0.00882;1.497
CURR OPIN IMMUNOL;0952-7915;8513;7.478;7.572;1.542;96;6.3;0.02733;3.316
CURR TOP MICROBIOL;0070-217X;5106;4.097;4.149;0.367;128;6.7;0.01328;1.637
CYTOKINE;1043-4666;7066;2.664;2.717;0.593;150;6.1;0.01512;0.764
DEV COMP IMMUNOL;0145-305X;5952;2.815;3.339;0.950;238;6.2;0.00900;0.706
EMERG INFECT DIS;1080-6040;24477;6.751;6.519;1.917;315;6.3;0.05932;2.195
