Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM T SENSOR NETWORK;1550-4859;871;1.388;2.521;0.264;72;5.3;0.00338;0.989
AD HOC NETW;1570-8705;1970;1.530;2.109;0.232;164;5.3;0.00634;0.710
AD HOC SENS WIREL NE;1551-9899;137;0.435;0.513;0.140;57;4.3;0.00053;0.168
AEU-INT J ELECTRON C;1434-8411;893;0.601;0.642;0.122;172;5.3;0.00209;0.174
ANN TELECOMMUN;0003-4347;344;0.699;0.665;0.113;53;5.4;0.00095;0.214
APPL COMPUT ELECTROM;1054-4887;497;0.806;0.684;0.092;141;3.1;0.00107;0.112
BELL LABS TECH J;1089-7089;355;0.580;0.631;0.273;11;6.1;0.00144;0.336
CHINA COMMUN;1673-5447;200;0.344;0.262;0.029;205;2.6;0.00054;0.048
COMPUT COMMUN;0140-3664;3215;1.695;1.625;0.259;139;6.0;0.00889;0.579
COMPUT NETW;1389-1286;5181;1.256;1.714;0.573;302;6.7;0.01228;0.640
ELECTRON WORLD;1365-4675;33;0.000;0.008;0.000;95;;0.00001;0.001
ETRI J;1225-6463;870;0.771;0.803;0.145;131;4.7;0.00289;0.265
EURASIP J WIREL COMM;1687-1499;1476;0.724;0.755;0.090;212;3.8;0.00742;0.311
IEEE ACM T NETWORK;1063-6692;4787;1.811;2.375;0.291;148;7.6;0.01550;1.322
IEEE ANTENN WIREL PR;1536-1225;4713;1.579;1.727;0.176;376;4.2;0.02589;0.843
IEEE COMMUN LETT;1089-7798;5461;1.268;1.342;0.125;537;5.0;0.02226;0.615
IEEE COMMUN MAG;0163-6804;8560;4.007;4.756;0.901;232;5.3;0.03840;2.428
IEEE COMMUN SURV TUT;1553-877X;2788;6.806;8.615;0.790;105;3.6;0.01567;3.916
IEEE J SEL AREA COMM;0733-8716;10120;3.453;3.822;0.524;185;7.9;0.03251;2.192
IEEE MICROW MAG;1527-3342;921;1.131;1.757;0.153;59;5.6;0.00501;1.052
IEEE NETWORK;0890-8044;1440;2.540;3.234;0.159;63;6.4;0.00562;1.694
IEEE PERVAS COMPUT;1536-1268;1367;1.545;2.698;0.129;31;7.7;0.00311;1.139
IEEE SYST J;1932-8184;732;1.980;1.899;0.246;122;3.4;0.00337;0.693
IEEE T AERO ELEC SYS;0018-9251;7070;1.757;2.053;0.098;246;>10.0;0.01025;0.692
IEEE T ANTENN PROPAG;0018-926X;20318;2.181;2.346;0.323;786;8.3;0.04460;0.889
IEEE T BROADCAST;0018-9316;1602;1.825;2.108;0.441;68;5.8;0.00362;0.599
IEEE T COMMUN;0090-6778;11357;1.992;1.973;0.212;349;9.7;0.03482;1.055
IEEE T CONSUM ELECTR;0098-3063;3372;1.045;1.161;0.175;97;6.5;0.00674;0.325
IEEE T ELECTROMAGN C;0018-9375;2944;1.297;1.499;0.233;202;8.7;0.00508;0.467
IEEE T MOBILE COMPUT;1536-1233;3799;2.543;3.011;0.367;210;5.1;0.01544;1.353
IEEE T MULTIMEDIA;1520-9210;2956;2.303;2.467;0.303;188;5.5;0.01014;1.011
IEEE T VEH TECHNOL;0018-9545;9390;1.978;2.483;0.305;417;5.2;0.03595;1.019
IEEE T WIREL COMMUN;1536-1276;12617;2.496;2.820;0.352;546;5.4;0.05447;1.326
IEEE VEH TECHNOL MAG;1556-6072;437;1.750;1.669;0.310;29;4.6;0.00275;1.081
IEEE WIREL COMMUN;1536-1284;3015;5.417;5.381;0.568;81;4.4;0.01696;3.132
IEICE T COMMUN;1745-1345;1107;0.227;0.213;0.054;241;6.0;0.00288;0.072
IET MICROW ANTENNA P;1751-8725;1291;0.910;0.947;0.098;184;3.9;0.00802;0.478
IET OPTOELECTRON;1751-8768;192;0.683;0.806;0.125;40;3.8;0.00069;0.247
IET RADAR SONAR NAV;1751-8784;840;1.135;1.410;0.170;135;3.9;0.00340;0.474
IETE J RES;0377-2063;128;0.185;0.262;0.178;45;4.5;0.00028;0.057
IETE TECH REV;0256-4602;264;0.888;1.000;0.068;44;3.8;0.00071;0.187
INT J AD HOC UBIQ CO;1743-8225;239;0.554;0.562;0.091;66;4.3;0.00051;0.126
INT J ANTENN PROPAG;1687-5869;509;0.660;0.664;0.098;306;2.4;0.00264;0.263
INT J DISTRIB SENS N;1550-1329;792;0.665;0.601;0.143;530;1.9;0.00167;0.100
INT J MICROW WIREL T;1759-0787;159;0.348;0.472;0.053;75;3.6;0.00126;0.247
INT J NETW MANAG;1055-7148;130;0.283;0.471;0.000;25;6.1;0.00026;0.120
INT J SATELL COMM N;1542-0973;224;0.744;0.835;0.406;32;7.1;0.00047;0.303
INT J SENS NETW;1748-1279;359;0.920;1.053;0.137;51;4.7;0.00086;0.262
INTERNET RES;1066-2243;808;1.661;2.164;0.125;32;7.1;0.00113;0.486
IT PROF;1520-9202;293;0.819;;0.194;36;5.0;0.00083;
J AMB INTEL SMART EN;1876-1364;188;1.063;1.319;0.125;40;3.5;0.00061;0.277
J COMMUN NETW-S KOR;1229-2370;363;1.007;0.779;0.071;70;3.5;0.00191;0.349
J COMMUN TECHNOL EL+;1064-2269;813;0.388;0.309;0.100;180;9.0;0.00104;0.074
J I TELECOMMUN PROF;1755-9278;8;0.038;0.030;0.000;22;;0.00004;0.019
J INTERNET TECHNOL;1607-9264;218;0.438;0.356;0.147;116;3.1;0.00049;0.064
J LIGHTWAVE TECHNOL;0733-8724;15624;2.965;2.636;0.693;511;7.0;0.03554;0.891
J NETW SYST MANAG;1064-7570;187;0.796;0.728;0.111;27;7.1;0.00064;0.352
