Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ALIMENT HUNG;0139-3006;315;0.274;0.307;0.082;73;8.4;0.00037;0.074
ADV NUTR;2161-8313;1390;5.386;6.413;0.702;94;2.6;0.00670;2.049
AM J CLIN NUTR;0002-9165;51613;6.770;7.328;1.510;339;9.6;0.07289;2.398
ANN NUTR METAB;0250-6807;2235;2.618;2.651;0.294;85;6.0;0.00544;0.825
ANNU REV NUTR;0199-9885;4699;8.359;9.660;0.500;18;>10.0;0.00495;3.317
APPETITE;0195-6663;8728;2.691;3.323;0.488;330;6.1;0.01734;0.879
APPL PHYSIOL NUTR ME;1715-5312;2706;2.339;2.680;0.486;173;4.7;0.00827;0.820
ARCH LATINOAM NUTR;0004-0622;558;0.230;0.492;0.000;24;9.6;0.00047;0.116
ASIA PAC J CLIN NUTR;0964-7058;2371;1.699;1.744;0.272;92;7.1;0.00327;0.488
BENEF MICROBES;1876-2883;373;2.614;2.192;1.130;46;2.3;0.00138;0.594
BRIT J NUTR;0007-1145;20189;3.453;3.572;0.594;434;6.8;0.03953;1.015
CAN J DIET PRACT RES;1486-3847;299;0.769;0.981;0.125;40;5.8;0.00069;0.280
CLIN NUTR;0261-5614;6603;4.476;4.533;0.762;164;6.4;0.01299;1.267
CRIT REV FOOD SCI;1040-8398;5935;5.176;6.028;1.250;112;8.9;0.00798;1.565
CURR OPIN CLIN NUTR;1363-1950;3923;3.989;4.385;1.105;76;5.7;0.00919;1.266
CURR TOP NUTRACEUT R;1540-7535;106;0.238;0.305;0.000;22;9.0;0.00014;0.084
ECOL FOOD NUTR;0367-0244;499;0.807;0.986;0.053;38;>10.0;0.00053;0.244
ERNAHRUNGS UMSCHAU;0174-0008;113;0.247;0.198;0.091;44;6.2;0.00007;0.016
EUR J CLIN NUTR;0954-3007;10465;2.709;2.989;0.556;223;9.1;0.01742;0.978
EUR J LIPID SCI TECH;1438-7697;3676;1.812;2.093;0.453;181;6.4;0.00601;0.487
EUR J NUTR;1436-6207;3076;3.467;3.255;0.934;167;4.8;0.00671;0.856
FOOD CHEM;0308-8146;54916;3.391;3.901;1.010;1559;5.8;0.08982;0.824
FOOD DRUG LAW J;1064-590X;293;0.419;0.470;0.000;24;>10.0;0.00033;0.154
FOOD NUTR BULL;0379-5721;1689;1.148;1.795;0.547;64;7.3;0.00324;0.607
FOOD NUTR RES;1654-6628;384;2.162;;0.103;29;3.4;0.00145;
FOOD POLICY;0306-9192;2551;1.799;2.815;0.794;136;6.0;0.00619;0.935
FOOD REV INT;8755-9129;1080;2.205;2.531;0.294;17;>10.0;0.00105;0.691
GENES NUTR;1555-8932;944;2.794;3.371;0.534;73;3.7;0.00273;0.819
INT J BEHAV NUTR PHY;1479-5868;4829;4.111;5.596;0.545;156;4.2;0.01682;1.745
INT J EAT DISORDER;0276-3478;6935;3.126;3.222;0.672;119;>10.0;0.00777;0.862
INT J FOOD SCI NUTR;0963-7486;1942;1.206;1.315;0.282;149;6.1;0.00350;0.315
INT J OBESITY;0307-0565;19644;5.004;5.283;1.113;231;8.6;0.03133;1.825
INT J SPORT NUTR EXE;1526-484X;1738;2.442;2.592;0.806;67;7.2;0.00256;0.593
INT J VITAM NUTR RES;0300-9831;1011;0.854;1.296;0.167;6;>10.0;0.00116;0.344
J ACAD NUTR DIET;2212-2672;1283;3.467;3.497;0.642;162;2.1;0.00556;1.042
J AM COLL NUTR;0731-5724;4280;1.453;2.867;0.245;49;>10.0;0.00383;0.821
J CLIN BIOCHEM NUTR;0912-0009;1261;2.190;2.212;0.294;68;4.7;0.00314;0.524
J HUM NUTR DIET;0952-3871;1667;1.987;2.229;0.675;114;5.6;0.00356;0.619
J INT SOC SPORT NUTR;1550-2783;584;1.908;2.175;0.172;58;4.2;0.00134;0.445
J MED FOOD;1096-620X;2991;1.626;1.780;0.217;175;5.4;0.00546;0.369
J NUTR;0022-3166;34037;3.875;4.445;0.691;269;>10.0;0.03488;1.371
J NUTR BIOCHEM;0955-2863;6900;3.794;3.989;0.953;150;5.5;0.01340;0.957
J NUTR EDUC BEHAV;1499-4046;2083;1.773;2.123;0.494;79;7.4;0.00397;0.639
J NUTR HEALTH AGING;1279-7707;3105;2.996;2.994;0.431;130;4.9;0.00801;0.765
J NUTR SCI VITAMINOL;0301-4800;1471;0.827;1.063;0.094;64;9.5;0.00150;0.259
J NUTRIGENET NUTRIGE;1661-6499;253;2.000;1.955;0.167;12;3.6;0.00093;0.529
J PEDIATR GASTR NUTR;0277-2116;8829;2.625;2.758;0.639;288;7.0;0.01716;0.798
J RENAL NUTR;1051-2276;1301;1.871;1.834;0.278;54;5.5;0.00278;0.454
JPEN-PARENTER ENTER;0148-6071;3757;3.151;3.707;0.901;111;7.6;0.00698;1.083
LIPIDS;0024-4201;6573;1.854;2.170;0.325;114;>10.0;0.00563;0.609
LIPIDS HEALTH DIS;1476-511X;2480;2.219;2.430;0.397;194;3.5;0.00756;0.581
MATERN CHILD NUTR;1740-8695;981;3.064;2.714;0.592;49;3.6;0.00362;0.946
NUTR CANCER;0163-5581;4539;2.322;2.693;0.486;148;8.1;0.00691;0.662
NUTR CLIN METAB;0985-0562;68;0.292;0.303;0.047;43;;0.00008;0.035
NUTR CLIN PRACT;0884-5336;1543;2.401;2.270;0.469;96;5.2;0.00379;0.650
NUTR DIABETES;2044-4052;268;2.654;2.460;0.457;46;2.3;0.00121;0.764
NUTR DIET;1446-6368;403;0.717;1.039;0.023;43;5.7;0.00083;0.255
NUTR HOSP;0212-1611;1818;1.040;1.169;0.163;369;3.6;0.00328;0.190
NUTR J;1475-2891;2404;2.597;3.083;0.379;116;3.9;0.00768;0.889
NUTR METAB;1743-7075;2013;3.258;3.556;0.529;51;4.2;0.00611;0.944
NUTR METAB CARDIOVAS;0939-4753;3849;3.323;3.686;0.687;179;4.4;0.01064;1.016
NUTR NEUROSCI;1028-415X;907;2.274;2.107;0.676;37;6.7;0.00147;0.525
NUTR RES;0271-5317;3681;2.472;2.615;0.238;130;6.9;0.00613;0.656
NUTR RES PRACT;1976-1457;613;1.443;1.476;0.186;97;3.7;0.00188;0.352
NUTR RES REV;0954-4224;1433;3.912;6.374;0.636;22;8.3;0.00287;1.988
NUTR REV;0029-6643;5837;6.076;5.708;0.958;71;7.3;0.01155;1.800
NUTRIENTS;2072-6643;2311;3.270;3.671;0.376;348;2.1;0.00907;0.963
NUTRITION;0899-9007;7391;2.926;2.990;0.578;225;8.3;0.01075;0.757
OBES RES CLIN PRACT;1871-403X;277;1.177;1.049;0.279;68;3.1;0.00091;0.282
OBESITY;1930-7381;13746;3.734;4.377;0.824;376;5.1;0.04255;1.445
OBESITY FACTS;1662-4025;813;2.245;2.234;0.205;44;3.6;0.00329;0.656
P NUTR SOC;0029-6651;4458;5.273;4.321;0.948;58;9.4;0.00619;1.238
PLANT FOOD HUM NUTR;0921-9668;1937;1.976;2.627;0.233;60;7.6;0.00252;0.539
PROG LIPID RES;0163-7827;4825;10.015;12.204;2.500;22;8.1;0.00938;3.886
PROG NUTR;1129-8723;31;0.143;0.087;0.028;36;;0.00004;0.015
PUBLIC HEALTH NUTR;1368-9800;8697;2.679;3.097;0.652;316;6.0;0.02053;0.956
REV NUTR;1415-5273;678;0.496;0.681;0.033;60;7.0;0.00065;0.114;

