Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA HAEMATOL-BASEL;0001-5792;1507;1.116;1.053;0.250;96;10.0;0.00220;0.317
AM J HEMATOL;0361-8609;6807;3.798;3.863;1.090;188;6.0;0.01929;1.458
ANN HEMATOL;0939-5555;3683;2.634;2.390;0.663;199;5.3;0.00898;0.717
ARTERIOSCL THROM VAS;1079-5642;32864;6.008;6.199;1.353;312;8.4;0.05888;2.114
BEST PRACT RES CL HA;1521-6926;1266;2.120;2.423;0.182;33;6.3;0.00322;0.817
BIOL BLOOD MARROW TR;1083-8791;7164;3.404;3.615;0.876;275;5.0;0.02218;1.237
BIORHEOLOGY;0006-355X;1608;1.179;2.068;0.120;25;>10.0;0.00104;0.559
BLOOD;0006-4971;150854;10.452;9.567;2.415;853;7.1;0.37299;3.627
BLOOD CELL MOL DIS;1079-9796;2821;2.646;2.303;0.513;76;8.2;0.00516;0.763
BLOOD COAGUL FIBRIN;0957-5235;2412;1.403;1.391;0.361;169;7.2;0.00448;0.401
BLOOD PURIFICAT;0253-5068;1362;1.284;1.564;0.187;91;5.6;0.00338;0.460
BLOOD REV;0268-960X;1974;5.565;5.405;0.828;29;6.7;0.00544;2.101
BLOOD TRANSFUS-ITALY;1723-2007;878;2.372;2.239;0.662;157;2.7;0.00267;0.536
BONE MARROW TRANSPL;0268-3369;10530;3.570;3.379;0.801;211;8.6;0.01717;1.049
BRIT J HAEMATOL;0007-1048;20845;4.971;4.777;0.894;330;8.8;0.04104;1.806
CIRC RES;0009-7330;47773;11.019;10.965;3.439;246;8.8;0.08268;3.795
CL LYMPH MYELOM LEUK;2152-2650;1092;2.020;1.748;0.414;87;3.6;0.00468;0.603
CLIN APPL THROMB-HEM;1076-0296;1343;2.392;1.552;0.368;117;4.0;0.00365;0.417
CLIN HEMORHEOL MICRO;1386-0291;2007;2.242;2.096;0.402;117;5.4;0.00326;0.410
CRIT REV ONCOL HEMAT;1040-8428;5103;4.027;3.968;1.230;100;6.7;0.01043;1.235
CURR HEMATOL MALIG R;1558-8211;351;2.200;;0.392;51;2.7;0.00181;
CURR OPIN HEMATOL;1065-6251;2591;3.970;3.578;0.685;73;6.0;0.00798;1.444
CYTOTHERAPY;1465-3249;3788;3.293;3.260;0.642;162;5.6;0.00809;0.861
EUR J HAEMATOL;0902-4441;3655;2.066;2.237;0.442;156;6.8;0.00813;0.755
EXP HEMATOL;0301-472X;5951;2.475;2.746;0.475;99;9.1;0.00891;0.963
EXPERT REV HEMATOL;1747-4086;587;2.070;1.874;0.853;68;3.0;0.00317;0.718
GEMATOL TRANSFUZIOL;0234-5730;45;0.101;0.074;0.029;35;;0.00002;0.007
HAEMATOLOGICA;0390-6078;12975;5.814;5.653;1.562;217;5.4;0.04024;2.091
HAEMOPHILIA;1351-8216;4882;2.603;2.584;0.605;195;6.0;0.00767;0.538
HAMOSTASEOLOGIE;0720-9355;490;1.602;1.371;0.675;40;4.1;0.00178;0.420
HEMATOL ONCOL;0278-0232;751;3.084;2.471;0.571;28;5.0;0.00237;0.866
HEMATOL ONCOL CLIN N;0889-8588;1764;2.295;2.131;0.391;69;6.8;0.00492;0.885
HEMATOL-AM SOC HEMAT;1520-4391;2411;3.137;;;;4.4;0.01095;
HEMATOLOGY;1024-5332;953;1.253;1.285;0.225;71;6.0;0.00228;0.400
HEMOGLOBIN;0363-0269;844;0.787;1.061;0.175;97;6.1;0.00158;0.266
