JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA BIOCH BIOPH SIN;1672-9145;2213;2.191;2.051;0.347;121;5.3;0.00508;0.539;
ACTA BIOENG BIOMECH;1509-409X;292;0.894;0.915;0.066;61;3.8;0.00062;0.168;
ACTA CRYSTALLOGR D;1399-0047;15035;2.680;9.585;0.596;307;5.0;0.06534;4.719;
ACTA CRYSTALLOGR F;1744-3091;1287;0.524;0.451;0.298;339;4.0;0.00481;0.173;
ANNU REV BIOPHYS;1936-122X;2329;15.436;14.192;1.526;19;4.1;0.01421;7.455;
ARCH BIOCHEM BIOPHYS;0003-9861;20956;3.017;2.980;0.704;267;>10.0;0.01864;0.927;
BBA-BIOENERGETICS;0005-2728;10387;5.353;5.132;1.287;202;6.4;0.02373;1.646;
BBA-BIOMEMBRANES;0005-2736;14340;3.836;3.881;1.006;325;7.0;0.02991;1.257;
BBA-GEN SUBJECTS;0304-4165;10154;4.381;4.555;1.393;354;5.9;0.02220;1.352;
BBA-GENE REGUL MECH;1874-9399;5799;6.332;5.661;0.794;141;5.7;0.01926;2.401;
BBA-MOL BASIS DIS;0925-4439;7728;4.882;4.969;0.966;264;4.8;0.02162;1.527;
BBA-MOL CELL BIOL L;1388-1981;7312;5.162;4.904;1.265;181;5.6;0.02062;1.711;
BBA-PROTEINS PROTEOM;1570-9639;6558;2.747;3.127;0.710;252;5.3;0.01873;1.052;
BBA-REV CANCER;0304-419X;3964;7.845;8.811;1.512;82;5.3;0.01037;2.688;
BIOCHEM BIOPH RES CO;0006-291X;77553;2.297;2.382;0.483;1723;9.5;0.09869;0.690;
BIOELECTROCHEMISTRY;1567-5394;3754;4.172;3.854;0.800;65;7.0;0.00527;0.836;
BIOELECTROMAGNETICS;0197-8462;2200;1.705;1.717;0.483;60;9.3;0.00230;0.401;
BIOINTERPHASES;1934-8630;925;3.374;3.072;0.238;42;4.4;0.00223;0.780;
BIOMECH MODEL MECHAN;1617-7959;1798;3.145;3.203;0.740;96;4.0;0.00590;1.035;
BIOMICROFLUIDICS;1932-1058;2138;3.357;3.464;0.407;182;3.1;0.00888;0.971;
BIOMOL NMR ASSIGN;1874-2718;229;0.760;0.576;0.237;93;2.9;0.00115;0.234;
BIOPHYS CHEM;0301-4622;4747;1.986;2.002;0.873;55;>10.0;0.00545;0.644;
BIOPHYS J;0006-3495;53673;3.972;3.874;0.924;577;9.6;0.08587;1.538;
BIOPOLYMERS;0006-3525;10239;2.385;2.498;0.559;161;>10.0;0.01007;0.797;
BIORHEOLOGY;0006-355X;1608;1.179;2.068;0.120;25;>10.0;0.00104;0.559;
BIOSENS BIOELECTRON;0956-5663;30531;6.409;6.045;1.917;820;4.2;0.05919;1.169;
BMC BIOPHYS;2046-1682;134;2.892;2.400;0.143;14;2.5;0.00084;0.959;
BMC STRUCT BIOL;1472-6807;1083;1.178;2.096;0.308;26;6.1;0.00317;0.802;
CELL BIOCHEM BIOPHYS;1085-9195;2433;1.680;2.102;0.256;434;4.8;0.00557;0.559;
CELL MOL BIOENG;1865-5025;469;1.318;1.608;0.308;52;4.3;0.00220;0.585;
CHEM PHYS LIPIDS;0009-3084;4074;2.422;2.697;1.233;90;>10.0;0.00529;0.788;
COLLOID SURFACE B;0927-7765;17302;4.152;4.400;0.833;742;4.2;0.03445;0.847;
CURR OPIN CHEM BIOL;1367-5931;9712;6.813;8.501;1.524;103;6.6;0.02424;3.109;
CURR TOP MEMBR;1063-5823;414;3.295;1.904;0.478;23;4.9;0.00154;0.845;
DOKL BIOCHEM BIOPHYS;1607-6729;298;0.343;0.347;0.087;46;6.0;0.00061;0.092;
ELECTROMAGN BIOL MED;1536-8378;367;1.194;1.134;0.279;43;5.2;0.00053;0.194;
EUR BIOPHYS J BIOPHY;0175-7571;3012;2.219;2.249;0.339;59;7.0;0.00646;0.767;
FEBS LETT;0014-5793;51066;3.169;3.372;0.844;634;>10.0;0.06169;1.208;
GEN PHYSIOL BIOPHYS;0231-5882;809;1.173;1.269;0.200;45;5.9;0.00165;0.325;
HIGH ALT MED BIOL;1527-0297;899;1.275;1.925;0.321;53;6.3;0.00162;0.482;
INDIAN J BIOCHEM BIO;0301-1208;962;0.871;0.997;0.043;69;10.0;0.00108;0.214;
INT J BIOMETEOROL;0020-7128;3134;3.246;3.074;0.349;192;7.4;0.00500;0.804;
J APPL BIOMATER FUNC;2280-8000;105;1.500;1.500;0.108;37;2.3;0.00024;0.227;
J BIOENERG BIOMEMBR;0145-479X;2872;3.212;2.652;0.292;48;9.1;0.00362;0.715;
