JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ODONTOL SCAND;0001-6357;2662;1.030;1.313;0.255;149;>10.0;0.00286;0.363;
AM J DENT;0894-8275;1541;0.850;1.259;0.034;58;9.9;0.00184;0.329;
AM J ORTHOD DENTOFAC;0889-5406;9384;1.382;1.981;0.250;168;>10.0;0.01086;0.569;
ANGLE ORTHOD;0003-3219;4276;1.225;1.584;0.290;145;9.7;0.00605;0.490;
ARCH ORAL BIOL;0003-9969;5701;1.735;1.890;0.246;171;>10.0;0.00734;0.489;
AUST DENT J;0045-0421;1877;1.104;1.696;0.605;86;7.8;0.00293;0.460;
AUST ENDOD J;1329-1947;241;0.585;1.041;0.000;20;5.9;0.00061;0.312;
AUST ORTHOD J;0587-3908;176;0.434;0.440;0.040;25;9.0;0.00042;0.198;
BMC ORAL HEALTH;1472-6831;577;1.128;;0.115;156;5.1;0.00159;;
BRAZ ORAL RES;1806-8324;697;0.937;;0.105;57;5.0;0.00197;;
BRIT DENT J;0007-0610;3422;1.082;1.109;0.312;189;>10.0;0.00302;0.279;
BRIT J ORAL MAX SURG;0266-4356;3220;1.076;1.078;0.220;209;8.7;0.00468;0.305;
CARIES RES;0008-6568;3641;2.281;3.152;0.369;65;>10.0;0.00464;0.857;
CLEFT PALATE-CRAN J;1545-1569;3791;1.203;1.466;0.167;108;>10.0;0.00334;0.404;
CLIN IMPLANT DENT R;1523-0899;2600;3.589;4.110;0.442;95;5.4;0.00673;1.266;
CLIN ORAL IMPLAN RES;0905-7161;11275;3.889;4.735;0.647;224;7.0;0.01816;1.185;
CLIN ORAL INVEST;1432-6981;2730;2.352;2.475;0.465;256;3.8;0.00725;0.655;
COMMUNITY DENT HLTH;0265-539X;924;0.604;0.857;0.163;43;>10.0;0.00099;0.256;
COMMUNITY DENT ORAL;0301-5661;3709;2.025;2.435;0.308;65;>10.0;0.00421;0.765;
CRANIO;0886-9634;563;0.682;0.800;0.161;31;>10.0;0.00053;0.208;
DENT MATER;0109-5641;9743;3.769;4.433;0.511;186;6.8;0.01338;0.947;
DENT MATER J;0287-4547;1632;0.968;1.357;0.113;115;6.0;0.00287;0.306;
DENT TRAUMATOL;1600-4469;1858;1.601;1.709;0.100;80;6.6;0.00306;0.412;
DENTOMAXILLOFAC RAD;0250-832X;1772;1.390;1.534;0.222;63;7.4;0.00334;0.467;
EUR J DENT EDUC;1396-5883;609;0.938;1.165;0.465;43;5.8;0.00100;0.248;
EUR J ORAL IMPLANTOL;1756-2406;620;3.136;4.244;0.438;32;3.8;0.00237;1.175;
EUR J ORAL SCI;0909-8836;3299;1.488;2.103;0.169;59;8.8;0.00468;0.622;
EUR J ORTHODONT;0141-5387;3080;1.483;1.528;0.185;92;>10.0;0.00455;0.507;
EUR J PAEDIATR DENT;1591-996X;359;0.446;0.643;0.049;82;6.5;0.00069;0.168;
GERODONTOLOGY;0734-0664;996;1.085;1.182;0.404;52;5.9;0.00219;0.338;
HEAD FACE MED;1746-160X;374;0.853;;0.075;53;6.0;0.00084;;
IMPLANT DENT;1056-6163;1579;1.175;1.464;0.159;113;7.9;0.00238;0.384;
IMPLANTOLOGIE;0943-9692;29;0.048;0.034;0.077;26;;0.00001;0.004;
INT DENT J;0020-6539;1638;1.259;1.208;0.576;59;>10.0;0.00178;0.390;
INT ENDOD J;0143-2885;5112;2.971;2.960;0.612;129;7.5;0.00906;0.843;
INT J DENT HYG;1601-5029;398;1.059;1.074;0.095;42;5.3;0.00092;0.266;
INT J ORAL MAX IMPL;0882-2786;8153;1.451;2.768;0.175;171;>10.0;0.01014;0.777;
INT J ORAL MAX SURG;0901-5027;5907;1.565;1.871;0.253;233;8.3;0.00980;0.562;
INT J ORAL SCI;1674-2818;484;2.531;2.836;0.333;39;3.2;0.00194;0.739;
INT J PAEDIATR DENT;0960-7439;1363;1.338;1.531;0.333;51;7.3;0.00226;0.436;
INT J PERIODONT REST;0198-7569;2598;1.415;1.771;0.144;104;9.8;0.00276;0.485;
INT J PROSTHODONT;0893-2174;3491;1.464;2.105;0.130;77;>10.0;0.00399;0.612;
J ADHES DENT;1461-5185;1243;1.311;1.615;0.231;65;6.9;0.00183;0.379;
J ADV PROSTHODONT;2005-7806;190;0.640;;0.091;77;3.3;0.00078;;
J AM DENT ASSOC;0002-8177;5593;2.010;2.204;0.741;81;>10.0;0.00603;0.711;
J APPL ORAL SCI;1678-7757;930;0.923;1.119;0.236;72;5.0;0.00273;0.320;
J CAN DENT ASSOC;1488-2159;1019;0.358;0.746;0.500;10;>10.0;0.00099;0.224;
J CLIN PEDIATR DENT;1053-4628;610;0.354;0.549;0.000;52;9.0;0.00092;0.162;
J CLIN PERIODONTOL;0303-6979;10735;4.010;4.307;0.633;147;9.3;0.01334;1.140;
J CRANIO MAXILL SURG;1010-5182;3667;2.933;2.816;0.211;384;4.9;0.00526;0.479;
J DENT;0300-5712;5437;2.749;2.929;0.389;193;7.0;0.00886;0.710;
J DENT EDUC;0022-0337;2523;0.968;1.218;0.147;150;7.9;0.00238;0.206;
J DENT RES;0022-0345;15443;4.139;4.688;0.810;195;>10.0;0.02143;1.373;
J DENT SCI;1991-7902;152;0.556;0.559;0.153;59;2.9;0.00043;0.120;
J ENDODONT;0099-2399;12013;3.375;3.586;0.364;363;6.4;0.01523;0.626;
J ESTHET RESTOR DENT;1496-4155;589;0.808;1.164;0.051;39;7.4;0.00090;0.309;
J ORAL FACIAL PAIN H;2333-0384;14;;;0.389;36;;0.00000;;
J ORAL IMPLANTOL;0160-6972;1184;1.016;1.232;0.108;93;8.2;0.00208;0.359;
J ORAL MAXIL SURG;0278-2391;11904;1.425;1.756;0.278;363;9.1;0.01755;0.501;
J ORAL PATHOL MED;0904-2512;3649;1.926;2.036;0.336;113;9.1;0.00453;0.489;
