JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA CRYSTALLOGR A;0108-7673;12929;2.325;2.262;0.950;60;>10.0;0.00453;0.935;
ACTA CRYSTALLOGR B;0108-7681;9932;2.184;2.208;0.607;107;>10.0;0.00412;0.729;
ACTA CRYSTALLOGR C;0108-2701;3945;0.326;0.320;0.219;233;>10.0;0.00141;0.063;
ACTA CRYSTALLOGR D;1399-0047;15035;2.680;9.585;0.596;307;5.0;0.06534;4.719;
ACTA CRYSTALLOGR F;1744-3091;1287;0.524;0.451;0.298;339;4.0;0.00481;0.173;
CHINESE J STRUC CHEM;0254-5861;945;0.507;0.397;0.145;262;4.4;0.00085;0.038;
CRYST GROWTH DES;1528-7483;27230;4.891;4.759;0.848;771;4.7;0.05320;0.906;
CRYST RES TECHNOL;0232-1300;2717;0.935;1.075;0.215;130;8.0;0.00392;0.279;
CRYSTALLOGR REP+;1063-7745;2168;0.489;0.559;0.148;169;>10.0;0.00211;0.153;
CRYSTALLOGR REV;0889-311X;271;2.312;2.825;0.667;9;6.8;0.00069;1.092;
CRYSTENGCOMM;1466-8033;22861;4.034;4.022;0.988;1284;3.0;0.05187;0.717;
J APPL CRYSTALLOGR;0021-8898;21349;3.984;4.901;0.624;250;>10.0;0.02422;1.735;
J CHEM CRYSTALLOGR;1074-1542;1071;0.503;0.471;0.122;82;6.5;0.00145;0.088;
J CRYST GROWTH;0022-0248;25749;1.698;1.632;0.363;703;9.9;0.02509;0.401;
J MOL GRAPH MODEL;1093-3263;5429;1.722;1.948;0.444;126;>10.0;0.00394;0.475;
LIQ CRYST;0267-8292;4509;2.486;2.049;0.527;207;8.5;0.00414;0.312;
MOL CRYST LIQ CRYST;1542-1406;4339;0.493;0.480;0.039;411;>10.0;0.00339;0.099;
PHASE TRANSIT;0141-1594;1300;0.954;0.953;0.091;110;8.4;0.00208;0.266;
POLYHEDRON;0277-5387;14579;2.011;1.952;0.533;580;7.5;0.01517;0.330;
PROG CRYST GROWTH CH;0960-8974;805;3.579;5.088;0.143;7;9.7;0.00063;1.176;
STRUCT CHEM;1040-0400;2117;1.837;1.596;0.355;183;4.3;0.00371;0.282;
Z KRIST-NEW CRYST ST;1433-7266;566;0.136;0.113;0.094;224;9.7;0.00044;0.020;
Z KRISTALLOGR;0044-2968;4341;1.310;1.152;0.831;83;>10.0;0.00351;0.409;

