JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM COMPUT SURV;0360-0300;3605;3.373;5.949;0.949;39;9.2;0.00892;3.211;
ACM T ALGORITHMS;1549-6325;493;0.895;0.899;0.154;39;6.5;0.00327;0.904;
ACM T ARCHIT CODE OP;1544-3566;209;0.503;0.592;0.015;67;4.5;0.00069;0.205;
ACM T AUTON ADAP SYS;1556-4665;235;0.922;1.307;0.100;20;5.4;0.00082;0.452;
ACM T COMPUT LOG;1529-3785;312;0.618;0.927;0.029;35;7.1;0.00177;0.737;
ACM T COMPUT SYST;0734-2071;741;0.600;1.075;0.333;9;>10.0;0.00056;0.666;
ACM T MULTIM COMPUT;1551-6857;465;0.971;1.289;0.196;56;5.4;0.00182;0.636;
ADV MATH COMMUN;1930-5346;168;0.476;0.749;0.088;34;4.1;0.00232;0.816;
APPL ALGEBR ENG COMM;0938-1279;305;0.457;0.838;0.083;24;>10.0;0.00128;0.726;
APPL ONTOL;1570-5838;113;0.615;1.131;0.111;9;4.8;0.00033;0.339;
ARTIF LIFE;1064-5462;593;1.386;1.453;0.417;24;>10.0;0.00076;0.454;
CLUSTER COMPUT;1386-7857;425;1.510;1.353;0.094;106;4.9;0.00084;0.288;
COMB PROBAB COMPUT;0963-5483;645;0.623;0.826;0.096;52;8.9;0.00584;1.454;
COMMUN ACM;0001-0782;11320;3.621;3.609;0.333;90;>10.0;0.02029;2.006;
COMPUT COMPLEX;1016-3328;455;1.075;1.200;0.000;16;>10.0;0.00200;1.259;
COMPUT J;0010-4620;2585;0.787;0.962;0.159;126;>10.0;0.00341;0.387;
COMPUT METH PROG BIO;0169-2607;3507;1.897;1.964;0.583;211;6.2;0.00565;0.441;
COMPUT SYST SCI ENG;0267-6192;130;0.524;0.344;0.167;36;6.5;0.00011;0.045;
COMPUTING;0010-485X;1272;0.593;0.966;0.136;59;>10.0;0.00208;0.491;
CONCURR COMP-PRACT E;1532-0626;1184;0.997;0.958;0.461;165;4.5;0.00316;0.289;
CONNECT SCI;0954-0091;276;0.842;0.729;0.091;22;>10.0;0.00031;0.278;
CONSTRAINTS;1383-7133;291;1.257;1.452;0.333;18;6.2;0.00082;0.558;
CRYPTOGR COMMUN;1936-2447;67;0.828;0.823;0.118;17;;0.00100;0.801;
CRYPTOLOGIA;0161-1194;113;0.186;0.173;0.000;22;>10.0;0.00009;0.054;
DESIGN CODE CRYPTOGR;0925-1022;1148;0.958;0.895;0.228;171;8.0;0.00612;0.811;
DISCRETE COMPUT GEOM;0179-5376;1454;0.692;0.831;0.103;87;>10.0;0.00718;1.007;
DISTRIB COMPUT;0178-2770;414;1.045;0.900;0.400;20;>10.0;0.00106;0.605;
DISTRIB PARALLEL DAT;0926-8782;252;1.156;0.927;0.056;18;>10.0;0.00058;0.444;
EVOL COMPUT;1063-6560;1887;2.366;3.009;0.818;11;>10.0;0.00247;1.376;
EXPERT SYST;0266-4720;351;0.761;0.940;0.154;39;7.4;0.00047;0.200;
FORM METHOD SYST DES;0925-9856;357;0.875;1.218;0.043;23;8.4;0.00160;0.846;
FOUND COMPUT MATH;1615-3375;763;2.389;3.566;0.763;38;5.5;0.00712;3.476;
FRONT COMPUT SCI-CHI;2095-2228;163;0.434;0.464;0.041;74;3.9;0.00070;0.153;
FUTURE GENER COMP SY;0167-739X;2649;2.786;2.464;1.089;214;4.0;0.00659;0.635;
FUZZY SET SYST;0165-0114;13449;1.986;2.496;0.423;201;>10.0;0.00874;0.582;
GENET PROGRAM EVOL M;1389-2576;172;0.903;1.224;0.263;19;5.3;0.00054;0.448;
HUM-COMPUT INTERACT;0737-0024;1033;3.143;3.621;0.429;14;>10.0;0.00117;1.267;
IBM J RES DEV;0018-8646;2790;0.688;0.837;0.333;54;>10.0;0.00208;0.428;
IEEE ACM T NETWORK;1063-6692;4787;1.811;2.375;0.291;148;7.6;0.01550;1.322;
IEEE ANN HIST COMPUT;1058-6180;194;0.217;0.455;0.238;21;>10.0;0.00037;0.215;
IEEE MULTIMEDIA;1070-986X;592;1.694;1.467;0.290;31;7.4;0.00148;0.566;
IEEE T EVOLUT COMPUT;1089-778X;6769;3.654;6.290;0.586;58;>10.0;0.00832;1.879;
IEEE T INF FOREN SEC;1556-6013;2376;2.408;2.818;0.278;144;3.8;0.00957;0.982;
IEEE T NEUR NET LEAR;2162-237X;11936;4.291;4.720;0.637;190;8.6;0.01965;1.378;
IEEE T PARALL DISTR;1045-9219;3931;2.170;2.271;0.312;304;5.3;0.01222;0.859;
IET COMPUT DIGIT TEC;1751-8601;146;0.356;0.408;0.067;30;5.5;0.00058;0.173;
IET INFORM SECUR;1751-8709;190;0.753;0.942;0.216;37;3.5;0.00079;0.320;
IMAGE VISION COMPUT;0262-8856;4051;1.587;2.384;0.221;95;8.7;0.00803;0.924;
INFORM COMPUT;0890-5401;3689;0.830;0.801;0.129;62;>10.0;0.00347;0.612;
INFORM FUSION;1566-2535;1402;3.681;3.459;1.493;75;6.4;0.00191;0.766;
INFORM SYST FRONT;1387-3326;621;1.077;1.184;0.525;59;5.5;0.00143;0.351;
INT J BIO-INSPIR COM;1758-0366;467;3.969;2.778;0.032;31;2.9;0.00099;0.372;
INT J FOUND COMPUT S;0129-0541;435;0.296;0.392;0.000;48;7.8;0.00162;0.247;
INT J GEN SYST;0308-1079;945;1.637;1.346;0.468;47;8.8;0.00108;0.331;
INT J HIGH PERFORM C;1094-3420;688;1.477;1.329;0.276;29;8.5;0.00152;0.572;
INT J INF SECUR;1615-5262;272;0.963;0.919;0.206;34;6.2;0.00059;0.273;
INT J PARALLEL PROG;0885-7458;209;0.491;0.618;0.065;46;8.3;0.00063;0.289;
INT J QUANTUM INF;0219-7499;781;0.877;0.854;0.121;66;5.2;0.00263;0.310;
INT J SYST SCI;0020-7721;2875;2.100;1.859;0.312;205;5.2;0.00547;0.429;
INT J UNCONV COMPUT;1548-7199;142;0.911;0.728;0.458;24;3.5;0.00041;0.192;
J ACM;0004-5411;4883;1.394;3.224;0.351;37;>10.0;0.00822;3.318;
J APPL LOGIC;1570-8683;162;0.576;0.752;0.160;25;5.2;0.00104;0.506;
J CELL AUTOM;1557-5969;96;0.698;0.527;0.111;27;;0.00010;0.050;
J COMPLEXITY;0885-064X;849;1.500;1.939;0.381;42;7.7;0.00346;1.330;
J COMPUT ANAL APPL;1521-1398;366;0.481;0.501;0.164;165;3.3;0.00067;0.080;
J COMPUT SCI-NETH;1877-7503;324;1.231;1.760;0.180;89;3.1;0.00183;0.657;
J COMPUT SYS SC INT+;1064-2307;287;0.483;0.341;0.112;80;5.6;0.00037;0.057;
J COMPUT SYST SCI;0022-0000;2824;1.138;1.307;0.412;97;>10.0;0.00527;0.926;
J CRYPTOL;0933-2790;908;1.021;1.688;0.174;23;>10.0;0.00120;0.677;
J GRID COMPUT;1570-7873;399;1.507;1.585;0.129;31;4.6;0.00092;0.366;
J HEURISTICS;1381-1231;876;1.135;1.940;0.192;26;8.5;0.00221;0.833;
J LOG ALGEBR METHODS;2352-2208;1;;;0.045;22;;0.00000;;
J LOGIC ALGEBR PROGR;1567-8326;204;0.769;0.776;0.000;4;5.3;0.00095;0.394;
J LOGIC COMPUT;0955-792X;534;0.512;0.671;0.083;48;9.1;0.00267;0.589;
J MULT-VALUED LOG S;1542-3980;225;0.346;0.741;0.105;57;3.9;0.00073;0.199;
J PARALLEL DISTR COM;0743-7315;1735;1.179;1.213;0.192;120;6.8;0.00453;0.474;
J SUPERCOMPUT;0920-8542;912;0.858;0.884;0.168;279;2.9;0.00284;0.242;
J SYMB COMPUT;0747-7171;1342;0.780;0.694;0.382;34;>10.0;0.00522;0.751;
J SYST SOFTWARE;0164-1212;2721;1.352;1.485;0.153;157;5.5;0.00838;0.537;
J UNIVERS COMPUT SCI;0948-695X;756;0.466;0.566;0.084;95;5.8;0.00208;0.193;
J WEB ENG;1540-9589;71;0.361;0.407;0.038;26;;0.00019;0.150;
LOG METH COMPUT SCI;1860-5974;255;0.357;0.472;0.033;61;4.5;0.00272;0.502;
MALAYS J COMPUT SCI;0127-9084;74;0.405;0.449;0.050;20;;0.00008;0.061;
MATH STRUCT COMP SCI;0960-1295;338;0.449;0.497;0.056;54;8.8;0.00161;0.538;
MICROPROCESS MICROSY;0141-9331;336;0.430;0.512;0.045;89;6.9;0.00096;0.205;
MULTIDIM SYST SIGN P;0923-6082;347;1.617;1.431;0.186;43;5.4;0.00067;0.342;
MULTIMED TOOLS APPL;1380-7501;1343;1.346;1.374;0.073;533;3.3;0.00416;0.336;
MULTIMEDIA SYST;0942-4962;393;0.619;0.832;0.068;44;8.7;0.00072;0.315;
NAT COMPUT;1567-7818;462;0.757;;0.050;40;5.9;0.00151;;
NEW GENERAT COMPUT;0288-3635;232;0.821;0.925;0.000;16;>10.0;0.00034;0.266;
PARALLEL COMPUT;0167-8191;1321;1.511;1.781;0.167;60;>10.0;0.00281;0.745;
PERFORM EVALUATION;0166-5316;1144;1.250;1.312;0.119;59;8.1;0.00360;0.728;
PROBL INFORM TRANSM+;0032-9460;505;0.597;0.468;0.074;27;>10.0;0.00084;0.339;
QUANTUM INF COMPUT;1533-7146;1335;1.393;1.465;0.474;76;7.4;0.00361;0.728;
