JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACAD EMERG MED;1069-6563;6317;2.006;2.282;0.718;174;7.7;0.01346;0.859;
AM J EMERG MED;0735-6757;4999;1.274;1.452;0.333;421;6.4;0.01191;0.492;
ANN EMERG MED;0196-0644;9881;4.695;4.426;1.122;123;9.6;0.01776;1.685;
CAN J EMERG MED;1481-8035;752;1.163;1.285;0.320;50;6.6;0.00184;0.486;
EMERG MED AUSTRALAS;1742-6731;851;1.296;1.254;0.396;96;4.8;0.00225;0.364;
EMERG MED CLIN N AM;0733-8627;775;0.778;0.827;0.442;52;8.6;0.00100;0.253;
EMERG MED J;1472-0205;3483;1.843;1.757;0.534;193;6.0;0.00904;0.609;
EMERGENCIAS;1137-6821;607;2.895;1.742;0.625;56;2.8;0.00099;0.234;
EUR J EMERG MED;0969-9546;998;1.583;1.370;0.358;81;5.7;0.00230;0.404;
EUR J TRAUMA EMERG S;1863-9933;239;0.346;0.414;0.131;84;4.4;0.00085;0.128;
HONG KONG J EMERG ME;1024-9079;112;0.212;0.217;0.017;59;4.7;0.00025;0.047;
INJURY;0020-1383;9041;2.137;2.485;0.404;396;6.8;0.01792;0.728;
J EMERG MED;0736-4679;3544;0.969;1.130;0.180;317;6.1;0.00941;0.394;
J EMERG NURS;0099-1767;756;0.787;0.804;0.193;88;7.4;0.00121;0.208;
NOTARZT;0177-2309;56;0.292;0.244;0.000;24;;0.00006;0.028;
NOTFALL RETTUNGSMED;1434-6222;326;0.472;0.470;0.133;90;4.6;0.00027;0.043;
PEDIATR EMERG CARE;0749-5161;2620;1.046;1.025;0.080;188;6.4;0.00690;0.369;
PREHOSP EMERG CARE;1090-3127;1446;1.763;1.843;0.400;75;6.2;0.00335;0.582;
RESUSCITATION;0300-9572;9265;4.167;4.066;1.109;267;5.1;0.02153;1.101;
SCAND J TRAUMA RESUS;1757-7241;865;2.025;2.339;0.351;74;3.4;0.00430;0.799;
SIGNA VITAE;1334-5605;30;0.200;0.144;0.000;26;;0.00006;0.030;
ULUS TRAVMA ACIL CER;1306-696X;380;0.269;0.441;0.023;88;4.7;0.00114;0.124;
UNFALLCHIRURG;0177-5537;1374;0.649;0.673;0.149;134;9.3;0.00150;0.152;
WORLD J EMERG SURG;1749-7922;412;1.473;;0.293;58;3.9;0.00129;;

