JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA OBSTET GYN SCAN;0001-6349;6693;2.426;2.287;0.528;163;8.5;0.01175;0.738;
AM J OBSTET GYNECOL;0002-9378;33839;4.704;4.142;1.005;364;>10.0;0.04772;1.495;
AM J PERINAT;0735-1631;2159;1.905;1.589;0.350;163;6.4;0.00579;0.597;
ARCH GYNECOL OBSTET;0932-0067;3987;1.364;1.300;0.416;351;4.1;0.01201;0.383;
AUST NZ J OBSTET GYN;0004-8666;2334;1.510;1.640;0.481;104;7.3;0.00434;0.497;
BEST PRACT RES CL OB;1521-6934;1871;1.919;2.361;0.448;96;6.6;0.00384;0.740;
BIRTH-ISS PERINAT C;0730-7659;1796;1.264;2.613;0.295;44;8.6;0.00241;0.761;
BJOG-INT J OBSTET GY;1470-0328;13139;3.728;3.840;1.386;223;8.9;0.02322;1.406;
BMC PREGNANCY CHILDB;1471-2393;2570;2.190;2.925;0.252;417;3.7;0.00914;0.844;
BMC WOMENS HEALTH;1472-6874;668;1.495;;0.178;152;4.4;0.00221;;
BREAST;0960-9776;2825;2.381;2.203;0.496;125;4.8;0.00819;0.737;
BREAST CANCER-TOKYO;1340-6868;926;1.585;1.490;0.346;107;6.5;0.00173;0.424;
BREAST CARE;1661-3791;259;0.627;0.687;0.176;51;3.7;0.00082;0.178;
BREAST J;1075-122X;1883;1.411;1.625;0.260;77;6.6;0.00443;0.548;
BREASTFEED MED;1556-8253;644;1.248;1.543;0.607;84;3.6;0.00206;0.443;
CLIMACTERIC;1369-7137;1497;2.264;2.183;0.521;96;4.9;0.00368;0.567;
CLIN EXP OBSTET GYN;0390-6663;693;0.424;0.571;0.068;176;6.1;0.00117;0.127;
CLIN OBSTET GYNECOL;0009-9201;2197;1.765;1.953;0.075;67;8.2;0.00435;0.713;
CLIN PERINATOL;0095-5108;1629;2.441;2.773;0.242;62;6.5;0.00408;0.972;
CONTRACEPTION;0010-7824;5673;2.335;2.847;0.912;159;6.8;0.01229;0.919;
CURR OPIN OBSTET GYN;1040-872X;1823;2.067;2.206;0.243;74;6.6;0.00406;0.713;
EARLY HUM DEV;0378-3782;4292;1.785;2.172;0.222;189;7.3;0.00880;0.678;
EUR J CONTRACEP REPR;1362-5187;697;1.394;1.393;0.167;54;5.6;0.00173;0.416;
EUR J GYNAECOL ONCOL;0392-2936;1197;0.611;0.595;0.054;147;7.3;0.00180;0.142;
EUR J OBSTET GYN R B;0301-2115;7460;1.695;1.974;0.303;442;7.2;0.01439;0.594;
FEMALE PELVIC MED RE;2151-8378;299;1.093;;0.247;73;2.6;0.00170;;
FERTIL STERIL;0015-0282;31236;4.590;4.255;0.965;490;6.9;0.05769;1.165;
FETAL DIAGN THER;1015-3837;1730;2.939;2.045;0.628;86;4.8;0.00534;0.721;
GEBURTSH FRAUENHEILK;0016-5751;558;0.936;0.550;0.171;70;6.0;0.00054;0.069;
GINEKOL POL;0017-0011;553;0.601;0.487;0.075;133;4.5;0.00083;0.078;
GYNECOL ENDOCRINOL;0951-3590;2359;1.333;1.372;0.307;215;5.1;0.00528;0.351;
GYNECOL OBSTET FERTI;1297-9589;708;0.522;0.554;0.140;143;6.4;0.00109;0.124;
GYNECOL OBSTET INVES;0378-7346;1994;1.696;1.526;0.211;90;9.1;0.00278;0.389;
GYNECOL ONCOL;0090-8258;19159;3.774;3.843;0.797;408;7.2;0.03307;1.065;
HUM FERTIL;1464-7273;426;0.909;1.190;0.244;41;6.3;0.00084;0.335;
HUM REPROD;0268-1161;28113;4.569;4.729;0.990;304;8.9;0.04178;1.363;
HUM REPROD UPDATE;1355-4786;6625;10.165;10.818;2.967;60;7.0;0.01444;3.681;
HYPERTENS PREGNANCY;1064-1955;832;1.407;1.326;0.298;47;8.1;0.00157;0.435;
INT J GYNECOL CANCER;1048-891X;5033;1.958;1.982;0.439;255;5.7;0.01143;0.551;
INT J GYNECOL OBSTET;0020-7292;6242;1.537;2.041;0.431;248;7.4;0.01262;0.647;
INT J GYNECOL PATHOL;0277-1691;2233;1.665;1.655;0.207;87;9.0;0.00332;0.488;
INT J OBSTET ANESTH;0959-289X;905;1.598;1.418;0.472;53;5.9;0.00191;0.393;
INT UROGYNECOL J;0937-3462;4306;1.961;1.953;0.447;244;5.0;0.01072;0.552;
J ASSIST REPROD GEN;1058-0468;2644;1.718;1.898;0.330;206;5.3;0.00625;0.540;
J FAM PLAN REPROD H;1471-1893;467;1.600;1.582;1.395;38;4.9;0.00114;0.509;
J GYNECOL OBST BIO R;0368-2315;1016;0.563;0.518;0.661;115;7.9;0.00106;0.106;
J GYNECOL ONCOL;2005-0380;511;2.494;1.880;0.864;44;3.0;0.00173;0.484;
J HUM LACT;0890-3344;1096;1.985;1.838;0.293;58;7.3;0.00175;0.459;
J LOW GENIT TRACT DI;1089-2591;835;1.994;1.618;0.449;78;3.8;0.00268;0.511;
J MATERN-FETAL NEO M;1476-7058;3952;1.367;1.401;0.288;385;3.8;0.01319;0.438;
J MINIM INVAS GYN;1553-4650;2296;1.830;1.941;0.704;159;4.8;0.00599;0.544;
J OBSTET GYNAECOL;0144-3615;1723;0.551;0.602;0.103;195;6.6;0.00383;0.196;
J OBSTET GYNAECOL RE;1341-8076;2110;1.072;1.070;0.257;335;4.5;0.00562;0.298;
J PEDIATR ADOL GYNEC;1083-3188;1060;1.683;1.747;0.307;75;5.2;0.00300;0.562;
J PERINAT MED;0300-5577;1890;1.358;1.597;0.283;92;6.9;0.00431;0.547;
J PERINAT NEONAT NUR;0893-2190;492;1.100;1.083;0.219;32;7.5;0.00073;0.273;
J PERINATOL;0743-8346;4315;2.072;2.207;0.446;184;6.8;0.00943;0.743;
J PSYCHOSOM OBST GYN;0167-482X;983;1.880;1.788;0.050;20;9.3;0.00127;0.528;
J REPROD MED;0024-7758;2564;0.697;0.726;0.046;108;>10.0;0.00171;0.229;
J WOMENS HEALTH;1540-9996;3601;2.050;2.183;0.395;124;5.3;0.01196;0.781;
JOGNN-J OBST GYN NEO;0884-2175;1761;1.024;1.458;0.213;80;8.0;0.00267;0.430;
MATURITAS;0378-5122;4761;2.942;2.973;0.672;177;5.3;0.01136;0.834;
MENOPAUSE;1072-3714;4260;3.361;3.159;1.250;156;4.8;0.01061;0.851;
MOL HUM REPROD;1360-9947;5078;3.747;3.956;0.766;111;8.9;0.00807;1.240;
