JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM J HYPERTENS;0895-7061;8138;2.852;2.955;1.044;180;8.5;0.01340;0.934;
AM J PHYSIOL-HEART C;0363-6135;31933;3.838;3.881;0.765;357;9.1;0.04198;1.191;
ANGIOGENESIS;0969-6970;2224;4.876;4.702;1.377;61;5.6;0.00515;1.379;
ANGIOLOGY;0003-3197;2613;2.970;2.004;1.537;123;7.5;0.00319;0.425;
ANN VASC SURG;0890-5096;3016;1.170;1.095;0.238;416;6.9;0.00710;0.381;
ARTERIOSCL THROM VAS;1079-5642;32864;6.008;6.199;1.353;312;8.4;0.05888;2.114;
ATHEROSCLEROSIS;0021-9150;20913;3.994;4.013;0.869;489;5.9;0.04689;1.167;
ATHEROSCLEROSIS SUPP;1567-5688;685;2.293;2.376;1.000;5;9.1;0.00110;0.742;
BLOOD PRESS MONIT;1359-5237;1161;1.531;1.472;0.293;58;8.4;0.00165;0.413;
BLOOD PRESSURE;0803-7051;986;1.808;1.682;0.481;52;6.6;0.00190;0.453;
CEREBROVASC DIS;1015-9770;5770;3.754;3.451;0.371;105;6.3;0.01486;1.201;
CIRC RES;0009-7330;47773;11.019;10.965;3.439;246;8.8;0.08268;3.795;
CIRCULATION;0009-7322;155571;15.073;15.457;4.508;423;9.7;0.27925;6.333;
CLIN APPL THROMB-HEM;1076-0296;1343;2.392;1.552;0.368;117;4.0;0.00365;0.417;
CLIN EXP HYPERTENS;1064-1963;1306;1.234;1.174;0.312;93;8.1;0.00181;0.275;
CLIN HEMORHEOL MICRO;1386-0291;2007;2.242;2.096;0.402;117;5.4;0.00326;0.410;
CURR ATHEROSCLER REP;1523-3804;1642;3.417;2.911;0.607;84;4.4;0.00496;0.930;
CURR HYPERTENS REP;1522-6417;1759;3.435;3.140;0.516;93;4.4;0.00509;0.955;
CURR OPIN LIPIDOL;0957-9672;3864;5.656;5.659;1.250;64;6.6;0.00913;1.923;
CURR OPIN NEPHROL HY;1062-4821;2971;3.862;3.682;0.489;90;5.7;0.00783;1.197;
CURR VASC PHARMACOL;1570-1611;1565;2.966;2.960;0.901;91;3.7;0.00435;0.726;
DIABETES VASC DIS RE;1479-1641;929;2.829;2.728;0.255;47;4.6;0.00261;0.799;
EUR J VASC ENDOVASC;1078-5884;6832;2.490;2.976;0.654;162;6.6;0.01721;1.072;
HEART VESSELS;0910-8327;1461;2.065;1.785;0.456;114;4.8;0.00260;0.355;
HYPERTENS PREGNANCY;1064-1955;832;1.407;1.326;0.298;47;8.1;0.00157;0.435;
HYPERTENS RES;0916-9636;4430;2.658;2.608;0.597;134;5.9;0.00946;0.718;
HYPERTENSION;0194-911X;34018;6.499;7.041;1.828;355;8.4;0.05659;2.215;
INT ANGIOL;0392-9590;1027;0.833;0.992;0.083;72;8.2;0.00178;0.292;
INT J STROKE;1747-4930;1875;3.833;3.526;0.601;193;3.0;0.00900;1.349;
J AM SOC HYPERTENS;1933-1711;870;2.606;2.775;0.851;94;3.5;0.00330;0.916;
J ATHEROSCLER THROMB;1340-3478;2439;2.733;2.761;0.366;123;4.5;0.00642;0.705;
J CARDIOTHOR VASC AN;1053-0770;2912;1.463;1.549;0.271;258;5.9;0.00614;0.429;
J CARDIOVASC SURG;0021-9509;1875;1.461;1.413;0.517;120;8.1;0.00433;0.526;
J CLIN HYPERTENS;1524-6175;2302;2.851;2.388;1.125;112;4.0;0.00644;0.743;
J ENDOVASC THER;1526-6028;2772;3.353;2.949;0.966;87;5.9;0.00707;0.983;
J HUM HYPERTENS;0950-9240;3868;2.700;2.590;0.983;119;8.2;0.00655;0.805;
J HYPERTENS;0263-6352;15386;4.720;4.110;1.269;260;7.6;0.02811;1.277;
J RENIN-ANGIO-ALDO S;1470-3203;883;2.400;2.180;0.347;72;3.9;0.00183;0.453;
J STROKE CEREBROVASC;1052-3057;2356;1.669;1.833;0.321;539;3.4;0.00864;0.673;
J THROMB HAEMOST;1538-7933;14764;5.720;5.593;0.987;233;5.6;0.04488;2.030;
J THROMB THROMBOLYS;0929-5305;1957;2.169;1.830;0.497;149;4.2;0.00622;0.573;
J VASC ACCESS;1129-7298;394;0.846;0.978;0.139;72;4.1;0.00111;0.253;
J VASC INTERV RADIOL;1051-0443;6732;2.409;2.355;0.479;234;7.1;0.01249;0.678;
J VASC RES;1018-1172;1671;2.901;2.655;0.189;37;8.0;0.00299;0.756;
J VASC SURG;0741-5214;20421;3.021;3.138;0.711;422;7.5;0.03829;0.968;
KIDNEY BLOOD PRESS R;1420-4096;1067;2.123;1.774;0.254;71;3.7;0.00262;0.433;
MICROCIRCULATION;1073-9688;2065;2.565;2.710;1.000;69;6.7;0.00432;0.866;
MICROVASC RES;0026-2862;3638;2.126;2.614;0.273;88;8.3;0.00616;0.724;
PERFUSION-UK;0267-6591;867;0.935;0.915;0.922;77;7.0;0.00149;0.274;
PHLEBOLOGY;0268-3555;936;1.774;1.828;0.214;117;4.9;0.00253;0.516;
SEMIN THROMB HEMOST;0094-6176;3607;3.876;3.573;2.320;97;5.7;0.00714;0.965;
SEMIN VASC SURG;0895-7967;601;1.379;1.722;;;6.0;0.00174;0.623;
SHOCK;1073-2322;6536;3.045;2.813;2.024;165;7.0;0.01035;0.753;
STROKE;0039-2499;58619;5.761;6.578;1.311;572;8.7;0.10295;2.140;
THROMB HAEMOSTASIS;0340-6245;16286;4.984;4.451;1.254;252;8.1;0.03189;1.488;
THROMB RES;0049-3848;8170;2.447;2.455;0.512;434;5.9;0.01962;0.770;
VASA;0301-1526;644;1.000;0.892;0.242;62;6.9;0.00136;0.280;
VASC ENDOVASC SURG;1538-5744;993;0.662;0.955;0.211;90;5.0;0.00322;0.340;
VASC MED;1358-863X;1225;1.785;1.899;0.235;51;7.5;0.00286;0.730;
VASCULAR;1708-5381;480;0.795;0.830;0.193;83;5.4;0.00135;0.261;

