JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA CARDIOL;0001-5385;866;0.653;0.629;0.129;85;6.9;0.00182;0.206;
ACTA CARDIOL SIN;1011-6842;125;0.331;0.351;0.053;75;3.7;0.00019;0.050;
AM HEART J;0002-8703;20060;4.463;4.395;0.797;232;8.8;0.04551;2.008;
AM J CARDIOL;0002-9149;35243;3.276;3.345;0.662;634;9.4;0.06237;1.296;
AM J CARDIOVASC DRUG;1175-3277;797;2.422;2.105;0.643;42;4.8;0.00218;0.653;
AM J PHYSIOL-HEART C;0363-6135;31933;3.838;3.881;0.765;357;9.1;0.04198;1.191;
ANADOLU KARDIYOL DER;1302-8723;631;0.927;0.751;0.435;124;3.7;0.00145;0.168;
ANN NONINVAS ELECTRO;1082-720X;854;1.131;1.148;0.416;77;6.6;0.00183;0.388;
ANN THORAC CARDIOVAS;1341-1098;863;0.718;0.774;0.055;219;6.2;0.00183;0.221;
ANN THORAC MED;1817-1737;370;1.803;1.526;0.241;58;3.7;0.00106;0.348;
ANN THORAC SURG;0003-4975;32052;3.849;4.104;0.811;586;8.6;0.06288;1.539;
ARCH CARDIOVASC DIS;1875-2136;792;2.140;;0.446;65;3.6;0.00372;;
ARQ BRAS CARDIOL;0066-782X;2042;1.021;1.127;0.234;141;5.6;0.00400;0.268;
BASIC RES CARDIOL;0300-8428;3516;5.414;4.943;0.804;46;5.1;0.00975;1.528;
BMC CARDIOVASC DISOR;1471-2261;1279;1.878;1.939;0.188;197;3.8;0.00433;0.617;
CAN J CARDIOL;0828-282X;3816;3.711;3.549;0.872;234;4.0;0.01253;1.241;
CARDIOL CLIN;0733-8651;811;1.031;1.166;0.306;49;9.1;0.00157;0.411;
CARDIOL J;1897-5593;702;1.062;1.241;0.418;91;3.7;0.00262;0.359;
CARDIOL REV;1061-5377;912;2.407;2.717;0.525;40;4.9;0.00286;0.878;
CARDIOL YOUNG;1047-9511;1521;0.835;0.976;0.087;184;6.7;0.00381;0.359;
CARDIOLOGY;0008-6312;2166;2.177;2.049;0.500;92;6.3;0.00535;0.687;
CARDIORENAL MED;1664-3828;184;1.762;1.956;0.194;31;2.6;0.00082;0.577;
CARDIOVASC DIABETOL;1475-2840;2813;4.015;3.659;0.830;159;2.9;0.00806;0.841;
CARDIOVASC DRUG THER;0920-3206;1670;3.189;2.954;0.345;55;6.7;0.00343;0.831;
CARDIOVASC INTER RAD;0174-1551;4000;2.071;1.906;0.459;207;5.7;0.00955;0.578;
CARDIOVASC J AFR;1995-1892;370;0.789;0.776;0.114;44;3.1;0.00127;0.208;
CARDIOVASC PATHOL;1054-8807;1430;2.000;2.132;0.422;64;6.6;0.00332;0.708;
CARDIOVASC RES;0008-6363;21783;5.940;5.992;1.424;210;7.9;0.03970;1.926;
CARDIOVASC THER;1755-5914;789;2.362;2.444;0.643;42;3.3;0.00321;0.726;
CARDIOVASC TOXICOL;1530-7905;724;1.721;1.790;0.361;36;6.3;0.00135;0.458;
CARDIOVASC ULTRASOUN;1476-7120;648;1.337;1.458;0.184;49;5.4;0.00195;0.488;
CATHETER CARDIO INTE;1522-1946;7122;2.107;2.050;0.776;362;5.7;0.02006;0.759;
CIRC J;1346-9843;8235;3.940;3.198;0.818;319;4.2;0.02174;0.806;
CIRC RES;0009-7330;47773;11.019;10.965;3.439;246;8.8;0.08268;3.795;
CIRC-ARRHYTHMIA ELEC;1941-3149;3666;4.678;5.627;0.985;137;3.5;0.02205;2.453;
CIRC-CARDIOVASC GENE;1942-325X;2153;4.631;5.268;0.781;105;3.7;0.01235;2.084;
CIRC-CARDIOVASC IMAG;1941-9651;2786;5.555;6.131;1.367;98;3.3;0.01759;2.688;
CIRC-CARDIOVASC INTE;1941-7640;2718;6.324;6.525;1.373;83;3.3;0.01763;2.930;
CIRC-CARDIOVASC QUAL;1941-7705;2725;5.906;5.923;0.890;109;3.4;0.01947;2.962;
CIRC-HEART FAIL;1941-3289;3540;5.867;6.407;1.559;111;3.3;0.02029;2.613;
CIRCULATION;0009-7322;155571;15.073;15.457;4.508;423;9.7;0.27925;6.333;
CLIN CARDIOL;0160-9289;3040;2.586;2.380;0.664;107;6.3;0.00765;0.810;
CLIN RES CARDIOL;1861-0684;2206;4.560;3.631;1.290;93;3.2;0.00765;1.011;
CONGENIT HEART DIS;1747-079X;732;1.076;1.235;0.229;105;3.9;0.00317;0.465;
CORONARY ARTERY DIS;0954-6928;1519;1.497;1.362;0.436;94;7.1;0.00296;0.438;
CURR CARDIOL REP;1523-3782;942;1.925;;0.246;114;3.5;0.00364;;
CURR OPIN CARDIOL;0268-4705;1939;2.696;2.387;0.732;82;5.5;0.00579;0.883;
CURR PROB CARDIOLOGY;0146-2806;465;3.000;3.050;0.273;11;7.3;0.00110;1.157;
ECHOCARDIOGR-J CARD;0742-2822;2476;1.254;1.244;0.300;257;5.0;0.00675;0.386;
EUR HEART J;0195-668X;38544;15.203;13.652;3.889;289;5.4;0.12489;5.387;
EUR HEART J SUPPL;1520-765X;276;1.000;0.819;0.068;44;9.0;0.00195;1.709;
EUR HEART J-CARD IMG;2047-2404;1211;4.105;4.124;0.904;157;1.8;0.00655;1.599;
EUR J CARDIO-THORAC;1010-7940;12604;3.304;2.851;1.081;308;6.6;0.03310;1.087;
EUR J CARDIOVASC NUR;1474-5151;854;1.876;1.894;0.589;56;5.7;0.00171;0.476;
EUR J HEART FAIL;1388-9842;7181;6.526;5.631;0.861;151;4.7;0.02354;1.872;
EUR J PREV CARDIOL;2047-4873;1080;3.319;3.380;0.703;175;2.1;0.00479;1.092;
EUROINTERVENTION;1774-024X;3322;3.769;3.329;1.441;161;3.2;0.01598;1.317;
EUROPACE;1099-5129;5716;3.670;2.830;1.113;238;4.0;0.02241;1.014;
HEART;1355-6037;14939;5.595;4.782;2.000;225;6.7;0.04171;1.974;
HEART FAIL CLIN;1551-7136;506;1.844;;0.733;60;3.5;0.00200;;
HEART FAIL REV;1382-4147;1712;3.787;3.571;0.985;67;4.6;0.00492;1.165;
HEART LUNG;0147-9563;1710;1.290;1.521;0.309;110;>10.0;0.00244;0.435;
HEART LUNG CIRC;1443-9506;1214;1.438;1.441;0.348;210;3.9;0.00405;0.474;
HEART RHYTHM;1547-5271;8290;5.076;4.511;1.051;292;4.3;0.03565;1.834;
HEART SURG FORUM;1098-3511;531;0.392;0.464;0.058;69;7.7;0.00127;0.194;
HEART VESSELS;0910-8327;1461;2.065;1.785;0.456;114;4.8;0.00260;0.355;
HELL J CARDIOL;1109-9666;519;1.229;1.127;0.085;59;4.5;0.00141;0.273;
HERZ;0340-9937;796;0.690;0.710;0.109;137;8.4;0.00147;0.212;
INT HEART J;1349-2365;727;1.073;1.168;0.224;98;4.8;0.00205;0.333;
INT J CARDIOL;0167-5273;17992;4.036;4.093;1.991;553;3.5;0.04891;1.140;
INT J CARDIOVAS IMAG;1569-5794;2041;1.810;1.807;0.351;188;3.5;0.00815;0.623;
INTERACT CARDIOV TH;1569-9293;3556;1.155;;0.646;285;4.0;0.01466;;
J AM COLL CARDIOL;0735-1097;80926;16.503;14.987;4.670;433;6.9;0.21275;6.022;
