JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV GENET;0065-2660;1371;6.760;5.350;0.312;16;6.9;0.00338;2.127;
AM J HUM GENET;0002-9297;34816;10.931;11.174;2.020;148;8.8;0.08160;5.381;
AM J MED GENET A;1552-4825;9420;2.159;2.406;0.361;435;5.8;0.02621;0.839;
AM J MED GENET B;1552-4841;4397;3.416;3.311;0.635;74;6.2;0.01081;1.127;
AM J MED GENET C;1552-4868;1373;3.906;3.590;1.167;36;5.9;0.00408;1.404;
ANIM GENET;0268-9146;3364;2.207;2.611;0.351;131;6.4;0.00610;0.645;
ANN HUM GENET;0003-4800;2073;2.211;2.092;0.372;43;9.7;0.00335;0.723;
ANNU REV GENET;0066-4197;7474;15.724;21.669;0.160;25;8.3;0.02056;10.699;
ANNU REV GENOM HUM G;1527-8204;2516;8.957;10.660;0.864;22;6.3;0.00861;5.117;
BALK J MED GENET;1311-0160;42;0.500;0.322;0.000;10;;0.00013;0.069;
BEHAV GENET;0001-8244;3465;3.210;2.922;0.491;53;>10.0;0.00623;1.181;
BIOCHEM GENET;0006-2928;999;0.865;0.872;0.122;41;7.8;0.00150;0.225;
BIOL SEX DIFFER;2042-6410;321;4.837;;0.389;18;2.4;0.00161;;
BIOTECHNOL GENET ENG;0264-8725;405;1.391;1.600;0.000;5;>10.0;0.00045;0.518;
BIRTH DEFECTS RES B;1542-9733;753;0.768;1.410;0.436;39;6.3;0.00145;0.390;
BMC EVOL BIOL;1471-2148;10569;3.368;3.847;0.504;264;5.2;0.03683;1.470;
BMC GENET;1471-2156;2625;2.397;2.896;0.338;160;4.9;0.00756;0.898;
BMC GENOMICS;1471-2164;25105;3.986;4.360;0.512;1234;4.3;0.08645;1.346;
BMC MED GENET;1471-2350;2623;2.083;2.409;0.304;138;4.6;0.00843;0.712;
BMC MED GENOMICS;1755-8794;1603;2.873;3.496;0.567;90;3.8;0.00745;1.232;
BRIEF FUNCT GENOMICS;2041-2649;1241;3.670;3.565;0.929;42;4.5;0.00425;1.201;
CANCER GENE THER;0929-1903;2501;2.416;2.328;0.597;67;6.7;0.00460;0.616;
CANCER GENET-NY;2210-7762;630;2.975;2.941;0.480;75;2.7;0.00312;0.972;
CANCER GENOM PROTEOM;1109-6535;541;2.700;;0.423;26;4.3;0.00160;;
CARYOLOGIA;0008-7114;754;0.740;0.914;0.143;42;>10.0;0.00065;0.169;
CELL REPROGRAM;2152-4971;520;1.788;2.147;0.188;48;3.4;0.00219;0.580;
CHROMOSOMA;0009-5915;3334;4.602;3.726;0.667;48;>10.0;0.00626;1.590;
CHROMOSOME RES;0967-3849;2608;2.478;2.685;0.684;38;7.6;0.00633;1.123;
CIRC-CARDIOVASC GENE;1942-325X;2153;4.631;5.268;0.781;105;3.7;0.01235;2.084;
CLIN DYSMORPHOL;0962-8827;521;0.608;0.577;0.100;40;9.9;0.00094;0.216;
CLIN GENET;0009-9163;5909;3.931;3.589;0.861;158;7.0;0.01507;1.360;
COMP BIOCHEM PHYS D;1744-117X;640;2.055;2.107;0.385;26;4.6;0.00146;0.492;
COMP CYTOGENET;1993-0771;165;1.210;1.099;0.111;27;3.1;0.00058;0.280;
COMP FUNCT GENOM;1531-6912;453;2.032;1.825;;0;7.2;0.00103;0.567;
CONSERV GENET;1566-0621;3835;2.185;1.864;0.385;117;6.2;0.00891;0.579;
CONSERV GENET RESOUR;1877-7252;965;1.172;0.952;0.101;278;2.7;0.00451;0.289;
CRIT REV EUKAR GENE;1045-4403;795;1.571;3.058;0.240;25;6.3;0.00187;0.980;
CURR GENE THER;1566-5232;1176;2.542;2.948;0.333;42;5.5;0.00272;0.815;
CURR GENET;0172-8083;2770;2.682;2.237;0.333;33;>10.0;0.00200;0.712;
CURR GENOMICS;1389-2029;1301;2.342;3.257;0.167;42;4.4;0.00467;1.007;
CURR OPIN GENET DEV;0959-437X;8084;7.574;7.319;0.990;101;7.4;0.02658;3.736;
CYTOGENET GENOME RES;1424-8581;2909;1.561;1.764;0.390;82;7.9;0.00431;0.534;
CYTOL GENET+;0095-4527;195;0.379;0.350;0.018;55;5.9;0.00029;0.066;
CYTOLOGIA;0011-4545;822;0.205;0.425;0.046;65;>10.0;0.00040;0.085;
DIS MARKERS;0278-0240;1580;1.562;1.996;0.240;146;4.9;0.00370;0.499;
DNA CELL BIOL;1044-5498;3000;2.055;2.089;0.327;104;7.2;0.00462;0.479;
DNA REPAIR;1568-7864;5067;3.111;3.455;0.898;147;6.4;0.01456;1.437;
DNA RES;1340-2838;2456;5.477;5.707;1.143;56;6.4;0.00494;1.629;
ENVIRON MOL MUTAGEN;0893-6692;3214;2.630;2.938;0.743;70;9.0;0.00482;0.818;
EPIGENET CHROMATIN;1756-8935;603;5.333;4.630;0.684;38;2.6;0.00444;2.350;
EPIGENETICS-US;1559-2294;3802;4.780;5.081;0.876;169;3.3;0.01745;1.752;
EPIGENOMICS-UK;1750-1911;1076;4.649;4.935;0.366;41;3.3;0.00511;1.497;
EUR J HUM GENET;1018-4813;8090;4.349;3.939;1.498;219;5.4;0.02518;1.489;
EUR J MED GENET;1769-7212;1274;1.466;1.592;0.627;110;4.1;0.00524;0.585;
EVOL DEV;1520-541X;2056;2.716;2.957;0.657;35;7.2;0.00532;1.319;
EVOL ECOL;0269-7653;3443;2.517;2.553;0.479;73;>10.0;0.00668;0.973;
EVOL ECOL RES;1522-0613;1812;0.896;1.089;0.000;21;9.8;0.00214;0.427;
EVOLUTION;0014-3820;32858;4.612;5.251;1.066;287;>10.0;0.05052;2.208;
FAM CANCER;1389-9600;1185;1.977;1.792;0.354;79;4.4;0.00478;0.689;
FORENSIC SCI INT-GEN;1872-4973;2388;4.604;4.028;0.660;162;3.2;0.00480;0.646;
FUNCT INTEGR GENOMIC;1438-793X;1398;2.479;3.148;0.516;64;5.4;0.00308;0.798;
FUNGAL GENET BIOL;1087-1845;4553;2.587;3.227;0.731;119;6.7;0.00806;0.902;
G3-GENES GENOM GENET;2160-1836;1674;3.198;3.508;0.598;234;2.1;0.00976;1.407;
GENE;0378-1119;21526;2.138;2.185;0.619;921;>10.0;0.02559;0.613;
GENE CHROMOSOME CANC;1045-2257;5367;4.041;3.894;0.979;95;7.5;0.01134;1.374;
GENE DEV;0890-9369;59511;10.798;12.305;1.925;226;10.0;0.12800;6.506;
GENE EXPR PATTERNS;1567-133X;1553;1.380;1.872;0.500;44;7.8;0.00328;0.736;
GENE EXPRESSION;1052-2166;360;0.733;1.667;0.400;5;>10.0;0.00030;0.525;
GENE THER;0969-7128;7694;3.104;3.107;0.613;124;8.9;0.01069;0.926;
GENES CELLS;1356-9597;4005;2.805;2.802;0.420;69;8.7;0.00851;1.153;
GENES GENET SYST;1341-7568;754;0.930;1.294;1.176;17;8.1;0.00128;0.417;
GENES GENOM;1976-9571;278;0.596;0.645;0.105;86;3.5;0.00094;0.152;
GENES IMMUN;1466-4879;3079;2.913;3.113;0.533;75;7.2;0.00691;1.066;
GENES NUTR;1555-8932;944;2.794;3.371;0.534;73;3.7;0.00273;0.819;
GENES-BASEL;2073-4425;252;1.151;1.394;0.492;59;3.2;0.00126;0.495;
GENESIS;1526-954X;3810;2.018;2.406;0.451;91;8.8;0.00814;1.184;
GENET COUNSEL;1015-8146;358;0.444;0.405;0.060;50;10.0;0.00064;0.164;
GENET EPIDEMIOL;0741-0395;2943;2.597;3.289;0.529;85;5.7;0.01152;1.590;
GENET MED;1098-3600;5496;7.329;6.397;1.426;122;4.1;0.02533;2.829;
GENET MOL BIOL;1415-4757;1660;1.202;1.107;0.119;84;7.0;0.00276;0.295;
GENET MOL RES;1676-5680;2613;0.775;0.972;0.098;1002;3.6;0.00686;0.214;
