JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACCREDIT QUAL ASSUR;0949-1775;763;0.966;0.950;0.163;49;7.4;0.00101;0.200;
AM LAB;0044-7749;229;0.092;0.094;0.030;66;9.5;0.00014;0.026;
APPL SPECTROSC;0003-7028;7364;1.875;1.925;0.343;169;>10.0;0.00766;0.518;
APPL SPECTROSC REV;0570-4928;1131;4.271;3.956;1.259;27;6.8;0.00187;1.031;
AUTOMAT REM CONTR+;0005-1179;960;0.266;0.288;0.083;193;>10.0;0.00170;0.108;
CHEMOMETR INTELL LAB;0169-7439;6189;2.321;2.770;0.459;183;>10.0;0.00756;0.726;
CONCEPT MAGN RESON B;1552-5031;259;0.690;0.717;0.286;7;7.5;0.00058;0.371;
DISPLAYS;0141-9382;768;1.033;1.010;0.139;36;8.8;0.00076;0.241;
FLOW MEAS INSTRUM;0955-5986;1103;1.040;1.229;0.149;94;7.7;0.00162;0.296;
IEEE INSTRU MEAS MAG;1094-6969;310;0.538;0.647;0.125;40;6.8;0.00061;0.207;
IEEE SENS J;1530-437X;6154;1.762;1.901;0.326;534;4.1;0.01837;0.564;
IEEE T IND ELECTRON;0278-0046;27141;6.498;6.498;1.659;694;4.7;0.06333;1.600;
IEEE T INSTRUM MEAS;0018-9456;7576;1.790;1.707;0.366;328;6.5;0.01476;0.460;
IET CONTROL THEORY A;1751-8644;3303;2.048;2.337;0.183;240;3.9;0.01231;0.673;
INFRARED PHYS TECHN;1350-4495;1957;1.550;1.492;0.332;214;7.8;0.00237;0.310;
INSIGHT;1354-2575;572;0.535;0.562;0.058;69;8.5;0.00105;0.191;
INSTRUM EXP TECH+;0020-4412;678;0.331;0.310;0.054;130;8.5;0.00131;0.112;
INSTRUM SCI TECHNOL;1073-9149;241;0.539;0.457;0.189;53;6.5;0.00041;0.116;
ISA T;0019-0578;1691;2.984;2.815;0.254;201;4.2;0.00274;0.456;
J CHEMOMETR;0886-9383;3151;1.500;2.165;0.345;84;>10.0;0.00361;0.695;
J DYN SYST-T ASME;0022-0434;2874;0.978;1.078;0.071;169;>10.0;0.00367;0.401;
J GUID CONTROL DYNAM;0731-5090;5814;1.291;1.557;0.208;207;>10.0;0.00766;0.517;
J INSTRUM;1748-0221;3857;1.399;1.287;0.311;675;3.1;0.01566;0.483;
J MICROMECH MICROENG;0960-1317;8862;1.731;1.906;0.278;299;6.7;0.01828;0.576;
J RES NATL INST STAN;1044-677X;1981;1.125;1.472;0.000;12;>10.0;0.00123;0.630;
J SENSORS;1687-725X;364;1.182;;0.015;65;5.1;0.00132;;
J SYNCHROTRON RADIAT;0909-0495;4613;2.794;2.667;0.915;176;8.9;0.01072;1.060;
J X-RAY SCI TECHNOL;0895-3996;467;1.398;1.304;0.233;60;4.9;0.00082;0.270;
MAPAN-J METROL SOC I;0970-3950;160;0.786;0.773;0.176;34;3.9;0.00020;0.081;
MEAS CONTROL-UK;0020-2940;189;0.517;0.436;0.036;28;7.8;0.00011;0.044;
MEAS SCI REV;1335-8871;269;0.989;0.832;0.163;49;4.3;0.00053;0.172;
MEAS SCI TECHNOL;0957-0233;9613;1.433;1.534;0.302;447;7.9;0.01783;0.499;
MEAS TECH+;0543-1972;535;0.282;0.234;0.065;247;5.8;0.00056;0.032;
MEASUREMENT;0263-2241;3037;1.484;1.424;0.415;547;3.3;0.00773;0.341;
METROL MEAS SYST;0860-8229;332;0.925;0.947;0.133;60;3.4;0.00109;0.226;
METROLOGIA;0026-1394;2756;2.041;1.978;0.664;107;7.7;0.00563;0.661;
MICROFLUID NANOFLUID;1613-4982;3441;2.528;2.764;0.525;200;4.3;0.01135;0.811;
MICROMACHINES-BASEL;2072-666X;210;1.269;1.627;0.344;90;2.6;0.00084;0.482;
NUCL INSTRUM METH A;0168-9002;23666;1.216;1.165;0.387;1030;8.8;0.04550;0.415;
NUCL INSTRUM METH B;0168-583X;15706;1.124;1.226;0.254;619;9.2;0.02368;0.407;
PRECIS ENG;0141-6359;1922;1.517;1.856;0.345;110;7.2;0.00411;0.622;
QUANT INFR THERM J;1768-6733;110;1.071;0.959;0.067;15;4.4;0.00034;0.297;
REV SCI INSTRUM;0034-6748;26103;1.614;1.618;0.319;1528;9.2;0.04682;0.586;
ROM J INF SCI TECH;1453-8245;105;0.304;0.317;0.000;8;6.7;0.00022;0.099;
SCANNING;0161-0457;1014;1.891;1.777;0.127;79;7.2;0.00161;0.442;
SENSOR ACTUAT A-PHYS;0924-4247;13143;1.903;2.052;0.408;414;7.9;0.01879;0.566;
SENSOR ACTUAT B-CHEM;0925-4005;41690;4.097;4.286;1.192;1507;5.5;0.05774;0.754;
SENSOR MATER;0914-4935;201;0.450;0.432;0.031;65;6.4;0.00027;0.077;
SENSOR REV;0260-2288;371;0.740;0.725;0.255;51;7.6;0.00057;0.191;
SENSORS-BASEL;1424-8220;12379;2.245;2.474;0.363;1256;3.9;0.03401;0.566;
SMART MATER STRUCT;0964-1726;10169;2.502;2.735;0.411;453;6.2;0.02074;0.745;
SMART STRUCT SYST;1738-1584;568;1.368;1.352;0.265;117;3.9;0.00141;0.298;
STRUCT CONTROL HLTH;1545-2255;1128;2.133;2.309;0.369;84;4.8;0.00341;0.738;
STRUCT HEALTH MONIT;1475-9217;1267;2.663;3.077;0.208;48;5.4;0.00354;1.014;
T I MEAS CONTROL;0142-3312;557;0.962;1.109;0.116;112;4.5;0.00137;0.283;
TM-TECH MESS;0171-8096;130;0.123;0.123;0.058;69;8.9;0.00014;0.026;

