JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ETHOL;0873-9749;279;1.000;1.039;0.370;27;7.4;0.00058;0.356;
ADV STUD BEHAV;0065-3454;1188;2.571;4.280;0.625;8;>10.0;0.00134;1.684;
AGGRESSIVE BEHAV;0096-140X;2357;2.275;3.077;0.240;50;8.8;0.00422;1.209;
ANIM BEHAV;0003-3472;23456;3.137;3.423;0.592;311;>10.0;0.02971;1.151;
ANIM COGN;1435-9448;2560;2.582;2.903;0.580;131;5.5;0.00685;0.931;
APPETITE;0195-6663;8728;2.691;3.323;0.488;330;6.1;0.01734;0.879;
APPL ANIM BEHAV SCI;0168-1591;6948;1.691;2.225;0.291;151;9.8;0.00709;0.571;
AUTISM RES;1939-3792;1209;4.330;4.822;0.318;66;3.9;0.00554;1.679;
BEHAV BRAIN FUNCT;1744-9081;1303;1.972;2.684;0.133;45;5.2;0.00363;0.810;
BEHAV BRAIN RES;0166-4328;21129;3.028;3.298;0.585;562;6.4;0.04260;0.918;
BEHAV BRAIN SCI;0140-525X;7562;20.771;24.308;2.750;20;>10.0;0.01103;10.686;
BEHAV ECOL;1045-2249;8176;3.177;3.350;0.989;174;7.9;0.01672;1.204;
BEHAV ECOL SOCIOBIOL;0340-5443;10652;2.350;2.929;0.590;195;>10.0;0.01511;1.023;
BEHAV GENET;0001-8244;3465;3.210;2.922;0.491;53;>10.0;0.00623;1.181;
BEHAV MED;0896-4289;594;1.000;1.484;0.294;17;>10.0;0.00072;0.497;
BEHAV NEUROSCI;0735-7044;7930;2.728;3.082;0.485;68;>10.0;0.00778;0.982;
BEHAV PHARMACOL;0955-8810;2782;2.148;2.379;0.276;76;7.8;0.00429;0.645;
BEHAV PROCESS;0376-6357;3243;1.567;1.689;0.355;203;7.4;0.00661;0.546;
BEHAVIOUR;0005-7959;4852;1.230;1.652;0.542;96;>10.0;0.00359;0.562;
BIOL PSYCHOL;0301-0511;7167;3.403;3.945;0.841;157;7.0;0.01493;1.272;
BRAIN BEHAV;2162-3279;368;2.243;2.229;0.205;83;2.3;0.00170;0.699;
BRAIN BEHAV EVOLUT;0006-8977;2138;2.013;2.423;0.488;43;>10.0;0.00247;0.746;
CHEM SENSES;0379-864X;4252;3.157;3.199;0.507;67;9.5;0.00572;0.998;
COGN AFFECT BEHAV NE;1530-7026;3093;3.287;4.415;0.679;106;7.2;0.00647;1.538;
COGN BEHAV NEUROL;1543-3633;620;0.946;1.189;0.185;27;7.7;0.00100;0.384;
CORTEX;0010-9452;6768;5.128;5.014;0.966;178;5.8;0.01690;1.623;
EPILEPSY BEHAV;1525-5050;6400;2.257;2.225;0.585;330;5.2;0.01478;0.574;
ETHOL ECOL EVOL;0394-9370;706;1.103;1.013;0.920;25;>10.0;0.00088;0.347;
ETHOLOGY;0179-1613;3847;1.791;1.895;0.410;122;8.8;0.00587;0.598;
EVOL HUM BEHAV;1090-5138;3202;3.130;3.870;0.536;69;7.7;0.00746;1.649;
FRONT BEHAV NEUROSCI;1662-5153;2195;3.270;3.863;0.652;419;2.8;0.01051;1.351;
GENES BRAIN BEHAV;1601-1848;3417;3.661;3.662;0.976;82;5.7;0.00873;1.155;
HORM BEHAV;0018-506X;9250;4.632;4.441;0.610;146;7.1;0.01935;1.419;
HUM FACTORS;0018-7208;3482;1.694;2.037;0.349;106;>10.0;0.00360;0.701;
J COMP PHYSIOL A;0340-7594;5251;2.036;2.103;0.790;81;>10.0;0.00530;0.732;
J COMP PSYCHOL;0735-7036;2776;2.344;2.286;0.902;41;>10.0;0.00327;0.892;
J DEV BEHAV PEDIATR;0196-206X;3034;2.129;2.523;0.610;59;8.3;0.00544;0.879;
J ECT;1095-0680;1230;1.389;1.494;1.094;53;6.2;0.00180;0.317;
J ETHOL;0289-0771;725;0.970;1.060;0.091;22;6.9;0.00164;0.344;
J EXP ANAL BEHAV;0022-5002;2907;1.865;1.765;0.545;55;>10.0;0.00185;0.498;
J EXP PSYCHOL-ANIM L;0097-7403;2532;1.949;2.248;0.325;40;>10.0;0.00306;0.868;
J VET BEHAV;1558-7878;496;0.957;1.569;1.107;56;4.1;0.00137;0.409;
LANG COGN NEUROSCI;2327-3798;38;;;0.320;100;;0.00000;;
LEARN BEHAV;1543-4494;748;1.885;2.006;0.118;34;6.2;0.00211;0.739;
NEUROBIOL LEARN MEM;1074-7427;5453;3.652;3.914;0.892;185;6.3;0.01215;1.246;
NEUROPSYCHOLOGIA;0028-3932;23315;3.302;4.178;0.597;352;8.0;0.04393;1.426;
NEUROSCI BIOBEHAV R;0149-7634;16868;8.802;10.528;1.657;198;6.4;0.04123;3.596;
PHARMACOL BIOCHEM BE;0091-3057;13290;2.781;2.751;0.598;254;>10.0;0.01431;0.707;
PHYSIOL BEHAV;0031-9384;18384;2.976;3.190;0.583;331;>10.0;0.02287;0.977;
STRESS;1025-3890;1877;2.715;3.050;0.509;57;5.6;0.00423;0.841;
TRENDS COGN SCI;1364-6613;20396;21.965;22.500;3.150;60;8.3;0.04585;9.498;

