JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM SIGPLAN NOTICES;0362-1340;4062;0.657;0.981;0.073;314;7.2;0.01497;0.549;
ACM T APPL PERCEPT;1544-3558;319;0.652;1.197;0.200;15;6.2;0.00124;0.616;
ACM T DATABASE SYST;0362-5915;1029;0.684;1.381;0.152;33;>10.0;0.00189;0.889;
ACM T DES AUTOMAT EL;1084-4309;405;0.686;0.712;0.043;47;6.6;0.00151;0.381;
ACM T EMBED COMPUT S;1539-9087;563;0.471;0.584;0.190;100;6.7;0.00170;0.325;
ACM T GRAPHIC;0730-0301;10537;4.096;4.641;0.374;246;6.7;0.02899;1.876;
ACM T INTERNET TECHN;1533-5399;306;0.769;1.167;0.094;32;8.5;0.00089;0.850;
ACM T KNOWL DISCOV D;1556-4681;416;0.930;2.583;0.028;36;5.6;0.00222;1.454;
ACM T MATH SOFTWARE;0098-3500;2869;1.863;3.151;0.429;28;>10.0;0.00465;2.105;
ACM T MULTIM COMPUT;1551-6857;465;0.971;1.289;0.196;56;5.4;0.00182;0.636;
ACM T PROGR LANG SYS;0164-0925;1011;0.897;1.261;0.357;14;>10.0;0.00199;1.427;
ACM T SOFTW ENG METH;1049-331X;579;1.170;1.649;0.116;43;9.0;0.00161;1.048;
ACM T STORAGE;1553-3077;167;0.533;;0.438;16;6.1;0.00060;;
ACM T WEB;1559-1131;384;1.255;2.367;0.158;19;5.1;0.00201;1.295;
ADV COMPUT;0065-2458;217;0.302;0.636;0.000;19;>10.0;0.00055;0.349;
ADV ENG SOFTW;0965-9978;2023;1.402;1.584;0.378;119;5.8;0.00557;0.549;
ALGORITHMICA;0178-4617;1637;0.791;0.805;0.168;113;>10.0;0.00558;0.624;
AUTOMAT SOFTW ENG;0928-8910;228;1.733;1.391;0.312;16;6.6;0.00090;0.823;
BIT;0006-3835;1535;0.957;1.143;0.235;51;>10.0;0.00305;0.887;
COMMUN ACM;0001-0782;11320;3.621;3.609;0.333;90;>10.0;0.02029;2.006;
COMPUT AIDED DESIGN;0010-4485;3543;1.801;1.957;0.330;106;9.0;0.00661;0.681;
COMPUT AIDED GEOM D;0167-8396;1393;1.639;1.371;0.154;52;>10.0;0.00363;0.817;
COMPUT ANIMAT VIRT W;1546-4261;299;0.463;0.494;0.163;49;6.6;0.00090;0.230;
COMPUT GRAPH FORUM;0167-7055;3791;1.642;1.902;0.237;236;5.2;0.02295;1.237;
COMPUT GRAPH-UK;0097-8493;1301;0.907;1.089;0.409;88;8.5;0.00417;0.597;
COMPUT J;0010-4620;2585;0.787;0.962;0.159;126;>10.0;0.00341;0.387;
COMPUT LANG SYST STR;1477-8424;54;0.440;0.416;0.000;9;;0.00027;0.222;
