JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AN PSICOL-SPAIN;0212-9728;405;0.504;0.634;0.139;122;4.1;0.00082;0.128;
ANN MED-PSYCHOL;0003-4487;576;0.221;0.286;0.050;139;>10.0;0.00049;0.048;
ANNU REV CLIN PSYCHO;1548-5943;2980;12.674;14.369;2.179;28;5.4;0.00976;5.539;
ANNU REV PSYCHOL;0066-4308;13101;21.810;26.824;4.037;27;>10.0;0.02311;12.229;
APPL NEUROPSYCH-ADUL;2327-9095;54;0.646;0.646;0.091;33;;0.00023;0.184;
APPL NEUROPSYCH-CHIL;2162-2965;42;0.946;0.946;0.212;33;;0.00014;0.234;
ARCH CLIN NEUROPSYCH;0887-6177;3049;1.986;2.429;0.397;68;8.7;0.00395;0.756;
ATTEN PERCEPT PSYCHO;1943-3921;2286;2.168;2.526;0.531;196;3.8;0.01265;0.931;
BIOL PSYCHOL;0301-0511;7167;3.403;3.945;0.841;157;7.0;0.01493;1.272;
CLIN CHILD PSYCHOL P;1359-1045;738;1.025;;0.250;40;7.5;0.00146;;
CLIN NEUROPSYCHOL;1385-4046;2425;1.719;2.208;0.377;77;8.5;0.00372;0.625;
CLIN PSYCHOL-UK;1328-4207;124;0.933;0.973;0.077;13;5.3;0.00035;0.300;
COGN NEUROPSYCHOL;0264-3294;2293;2.073;2.360;0.346;26;>10.0;0.00214;0.899;
COGNITIVE PSYCHOL;0010-0285;6582;5.064;6.420;1.031;32;>10.0;0.00548;2.898;
DEPRESS ANXIETY;1091-4269;6059;4.407;5.434;1.009;108;5.3;0.01845;1.839;
DEV NEUROPSYCHOL;8756-5641;2874;2.241;3.562;0.270;37;9.4;0.00453;1.263;
DEV PSYCHOBIOL;0012-1630;3948;3.307;3.375;0.605;147;9.7;0.00630;1.103;
EAT DISORD;1064-0266;673;1.484;;0.469;32;7.1;0.00114;;
ERGONOMICS;0014-0139;5758;1.556;1.804;0.209;148;>10.0;0.00555;0.539;
EXP AGING RES;0361-073X;864;0.917;1.387;0.107;28;>10.0;0.00106;0.485;
FRONT HUM NEUROSCI;1662-5161;6818;3.626;4.086;0.545;887;2.2;0.03113;1.302;
