JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA NEUROPSYCHIATR;1601-5215;367;0.802;0.667;0.062;48;5.7;0.00088;0.195;
ACTA PSYCHIAT SCAND;0001-690X;11769;5.605;5.256;2.012;83;>10.0;0.01285;1.583;
ACTAS ESP PSIQUIATRI;1139-9287;441;1.200;0.811;0.129;31;6.2;0.00089;0.217;
ADDICTION;0965-2140;16193;4.829;5.827;2.125;192;7.6;0.03278;2.012;
AGING MENT HEALTH;1360-7863;2818;1.751;2.260;0.367;120;6.4;0.00664;0.746;
AM J GERIAT PSYCHIAT;1064-7481;5503;4.235;4.409;0.909;176;6.3;0.01225;1.382;
AM J MED GENET B;1552-4841;4397;3.416;3.311;0.635;74;6.2;0.01081;1.127;
AM J ORTHOPSYCHIAT;0002-9432;2768;1.364;2.026;0.200;65;>10.0;0.00303;0.697;
AM J PSYCHIAT;0002-953X;42476;12.295;14.644;3.368;95;>10.0;0.04843;5.427;
ANADOLU PSIKIYATR DE;1302-6631;187;0.180;0.357;0.017;59;6.1;0.00023;0.058;
ANN CLIN PSYCHIATRY;1040-1237;954;2.364;2.278;0.464;28;7.8;0.00141;0.616;
ANN GEN PSYCHIATR;1744-859X;524;1.400;;0.188;32;5.4;0.00120;;
ANN MED-PSYCHOL;0003-4487;576;0.221;0.286;0.050;139;>10.0;0.00049;0.048;
ARCH GEN PSYCHIAT;0003-990X;36976;14.480;15.560;;0;>10.0;0.04869;6.133;
ARCH PSYCHIAT NURS;0883-9417;831;0.852;1.308;0.188;64;7.9;0.00136;0.382;
ARCH WOMEN MENT HLTH;1434-1816;1514;2.164;2.653;0.354;65;6.0;0.00379;0.862;
ARQ NEURO-PSIQUIAT;0004-282X;2148;0.843;0.994;0.304;148;7.3;0.00354;0.263;
ASIA-PAC PSYCHIAT;1758-5864;104;0.630;0.527;0.091;55;1.9;0.00042;0.142;
AUST NZ J PSYCHIAT;0004-8674;5370;3.407;3.616;1.936;94;7.5;0.00920;1.021;
AUSTRALAS PSYCHIATRY;1039-8562;626;0.469;0.668;0.155;97;5.9;0.00130;0.179;
BEHAV MED;0896-4289;594;1.000;1.484;0.294;17;>10.0;0.00072;0.497;
BEHAV SLEEP MED;1540-2002;549;2.340;2.405;0.417;36;5.8;0.00144;0.815;
BIOL PSYCHIAT;0006-3223;40812;10.255;10.359;2.667;210;7.7;0.07948;3.553;
BIPOLAR DISORD;1398-5647;4886;4.965;5.282;0.966;88;6.3;0.01106;1.650;
BMC PSYCHIATRY;1471-244X;4024;2.210;2.782;0.288;361;4.0;0.01263;0.815;
BRIT J PSYCHIAT;0007-1250;22557;7.991;8.196;1.905;116;>10.0;0.02980;2.878;
CAN J PSYCHIAT;0706-7437;4278;2.551;3.033;0.987;78;8.6;0.00697;0.977;
CHILD ADOL MENT H-UK;1475-357X;474;1.441;1.314;0.175;40;6.3;0.00108;0.428;
