JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ANNU REV CELL DEV BI;1081-0706;9301;16.660;21.326;0.481;27;9.3;0.02356;10.990;
BIRTH DEFECTS RES A;1542-0752;2387;2.089;2.725;0.308;91;5.2;0.00726;0.939;
BIRTH DEFECTS RES C;1542-975X;1042;2.633;3.930;0.259;27;6.1;0.00241;1.185;
BMC DEV BIOL;1471-213X;2401;2.667;2.821;0.372;43;6.6;0.00596;1.082;
CELLS TISSUES ORGANS;1422-6405;2067;2.137;2.057;0.040;25;6.8;0.00422;0.582;
CURR TOP DEV BIOL;0070-2153;2462;4.680;5.816;1.073;41;5.9;0.00885;2.693;
DEV BIOL;0012-1606;31099;3.547;3.761;0.720;328;9.7;0.05008;1.525;
DEV CELL;1534-5807;23646;9.708;12.437;1.936;220;6.3;0.09060;6.635;
DEV DYNAM;1058-8388;10254;2.376;2.534;0.619;139;8.4;0.01839;1.035;
DEV GENES EVOL;0949-944X;1795;2.441;1.989;0.481;27;9.7;0.00201;0.678;
DEV GROWTH DIFFER;0012-1592;2018;2.420;2.116;1.206;63;6.7;0.00480;0.832;
DEV NEUROBIOL;1932-8451;2333;3.370;3.791;1.337;86;4.0;0.00952;1.476;
DEV NEUROSCI-BASEL;0378-5866;2056;2.697;3.701;0.128;47;8.4;0.00401;1.197;
DEV PSYCHOBIOL;0012-1630;3948;3.307;3.375;0.605;147;9.7;0.00630;1.103;
DEVELOPMENT;0950-1991;54140;6.462;6.741;1.350;463;>10.0;0.10841;3.098;
DIFFERENTIATION;0301-4681;3109;3.437;3.112;0.333;36;8.4;0.00532;1.047;
EVODEVO;2041-9139;351;3.034;3.409;0.723;47;2.6;0.00227;1.540;
EVOL DEV;1520-541X;2056;2.716;2.957;0.657;35;7.2;0.00532;1.319;
GENE DEV;0890-9369;59511;10.798;12.305;1.925;226;10.0;0.12800;6.506;
GENE EXPR PATTERNS;1567-133X;1553;1.380;1.872;0.500;44;7.8;0.00328;0.736;
GENESIS;1526-954X;3810;2.018;2.406;0.451;91;8.8;0.00814;1.184;
IN VITRO CELL DEV-AN;1071-2690;1798;1.145;1.270;0.193;114;>10.0;0.00226;0.312;
IN VITRO CELL DEV-PL;1054-5476;1879;0.981;1.531;0.148;88;9.2;0.00198;0.326;
INT J DEV BIOL;0214-6282;4233;1.903;2.536;0.492;65;8.2;0.00869;0.878;
INT J DEV NEUROSCI;0736-5748;2982;2.580;2.613;0.352;105;7.4;0.00535;0.724;
J EXP ZOOL PART B;1552-5007;1380;2.311;2.464;0.771;48;5.8;0.00375;0.850;
MECH DEVELOP;0925-4773;5501;2.440;2.443;0.477;44;>10.0;0.00411;1.023;
MOL HUM REPROD;1360-9947;5078;3.747;3.956;0.766;111;8.9;0.00807;1.240;
MOL REPROD DEV;1040-452X;5362;2.527;2.606;0.457;92;>10.0;0.00608;0.825;
NEURAL DEV;1749-8104;957;3.453;3.712;0.333;27;4.9;0.00409;1.455;
ORGANOGENESIS;1547-6278;676;2.800;3.347;0.931;29;4.5;0.00238;1.042;
PLACENTA;0143-4004;6754;2.710;3.141;0.630;184;6.6;0.01294;0.865;
REPROD FERT DEVELOP;1031-3613;2949;2.400;2.615;0.426;108;6.5;0.00617;0.759;
REPRODUCTION;1470-1626;7394;3.174;3.707;0.713;171;7.1;0.01443;1.118;
ROM J MORPHOL EMBRYO;1220-0522;691;0.659;0.702;0.083;218;3.7;0.00185;0.150;
RUSS J DEV BIOL+;1062-3604;235;0.305;0.420;0.050;40;7.8;0.00034;0.100;
SEMIN CELL DEV BIOL;1084-9521;6404;6.265;6.211;1.040;174;5.3;0.02244;2.484;
SEX DEV;1661-5425;619;2.288;2.283;0.829;35;4.7;0.00224;0.814;
WIRES DEV BIOL;1759-7684;408;3.689;3.689;0.607;28;2.0;0.00200;1.187;
ZEBRAFISH;1545-8547;759;1.946;2.285;0.379;66;5.1;0.00201;0.633;
ZYGOTE;0967-1994;766;1.416;1.323;0.162;68;8.0;0.00133;0.370;

