JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM J EMERG TECH COM;1550-4832;169;0.729;0.952;0.117;60;4.4;0.00063;0.378;
ACS APPL MATER INTER;1944-8244;32234;6.723;6.813;0.991;2762;2.3;0.09406;1.373;
ACS NANO;1936-0851;78579;12.881;14.412;2.216;1328;3.4;0.31021;3.979;
ACS PHOTONICS;2330-4022;211;;;1.104;183;0.5;0.00006;;
ADV FUNCT MATER;1616-301X;51895;11.805;12.311;2.234;813;4.6;0.13186;3.120;
ADV HEALTHC MATER;2192-2640;1857;5.797;5.812;1.273;209;1.7;0.00674;1.567;
ADV MATER;0935-9648;128805;17.493;18.172;3.441;966;5.0;0.29956;4.750;
AIP ADV;2158-3226;1851;1.524;1.616;0.322;562;2.3;0.00875;0.534;
APL MATER;2166-532X;352;2.789;2.789;0.510;198;1.3;0.00151;1.059;
BEILSTEIN J NANOTECH;2190-4286;1005;2.670;2.903;0.422;249;2.5;0.00432;0.877;
BIOMED MICRODEVICES;1387-2176;2838;2.877;2.768;0.554;92;5.5;0.00739;0.817;
BIOMICROFLUIDICS;1932-1058;2138;3.357;3.464;0.407;182;3.1;0.00888;0.971;
BIOSENS BIOELECTRON;0956-5663;30531;6.409;6.045;1.917;820;4.2;0.05919;1.169;
CURR NANOSCI;1573-4137;965;1.096;1.199;0.105;133;4.1;0.00206;0.231;
DIG J NANOMATER BIOS;1842-3582;1221;0.945;1.236;0.241;174;3.6;0.00278;0.202;
ENVIRON SCI-NANO;2051-8153;67;;;1.396;48;;0.00000;;
FULLER NANOTUB CAR N;1536-383X;543;0.836;0.853;0.243;107;4.3;0.00101;0.166;
IEEE T NANOBIOSCI;1536-1241;882;2.309;2.078;0.408;49;6.0;0.00220;0.679;
IEEE T NANOTECHNOL;1536-125X;2381;1.825;1.882;0.323;161;4.7;0.00725;0.617;
IET NANOBIOTECHNOL;1751-8741;191;1.500;1.451;0.098;41;3.6;0.00043;0.301;
INT J NANOMED;1178-2013;7954;4.383;4.742;0.524;481;2.9;0.02007;0.931;
INT J NANOTECHNOL;1475-7435;415;0.618;0.652;0.089;112;4.9;0.00119;0.191;
J BIOMED NANOTECHNOL;1550-7033;3556;5.338;4.138;1.386;246;2.4;0.00578;0.533;
J COMPUT THEOR NANOS;1546-1955;2503;1.343;1.066;0.520;369;3.0;0.00373;0.134;
J EXP NANOSCI;1745-8080;453;0.981;1.081;0.208;106;3.9;0.00107;0.219;
J LASER MICRO NANOEN;1880-0688;356;1.008;0.835;0.226;53;4.4;0.00065;0.150;
J MICRO-NANOLITH MEM;1932-5150;692;1.428;1.083;0.325;120;3.2;0.00170;0.212;
J MICROMECH MICROENG;0960-1317;8862;1.731;1.906;0.278;299;6.7;0.01828;0.576;
J NANO RES-SW;1662-5250;248;0.564;0.568;0.069;58;3.7;0.00076;0.129;
J NANOBIOTECHNOL;1477-3155;1405;4.115;;0.483;58;4.0;0.00314;;
J NANOELECTRON OPTOE;1555-130X;248;0.385;0.384;0.181;94;3.5;0.00058;0.085;
J NANOMATER;1687-4110;3125;1.644;1.798;0.195;558;2.7;0.00891;0.371;
J NANOPART RES;1388-0764;10038;2.184;2.649;0.311;563;3.9;0.02524;0.596;
J NANOPHOTONICS;1934-2608;622;1.686;1.487;0.453;75;3.5;0.00247;0.465;
