JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACAD MED;1040-2446;9436;3.060;3.482;1.232;228;7.7;0.02343;1.388;
ADV HEALTH SCI EDUC;1382-4996;1276;2.124;2.688;0.550;40;5.5;0.00479;1.134;
ADV PHYSIOL EDUC;1043-4046;821;0.944;1.142;0.243;37;8.1;0.00096;0.276;
AM BIOL TEACH;0002-7685;428;0.260;0.223;0.091;66;>10.0;0.00018;0.044;
AM J PHARM EDUC;0002-9459;1715;1.082;1.233;0.125;160;5.6;0.00183;0.157;
AM J PHYS;0002-9505;6066;0.956;0.909;0.371;132;>10.0;0.00502;0.412;
BIOCHEM MOL BIOL EDU;1470-8175;492;0.654;0.707;0.032;62;7.0;0.00076;0.165;
BMC MED EDUC;1472-6920;1438;1.218;1.605;0.170;259;4.5;0.00439;0.482;
CBE-LIFE SCI EDUC;1931-7913;734;1.894;1.962;0.581;62;4.1;0.00214;0.562;
CHEM EDUC RES PRACT;1109-4028;758;2.091;1.832;0.597;62;4.9;0.00140;0.425;
COMPUT APPL ENG EDUC;1061-3773;594;0.296;0.933;0.070;71;5.4;0.00057;0.098;
ENG STUD;1937-8629;37;0.500;0.643;0.000;11;;0.00029;0.322;
EUR J DENT EDUC;1396-5883;609;0.938;1.165;0.465;43;5.8;0.00100;0.248;
EUR J PHYS;0143-0807;1120;0.629;0.570;0.226;155;7.6;0.00221;0.184;
HEMATOL-AM SOC HEMAT;1520-4391;2411;3.137;;;;4.4;0.01095;;
IEEE T EDUC;0018-9359;969;0.842;1.033;0.129;31;8.3;0.00169;0.296;
INDIAN J PHARM EDUC;0019-5464;142;0.177;0.378;0.045;44;4.1;0.00036;0.082;
INT J ELEC ENG EDUC;0020-7209;103;0.077;0.208;0.000;21;9.1;0.00010;0.038;
INT J ENG EDUC;0949-149X;725;0.582;0.478;0.083;157;6.5;0.00080;0.074;
INT J TECHNOL DES ED;0957-7572;170;0.429;0.506;0.000;26;5.6;0.00044;0.157;
J BIOL EDUC;0021-9266;421;0.324;0.514;0.115;26;>10.0;0.00034;0.143;
J CANCER EDUC;0885-8195;1056;1.230;1.191;0.222;108;4.7;0.00353;0.425;
J CHEM EDUC;0021-9584;8082;1.106;1.089;0.273;388;>10.0;0.00324;0.131;
J CONTIN EDUC HEALTH;0894-1912;905;1.361;1.668;0.119;42;7.6;0.00166;0.549;
J ENG EDUC;1069-4730;1172;2.059;2.722;0.042;24;8.5;0.00226;1.071;
J MATER EDUC;0738-7989;128;0.600;;0.000;14;7.5;0.00018;;
J NUTR EDUC BEHAV;1499-4046;2083;1.773;2.123;0.494;79;7.4;0.00397;0.639;
J PROF ISS ENG ED PR;1052-3928;229;0.275;0.500;0.000;36;7.5;0.00042;0.161;
J SCHOOL HEALTH;0022-4391;2490;1.434;2.104;0.227;97;7.1;0.00474;0.650;
J SCI EDUC TECHNOL;1059-0145;819;1.214;1.253;0.048;62;6.3;0.00215;0.440;
J SURG EDUC;1931-7204;881;1.379;1.568;0.213;122;3.6;0.00423;0.613;
MED EDUC;0308-0110;6266;3.196;3.687;1.276;98;7.9;0.01290;1.396;
MED TEACH;0142-159X;4181;1.679;1.909;0.386;140;5.9;0.01084;0.628;
NURS EDUC TODAY;0260-6917;3325;1.364;1.806;0.258;233;6.4;0.00388;0.294;
PHYS REV SPEC TOP-PH;1554-9178;521;1.433;1.729;0.137;51;5.3;0.00151;0.524;
STUD SCI EDUC;0305-7267;321;2.083;3.061;0.667;6;>10.0;0.00070;1.336;
TEACH LEARN MED;1040-1334;820;0.659;0.917;0.083;60;8.4;0.00193;0.421;

