JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AEROBIOLOGIA;0393-5965;926;1.375;1.556;0.237;38;9.0;0.00119;0.384;
AEROSOL AIR QUAL RES;1680-8584;1267;2.094;2.155;0.293;184;2.8;0.00413;0.517;
AEROSOL SCI TECH;0278-6826;5528;2.413;2.751;0.410;134;9.3;0.00993;0.979;
AFR J RANGE FOR SCI;1022-0119;294;0.971;0.781;0.739;23;9.1;0.00029;0.193;
AGR ECOSYST ENVIRON;0167-8809;13607;3.402;3.987;0.854;329;7.8;0.02188;1.159;
AIR QUAL ATMOS HLTH;1873-9318;377;1.804;1.925;0.286;49;3.2;0.00196;0.772;
AMBIO;0044-7447;5261;2.641;3.291;0.881;101;9.8;0.00642;1.023;
ANN AGR ENV MED;1232-1966;1235;1.126;1.232;0.090;167;6.4;0.00196;0.263;
ANNU REV ENV RESOUR;1543-5938;2122;5.892;9.372;0.348;23;7.5;0.00529;3.877;
ANTARCT SCI;0954-1020;1977;1.606;1.811;0.257;74;9.6;0.00361;0.652;
APPL CATAL A-GEN;0926-860X;34226;3.942;4.402;0.914;595;8.3;0.03814;0.883;
APPL ECOL ENV RES;1589-1623;292;0.557;0.737;0.031;65;6.5;0.00041;0.154;
AQUAT CONSERV;1052-7613;2369;2.136;2.270;0.465;86;6.9;0.00418;0.696;
AQUAT ECOSYST HEALTH;1463-4988;640;1.041;1.147;0.265;49;6.3;0.00127;0.309;
AQUAT SCI;1015-1621;2036;2.706;3.288;0.426;54;8.2;0.00387;1.046;
ARCH ENVIRON CON TOX;0090-4341;6225;1.895;2.128;0.391;115;>10.0;0.00649;0.528;
ARCH ENVIRON OCCUP H;1933-8244;1811;0.932;1.142;0.357;28;>10.0;0.00098;0.399;
ARCH ENVIRON PROT;2083-4772;195;0.855;0.610;0.045;44;3.8;0.00054;0.160;
ARCT ANTARCT ALP RES;1523-0430;2708;1.515;1.729;0.889;72;>10.0;0.00250;0.618;
ARCTIC;0004-0843;1634;1.174;1.364;0.388;49;>10.0;0.00177;0.541;
ARID LAND RES MANAG;1532-4982;321;0.804;0.754;0.206;34;8.9;0.00038;0.186;
ATMOS ENVIRON;1352-2310;41715;3.281;3.780;0.603;818;7.9;0.06315;1.047;
ATMOS POLLUT RES;1309-1042;304;1.371;1.437;0.200;90;2.9;0.00124;0.392;
B ENVIRON CONTAM TOX;0007-4861;6178;1.255;1.324;0.170;264;9.3;0.00749;0.299;
BIODIVERS CONSERV;0960-3115;8334;2.365;2.676;0.537;201;7.6;0.01562;0.902;
BIOENERG RES;1939-1234;1577;3.541;3.987;0.601;143;2.9;0.00526;1.112;
BIOGEOCHEMISTRY;0168-2563;8575;3.488;4.143;0.738;149;9.7;0.01280;1.373;
BIOL CONSERV;0006-3207;21429;3.762;4.697;0.672;305;7.9;0.04419;1.692;
BIOL ENVIRON;0791-7945;235;0.674;0.731;0.000;25;8.7;0.00028;0.170;
BIOMED ENVIRON SCI;0895-3988;1543;1.653;1.691;0.200;80;6.3;0.00300;0.438;
BIOREMEDIAT J;1088-9868;272;0.500;0.713;0.125;32;>10.0;0.00028;0.152;
BIOTECHNOL AGRON SOC;1370-6233;345;0.457;0.692;0.118;51;5.2;0.00090;0.187;
BOREAL ENVIRON RES;1239-6095;1347;1.481;2.022;0.938;65;6.7;0.00287;0.664;
CARBON MANAG;1758-3004;276;1.589;1.970;0.889;18;3.1;0.00161;0.769;
CARPATH J EARTH ENV;1842-4090;281;0.630;0.742;0.130;100;3.0;0.00053;0.102;
CHEM ECOL;0275-7540;801;1.047;1.169;0.138;65;6.8;0.00124;0.258;
CHEM SPEC BIOAVAILAB;0954-2299;202;0.591;0.519;0.171;35;7.5;0.00024;0.099;
CHEMOSPHERE;0045-6535;47655;3.340;3.854;0.571;923;7.4;0.06707;0.936;
