JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV COMPLEX SYST;0219-5259;513;0.968;0.992;0.083;24;6.2;0.00145;0.374;
ANNU REV STAT APPL;2326-8298;16;;;0.727;22;;0.00000;;
APPL MATH MODEL;0307-904X;7636;2.251;2.326;0.419;458;3.6;0.02546;0.656;
APPL STOCH MODEL BUS;1524-1904;411;0.725;0.811;0.055;55;6.6;0.00162;0.450;
ARCH COMPUT METHOD E;1134-3060;798;3.680;5.485;0.286;14;6.4;0.00306;2.916;
ARCH HIST EXACT SCI;0003-9519;237;0.455;0.528;0.105;19;>10.0;0.00039;0.278;
ARCH RATION MECH AN;0003-9527;6721;2.219;2.575;0.454;108;>10.0;0.02467;2.909;
ASTIN BULL;0515-0361;515;0.738;0.993;0.043;23;>10.0;0.00152;0.697;
B STOR SCI MAT;0392-4432;10;0.000;0.100;0.000;4;;0.00000;0.000;
BAYESIAN ANAL;1931-6690;841;1.343;2.443;0.108;37;6.8;0.00512;2.039;
BRIT J MATH STAT PSY;0007-1102;1250;2.167;1.954;0.192;26;>10.0;0.00361;1.498;
CELEST MECH DYN ASTR;0923-2958;2202;1.600;1.644;0.359;64;>10.0;0.00370;0.685;
CHAOS SOLITON FRACT;0960-0779;7734;1.448;1.251;0.346;136;7.9;0.00965;0.351;
CHEMOMETR INTELL LAB;0169-7439;6189;2.321;2.770;0.459;183;>10.0;0.00756;0.726;
CMC-COMPUT MATER CON;1546-2218;374;0.964;0.798;0.167;48;3.7;0.00159;0.281;
CMES-COMP MODEL ENG;1526-1492;1518;1.030;0.987;0.324;102;5.3;0.00454;0.330;
COMBUST THEOR MODEL;1364-7830;858;1.280;1.429;0.310;29;7.6;0.00192;0.551;
COMMUN NONLINEAR SCI;1007-5704;7144;2.866;2.879;0.857;364;3.7;0.02436;0.733;
COMPLEXITY;1076-2787;608;1.041;1.342;0.514;37;8.4;0.00104;0.431;
COMPUT ECON;0927-7099;405;0.521;0.526;0.213;47;9.3;0.00090;0.271;
COMPUT MATH ORGAN TH;1381-298X;279;0.840;0.912;0.053;19;8.6;0.00055;0.340;
COMPUT MECH;0178-7675;4400;2.525;2.631;0.552;181;7.7;0.00947;1.034;
COMPUT METHOD APPL M;0045-7825;18357;2.959;3.395;0.669;290;>10.0;0.03318;1.641;
DISCRETE DYN NAT SOC;1026-0226;928;0.877;0.834;0.183;279;2.9;0.00242;0.182;
DYN GAMES APPL;2153-0785;83;0.706;1.013;0.167;24;;0.00099;0.823;
ECON COMPUT ECON CYB;0424-267X;91;0.406;0.272;0.040;75;;0.00025;0.051;
ECONOMET J;1368-4221;601;0.818;1.488;0.095;21;8.9;0.00414;2.122;
ECONOMET REV;0747-4938;730;1.189;1.116;0.333;39;9.7;0.00257;1.172;
ECONOMET THEOR;0266-4666;1777;0.978;1.437;0.154;39;>10.0;0.00922;2.150;
ECONOMETRICA;0012-9682;24175;3.889;5.758;1.197;66;>10.0;0.05480;10.853;
EDUC PSYCHOL MEAS;0013-1644;4828;1.154;1.514;0.234;47;>10.0;0.00392;0.888;
ENG ANAL BOUND ELEM;0955-7997;2529;1.392;1.450;0.408;147;6.4;0.00630;0.505;
ENG COMPUTATION;0264-4401;1051;1.495;1.598;0.042;95;9.0;0.00219;0.544;
ENVIRON ECOL STAT;1352-8505;672;0.925;1.319;0.143;42;8.7;0.00188;0.713;
ENVIRONMETRICS;1180-4009;1392;1.514;1.502;0.125;48;9.3;0.00372;0.767;
EXTREMES;1386-1999;457;1.333;1.500;0.179;28;>10.0;0.00167;1.034;
FINANC STOCH;0949-2984;889;1.441;1.692;0.267;30;>10.0;0.00464;2.196;
FLUCT NOISE LETT;0219-4775;328;0.811;0.766;0.188;32;7.5;0.00073;0.276;
FRACT CALC APPL ANAL;1311-0454;698;2.245;;0.431;65;4.7;0.00161;;
FRACTALS;0218-348X;650;1.220;0.702;0.444;27;>10.0;0.00067;0.226;
HIST MATH;0315-0860;149;0.435;0.257;0.000;17;>10.0;0.00023;0.207;
IEEE ACM T COMPUT BI;1545-5963;1404;1.438;1.605;0.367;109;3.7;0.00559;0.602;
IMA J MANAG MATH;1471-678X;219;0.500;0.592;0.091;22;7.7;0.00048;0.231;
