JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM T ALGORITHMS;1549-6325;493;0.895;0.899;0.154;39;6.5;0.00327;0.904;
ACM T MATH SOFTWARE;0098-3500;2869;1.863;3.151;0.429;28;>10.0;0.00465;2.105;
ACM T MODEL COMPUT S;1049-3301;518;0.780;1.092;0.190;21;>10.0;0.00119;0.690;
ACTA APPL MATH;0167-8019;1249;1.047;0.994;0.198;106;6.9;0.00459;0.539;
ACTA MATH APPL SIN-E;0168-9673;577;0.381;0.468;0.000;91;10.0;0.00134;0.246;
ACTA MATH SIN;1439-8516;1398;0.475;0.508;0.083;168;7.7;0.00526;0.353;
ADV APPL CLIFFORD AL;0188-7009;276;0.568;0.491;0.104;67;5.6;0.00068;0.149;
ADV APPL MATH;0196-8858;1033;0.820;0.768;0.200;50;>10.0;0.00441;0.894;
ADV APPL MATH MECH;2070-0733;176;0.626;0.722;0.039;51;4.1;0.00128;0.340;
ADV CALC VAR;1864-8258;92;1.133;0.961;0.000;16;;0.00187;1.531;
ADV COMPUT MATH;1019-7168;1393;1.487;1.539;0.429;49;>10.0;0.00414;1.134;
ADV DIFFER EQU-NY;1687-1847;785;0.640;0.694;0.086;327;2.9;0.00221;0.150;
ADV DIFFERENTIAL EQU;1079-9389;769;1.014;0.995;0.222;36;>10.0;0.00322;1.072;
ADV MATH COMMUN;1930-5346;168;0.476;0.749;0.088;34;4.1;0.00232;0.816;
ADV NONLINEAR ANAL;2191-9496;42;1.258;1.258;0.125;24;;0.00052;1.066;
ADV NONLINEAR STUD;1536-1365;370;0.918;0.744;0.212;52;6.0;0.00260;0.699;
AEQUATIONES MATH;0001-9054;755;0.918;0.676;0.133;45;>10.0;0.00114;0.318;
ALGEBR COLLOQ;1005-3867;302;0.298;0.291;0.062;64;7.5;0.00154;0.243;
ALGORITHMICA;0178-4617;1637;0.791;0.805;0.168;113;>10.0;0.00558;0.624;
AN STI U OVID CO-MAT;1224-1784;90;0.333;0.221;0.017;60;;0.00036;0.079;
ANAL APPL;0219-5305;274;0.796;1.104;0.258;31;6.1;0.00175;0.960;
ANAL MATH PHYS;1664-2368;33;0.475;0.525;0.056;18;;0.00056;0.595;
ANAL PDE;1948-206X;260;1.414;1.676;0.182;44;3.0;0.00555;2.571;
ANN COMB;0218-0006;315;0.511;0.523;0.024;41;9.5;0.00197;0.623;
