JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AGR FOREST METEOROL;0168-1923;12491;3.762;4.318;0.715;186;9.1;0.02030;1.393;
AGROFOREST SYST;0167-4366;2418;1.215;1.639;0.395;86;10.0;0.00332;0.427;
ALLG FORST JAGDZTG;0002-5852;253;0.681;0.533;0.000;20;>10.0;0.00031;0.162;
ANN FOR RES;1844-8135;69;0.418;;0.037;27;;0.00021;;
ANN FOREST SCI;1286-4560;2796;1.981;2.271;0.573;82;7.6;0.00503;0.651;
APPL VEG SCI;1402-2001;1435;2.548;2.406;0.881;67;6.3;0.00265;0.657;
AUST FORESTRY;0004-9158;462;0.556;0.690;0.217;23;>10.0;0.00043;0.211;
AUSTRIAN J FOR SCI;0379-5292;53;0.739;0.632;0.222;9;;0.00016;0.174;
BALT FOR;1392-1355;145;0.412;0.488;0.030;33;5.3;0.00025;0.098;
BOIS FOR TROP;0006-579X;137;0.192;0.235;0.000;20;>10.0;0.00012;0.053;
BOSQUE;0717-9200;244;0.313;0.485;0.109;46;8.1;0.00032;0.122;
CAN J FOREST RES;0045-5067;10923;1.683;2.148;0.245;159;>10.0;0.01001;0.654;
CERNE;0104-7760;400;0.244;0.471;0.013;80;7.1;0.00080;0.144;
CIENC FLOREST;0103-9954;361;0.222;0.390;0.010;100;7.6;0.00072;0.125;
CROAT J FOR ENG;1845-5719;132;0.491;0.625;0.042;24;4.6;0.00038;0.175;
DENDROBIOLOGY;1641-1307;136;0.556;0.653;0.062;32;6.0;0.00020;0.125;
DENDROCHRONOLOGIA;1125-7865;819;1.797;2.000;0.333;42;6.9;0.00143;0.608;
EUR J FOREST RES;1612-4669;1618;2.095;2.265;0.453;95;4.3;0.00517;0.674;
EUR J WOOD WOOD PROD;0018-3768;583;1.235;1.358;0.126;95;3.3;0.00213;0.337;
FIRE ECOL;1933-9747;330;1.422;;0.056;18;5.2;0.00114;;
FOREST CHRON;0015-7546;1197;0.646;1.020;0.122;74;>10.0;0.00144;0.306;
FOREST ECOL MANAG;0378-1127;24682;2.660;3.153;0.723;545;8.0;0.03778;0.880;
FOREST PATHOL;1437-4781;836;1.373;1.576;0.754;57;5.2;0.00173;0.402;
FOREST POLICY ECON;1389-9341;1794;1.856;2.129;0.323;96;5.4;0.00448;0.608;
FOREST PROD J;0015-7473;1782;0.484;0.605;0.050;40;>10.0;0.00100;0.147;
FOREST SCI;0015-749X;3866;1.573;1.818;0.915;118;>10.0;0.00234;0.538;
FOREST SYST;2171-5068;231;0.796;1.005;0.200;60;3.3;0.00092;0.287;
FORESTRY;0015-752X;1773;2.093;2.296;0.483;60;8.4;0.00246;0.627;
FORESTS;1999-4907;377;1.449;1.738;0.257;167;2.6;0.00150;0.496;
HOLZFORSCHUNG;0018-3830;3645;1.565;1.917;0.282;117;9.9;0.00343;0.374;
IAWA J;0928-1541;1223;1.074;1.188;0.088;34;>10.0;0.00091;0.326;
IFOREST;1971-7458;333;1.269;1.318;0.423;52;3.2;0.00123;0.363;
INT FOREST REV;1465-5489;659;1.051;1.733;0.234;47;6.1;0.00160;0.561;
INT J WILDLAND FIRE;1049-8001;3281;2.429;3.342;0.480;102;6.1;0.00777;1.045;
J FOREST;0022-1201;1990;2.000;1.991;0.182;44;>10.0;0.00206;0.593;
J FOREST ECON;1104-6899;368;1.143;1.488;0.154;26;6.0;0.00100;0.522;
J FOREST RES-JPN;1341-6979;699;0.775;1.026;0.169;59;7.2;0.00125;0.288;
