JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACS MACRO LETT;2161-1653;3481;5.764;5.875;1.231;264;2.1;0.01389;1.629;
ACTA POLYM SIN;1000-3304;920;0.641;0.483;0.062;210;5.1;0.00100;0.059;
ADV POLYM SCI;0065-3195;4152;1.992;3.383;1.054;37;9.7;0.00374;0.921;
ADV POLYM TECH;0730-6679;862;1.045;1.215;0.202;84;>10.0;0.00095;0.258;
BIOMACROMOLECULES;1525-7797;31769;5.750;6.432;0.965;489;6.0;0.05487;1.451;
CARBOHYD POLYM;0144-8617;30889;4.074;4.568;0.962;1162;4.4;0.05081;0.783;
CELL POLYM;0262-4893;196;0.423;0.405;0.000;13;>10.0;0.00012;0.099;
CELLULOSE;0969-0239;5929;3.573;4.285;0.655;388;4.6;0.00994;0.773;
CHINESE J POLYM SCI;0256-7679;1183;1.835;1.402;0.277;184;3.4;0.00224;0.246;
COLLOID POLYM SCI;0303-402X;6434;1.865;2.005;0.400;330;9.1;0.00699;0.406;
DES MONOMERS POLYM;1385-772X;726;2.780;2.000;0.488;82;3.6;0.00084;0.227;
E-POLYMERS;1618-7229;469;0.569;0.378;0.196;46;6.7;0.00065;0.080;
EUR PHYS J E;1292-8941;3586;1.757;1.831;0.283;113;8.3;0.00829;0.782;
EUR POLYM J;0014-3057;14393;3.005;3.198;0.577;310;7.6;0.01648;0.700;
EXPRESS POLYM LETT;1788-618X;1938;2.761;2.932;0.476;84;4.4;0.00455;0.633;
FIBER POLYM;1229-9197;1689;0.881;1.146;0.103;360;4.4;0.00313;0.200;
HIGH PERFORM POLYM;0954-0083;944;1.286;1.151;0.205;117;6.4;0.00118;0.200;
INT J POLYM ANAL CH;1023-666X;476;1.264;1.150;0.364;66;4.1;0.00063;0.146;
INT J POLYM MATER PO;0091-4037;1465;3.568;2.376;0.633;120;2.7;0.00119;0.172;
INT J POLYM SCI;1687-9422;332;1.195;1.679;0.089;79;3.2;0.00109;0.356;
INT POLYM PROC;0930-777X;544;0.512;0.598;0.083;72;9.3;0.00058;0.132;
IRAN POLYM J;1026-1265;1371;1.806;1.708;0.232;99;5.1;0.00177;0.250;
J APPL POLYM SCI;0021-8995;47314;1.768;1.662;0.378;1483;8.5;0.04912;0.323;
J BIOACT COMPAT POL;0883-9115;1104;2.352;2.558;0.209;43;5.9;0.00125;0.364;
J BIOMAT SCI-POLYM E;0920-5063;3795;1.648;1.852;0.271;133;8.1;0.00390;0.352;
J CELL PLAST;0021-955X;522;1.661;1.489;0.240;25;7.2;0.00071;0.335;
J ELASTOM PLAST;0095-2443;318;0.773;0.777;0.152;46;6.9;0.00036;0.144;
