JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV APPL PROBAB;0001-8678;1756;0.709;0.831;0.182;55;>10.0;0.00380;0.899;
ADV DATA ANAL CLASSI;1862-5347;143;1.026;1.348;0.143;21;4.1;0.00118;0.833;
ALEA-LAT AM J PROBAB;1980-0436;122;0.521;0.550;0.071;14;5.1;0.00181;0.869;
AM STAT;0003-1305;3713;0.915;1.335;0.167;36;>10.0;0.00293;0.950;
ANN APPL PROBAB;1050-5164;2158;1.454;1.531;0.378;74;9.6;0.01122;1.875;
ANN APPL STAT;1932-6157;1541;1.464;2.305;0.160;100;4.8;0.01545;2.167;
ANN I H POINCARE-PR;0246-0203;904;1.059;1.253;0.262;61;8.3;0.00814;1.964;
ANN I STAT MATH;0020-3157;1346;0.820;0.805;0.205;39;>10.0;0.00298;0.733;
ANN PROBAB;0091-1798;4226;1.420;1.701;0.412;68;>10.0;0.01578;2.418;
ANN STAT;0090-5364;14859;2.180;3.975;0.337;83;>10.0;0.04629;4.899;
ANNU REV STAT APPL;2326-8298;16;;;0.727;22;;0.00000;;
APPL STOCH MODEL BUS;1524-1904;411;0.725;0.811;0.055;55;6.6;0.00162;0.450;
ASTA-ADV STAT ANAL;1863-8171;172;0.780;1.055;0.118;17;4.7;0.00132;0.758;
ASTIN BULL;0515-0361;515;0.738;0.993;0.043;23;>10.0;0.00152;0.697;
AUST NZ J STAT;1369-1473;502;0.415;0.697;0.042;24;>10.0;0.00120;0.574;
BAYESIAN ANAL;1931-6690;841;1.343;2.443;0.108;37;6.8;0.00512;2.039;
BERNOULLI;1350-7265;1327;1.161;1.296;0.284;81;8.9;0.01018;1.827;
BIOMETRICAL J;0323-3847;1690;0.945;1.433;0.809;68;6.8;0.00481;1.040;
BIOMETRICS;0006-341X;17163;1.568;1.882;0.223;103;>10.0;0.01728;1.570;
BIOMETRIKA;0006-3444;15774;1.418;2.281;0.247;77;>10.0;0.01823;2.936;
BIOSTATISTICS;1465-4644;3072;2.649;2.853;0.577;52;7.9;0.00997;2.202;
BRAZ J PROBAB STAT;0103-0752;105;0.424;0.516;0.143;35;4.4;0.00096;0.478;
BRIT J MATH STAT PSY;0007-1102;1250;2.167;1.954;0.192;26;>10.0;0.00361;1.498;
CAN J STAT;0319-5724;925;0.646;0.793;0.167;36;>10.0;0.00236;0.714;
CHEMOMETR INTELL LAB;0169-7439;6189;2.321;2.770;0.459;183;>10.0;0.00756;0.726;
COMB PROBAB COMPUT;0963-5483;645;0.623;0.826;0.096;52;8.9;0.00584;1.454;
COMMUN STAT-SIMUL C;0361-0918;1050;0.325;0.561;0.035;171;8.0;0.00309;0.295;
COMMUN STAT-THEOR M;0361-0926;2564;0.274;0.388;0.045;357;>10.0;0.00537;0.234;
COMPUT STAT DATA AN;0167-9473;6012;1.400;1.510;0.562;338;7.0;0.02155;0.934;
COMPUTATION STAT;0943-4062;438;0.403;0.558;0.012;86;7.1;0.00177;0.363;
ECONOMET J;1368-4221;601;0.818;1.488;0.095;21;8.9;0.00414;2.122;
ECONOMET REV;0747-4938;730;1.189;1.116;0.333;39;9.7;0.00257;1.172;
ECONOMET THEOR;0266-4666;1777;0.978;1.437;0.154;39;>10.0;0.00922;2.150;
ECONOMETRICA;0012-9682;24175;3.889;5.758;1.197;66;>10.0;0.05480;10.853;
ELECTRON COMMUN PROB;1083-589X;389;0.619;0.663;0.048;84;5.0;0.00464;0.880;
ELECTRON J PROBAB;1083-6489;910;0.765;1.023;0.115;113;5.6;0.01028;1.381;
ELECTRON J STAT;1935-7524;684;0.957;1.325;0.127;55;3.9;0.01101;1.746;
ENVIRON ECOL STAT;1352-8505;672;0.925;1.319;0.143;42;8.7;0.00188;0.713;
