JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA MICROBIOL IMM H;1217-8950;243;0.778;0.711;0.108;37;5.7;0.00038;0.133;
ACTA PROTOZOOL;0065-1583;601;0.836;1.013;0.481;27;>10.0;0.00073;0.308;
ADV APPL MICROBIOL;0065-2164;1229;2.737;4.680;0.818;22;8.6;0.00218;1.417;
ADV MICROB PHYSIOL;0065-2911;1048;3.250;5.609;1.000;3;>10.0;0.00145;1.983;
ANAEROBE;1075-9964;2115;2.479;2.628;0.492;132;4.5;0.00543;0.699;
ANN CLIN MICROB ANTI;1476-0711;645;2.189;;0.130;54;5.4;0.00154;;
ANN MICROBIOL;1590-4261;1314;0.990;1.149;0.227;203;4.2;0.00304;0.256;
ANNU REV MICROBIOL;0066-4227;9193;12.182;16.132;0.885;26;>10.0;0.01625;7.105;
ANTIMICROB AGENTS CH;0066-4804;50371;4.476;4.540;1.016;1005;7.7;0.09343;1.360;
ANTON LEEUW INT J G;0003-6072;4618;1.806;1.909;0.504;232;>10.0;0.00615;0.528;
APMIS;0903-4641;3495;2.042;2.058;0.365;156;8.2;0.00533;0.588;
APPL BIOCHEM MICRO+;0003-6838;1108;0.735;0.772;0.090;111;7.3;0.00152;0.172;
APPL ENVIRON MICROB;0099-2240;91772;3.668;4.359;0.711;821;>10.0;0.10891;1.290;
AQUAT MICROB ECOL;0948-3055;4250;1.967;2.508;0.388;49;9.8;0.00566;0.855;
ARCH MICROBIOL;0302-8933;6749;1.667;1.693;0.183;93;>10.0;0.00380;0.483;
ARCHAEA;1472-3646;441;2.709;;0.833;18;4.3;0.00145;;
BENEF MICROBES;1876-2883;373;2.614;2.192;1.130;46;2.3;0.00138;0.594;
BMC MICROBIOL;1471-2180;7056;2.729;3.251;0.319;323;4.7;0.02397;1.005;
BRAZ J MICROBIOL;1517-8382;1525;0.592;0.822;0.081;148;6.2;0.00271;0.194;
CAN J INFECT DIS MED;1712-9532;508;0.685;1.023;0.123;57;7.4;0.00092;0.332;
CAN J MICROBIOL;0008-4166;5713;1.221;1.354;0.175;103;>10.0;0.00406;0.375;
CELL HOST MICROBE;1931-3128;9206;12.328;13.126;3.148;128;3.9;0.05185;6.243;
CELL MICROBIOL;1462-5814;8170;4.915;4.879;1.281;135;6.4;0.02006;1.759;
CLIN INFECT DIS;1058-4838;51710;8.886;9.206;2.596;468;7.0;0.12680;3.562;
CLIN MICROBIOL INFEC;1198-743X;11650;5.768;5.059;1.254;393;4.2;0.03750;1.649;
CLIN MICROBIOL REV;0893-8512;13982;17.406;21.657;2.154;39;10.0;0.02011;7.631;
CLIN VACCINE IMMUNOL;1556-6811;5186;2.470;2.538;0.619;218;4.3;0.01733;0.775;
COMP IMMUNOL MICROB;0147-9571;1411;2.015;2.214;0.318;44;6.8;0.00282;0.643;
CRIT REV MICROBIOL;1040-841X;1838;6.020;6.622;2.708;24;7.3;0.00337;1.912;
CURR MICROBIOL;0343-8651;4885;1.423;1.587;0.319;235;7.7;0.00767;0.420;
CURR OPIN MICROBIOL;1369-5274;8080;5.900;6.990;0.828;99;6.9;0.02202;2.779;
CURR TOP MICROBIOL;0070-217X;5106;4.097;4.149;0.367;128;6.7;0.01328;1.637;
DIAGN MICR INFEC DIS;0732-8893;5536;2.457;2.277;0.500;264;5.6;0.01417;0.720;
EMERG MICROBES INFEC;2222-1751;169;2.258;2.258;0.784;37;1.6;0.00076;0.776;
ENFERM INFEC MICR CL;0213-005X;1298;2.172;1.752;0.383;94;4.3;0.00294;0.414;
ENV MICROBIOL REP;1758-2229;1758;3.293;3.834;0.575;87;3.7;0.00894;1.266;
ENVIRON MICROBIOL;1462-2912;16493;6.201;6.312;1.406;266;5.9;0.04183;2.084;
EPIDEMIOL MIKROBI IM;1210-7913;69;0.353;0.358;0.000;26;;0.00014;0.080;
EUKARYOT CELL;1535-9778;6809;2.820;3.333;0.718;142;6.7;0.01535;1.131;
EUR J CLIN MICROBIOL;0934-9723;6630;2.668;2.628;0.637;267;5.9;0.01619;0.835;
EUR J PROTISTOL;0932-4739;1023;2.800;2.169;0.348;46;9.8;0.00175;0.641;
