JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACM SIGCOMM COMP COM;0146-4833;3678;1.116;2.147;0.170;47;7.4;0.01273;1.436;
ACM T AUTON ADAP SYS;1556-4665;235;0.922;1.307;0.100;20;5.4;0.00082;0.452;
ACM T COMPUT-HUM INT;1073-0516;626;1.079;1.516;0.296;27;9.3;0.00111;0.575;
ACM T DATABASE SYST;0362-5915;1029;0.684;1.381;0.152;33;>10.0;0.00189;0.889;
ACM T INFORM SYST;1046-8188;1113;1.021;1.439;0.095;21;>10.0;0.00119;0.656;
ACM T INFORM SYST SE;1094-9224;623;0.690;1.486;0.000;13;9.8;0.00146;0.877;
ACM T INTEL SYST TEC;2157-6904;1540;1.252;7.525;0.357;28;3.4;0.01004;3.162;
ACM T INTERNET TECHN;1533-5399;306;0.769;1.167;0.094;32;8.5;0.00089;0.850;
ACM T KNOWL DISCOV D;1556-4681;416;0.930;2.583;0.028;36;5.6;0.00222;1.454;
ACM T MULTIM COMPUT;1551-6857;465;0.971;1.289;0.196;56;5.4;0.00182;0.636;
ACM T SENSOR NETWORK;1550-4859;871;1.388;2.521;0.264;72;5.3;0.00338;0.989;
ACM T WEB;1559-1131;384;1.255;2.367;0.158;19;5.1;0.00201;1.295;
ACTA INFORM;0001-5903;553;0.500;0.442;0.000;19;>10.0;0.00047;0.288;
AD HOC NETW;1570-8705;1970;1.530;2.109;0.232;164;5.3;0.00634;0.710;
AD HOC SENS WIREL NE;1551-9899;137;0.435;0.513;0.140;57;4.3;0.00053;0.168;
APPL ONTOL;1570-5838;113;0.615;1.131;0.111;9;4.8;0.00033;0.339;
ASLIB J INFORM MANAG;2050-3806;3;;;0.029;34;;0.00000;;
ASLIB PROC;0001-253X;327;0.676;0.807;;0;6.3;0.00066;0.231;
BELL LABS TECH J;1089-7089;355;0.580;0.631;0.273;11;6.1;0.00144;0.336;
BUS INFORM SYST ENG+;1867-0202;335;1.744;1.855;0.269;26;4.5;0.00086;0.438;
CLUSTER COMPUT;1386-7857;425;1.510;1.353;0.094;106;4.9;0.00084;0.288;
COMPUT COMMUN;0140-3664;3215;1.695;1.625;0.259;139;6.0;0.00889;0.579;
COMPUT J;0010-4620;2585;0.787;0.962;0.159;126;>10.0;0.00341;0.387;
COMPUT NETW;1389-1286;5181;1.256;1.714;0.573;302;6.7;0.01228;0.640;
COMPUT SCI INF SYST;1820-0214;180;0.477;0.547;0.096;83;3.2;0.00081;0.179;
