JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AIDS;0269-9370;22502;5.554;5.785;1.467;353;6.9;0.05438;2.167;
AIDS PATIENT CARE ST;1087-2914;2856;3.497;3.306;0.312;80;5.6;0.00742;1.001;
AIDS RES HUM RETROV;0889-2229;5198;2.325;2.162;0.561;164;7.3;0.01123;0.718;
AIDS RES THER;1742-6405;543;1.457;;0.395;38;4.5;0.00197;;
AIDS REV;1139-6121;731;3.787;3.593;0.238;21;5.6;0.00194;1.134;
AM J INFECT CONTROL;0196-6553;5892;2.206;2.495;0.269;305;6.4;0.01327;0.808;
ANTIVIR THER;1359-6535;3690;3.020;2.856;1.352;88;4.9;0.01145;1.000;
B MALARIOL SALUD AMB;1690-4648;58;0.058;0.248;0.000;13;;0.00011;0.050;
BMC INFECT DIS;1471-2334;7760;2.613;2.915;0.387;713;3.8;0.02896;0.944;
BRAZ J INFECT DIS;1413-8670;1238;1.299;1.243;0.276;105;5.7;0.00265;0.331;
CAN J INFECT DIS MED;1712-9532;508;0.685;1.023;0.123;57;7.4;0.00092;0.332;
CLIN INFECT DIS;1058-4838;51710;8.886;9.206;2.596;468;7.0;0.12680;3.562;
CLIN MICROBIOL INFEC;1198-743X;11650;5.768;5.059;1.254;393;4.2;0.03750;1.649;
CLIN VACCINE IMMUNOL;1556-6811;5186;2.470;2.538;0.619;218;4.3;0.01733;0.775;
CURR HIV RES;1570-162X;1043;1.757;1.675;0.444;45;4.6;0.00333;0.544;
CURR HIV-AIDS REP;1548-3568;996;3.795;;0.580;50;4.0;0.00415;;
CURR INFECT DIS REP;1523-3847;974;1.677;;0.200;60;4.5;0.00349;;
CURR OPIN HIV AIDS;1746-630X;1668;4.680;3.879;1.079;76;3.2;0.00882;1.497;
CURR OPIN INFECT DIS;0951-7375;3361;5.006;4.483;0.740;77;5.4;0.01032;1.608;
DIAGN MICR INFEC DIS;0732-8893;5536;2.457;2.277;0.500;264;5.6;0.01417;0.720;
EMERG INFECT DIS;1080-6040;24477;6.751;6.519;1.917;315;6.3;0.05932;2.195;
ENFERM INFEC MICR CL;0213-005X;1298;2.172;1.752;0.383;94;4.3;0.00294;0.414;
EPIDEMICS-NETH;1755-4365;341;1.870;2.750;0.478;23;4.0;0.00212;1.111;
EPIDEMIOL INFECT;0950-2688;7241;2.535;2.588;0.707;297;6.6;0.01740;0.904;
EUR J CLIN MICROBIOL;0934-9723;6630;2.668;2.628;0.637;267;5.9;0.01619;0.835;
EUROSURVEILLANCE;1560-7917;6152;5.722;4.336;1.385;205;3.8;0.02480;1.506;
FEMS IMMUNOL MED MIC;0928-8244;4148;3.078;2.747;;0;7.8;0.00686;0.823;
HIV CLIN TRIALS;1528-4336;789;2.629;2.351;0.222;27;5.5;0.00270;0.919;
HIV MED;1464-2662;2498;3.988;3.389;1.282;78;4.8;0.00801;1.190;
INFECT CONT HOSP EP;0899-823X;10112;4.175;4.496;1.070;227;6.5;0.02304;1.515;
INFECT DIS CLIN N AM;0891-5520;1844;2.733;2.570;0.342;38;8.4;0.00411;0.985;
INFECT DIS POVERTY;2049-9957;206;4.111;4.111;1.812;32;1.5;0.00066;1.158;
INFECT GENET EVOL;1567-1348;4846;3.015;3.031;0.609;368;3.4;0.01561;0.811;
INFECT IMMUN;0019-9567;48987;3.731;3.891;0.891;506;>10.0;0.05030;1.250;
